id,system,body,siteID,extoolID,type,latitude,longitude,cycle,comment,verified,visible,discoveredBy
1,1346,1766,1,\N,3,2.3189,177.2434,3,,0,1,384
2,1076,1395,2,\N,1,-26.3515,-156.4056,4,,0,1,384
3,1302,1691,3,\N,3,21.93,96.98,2,,0,1,384
4,1302,1691,4,\N,1,21.3348,91.9834,1,,0,1,384
5,1302,1691,5,\N,1,19.2477,92.0916,1,,0,1,384
6,1302,1691,6,\N,1,23.16,94.07,1,,0,1,384
7,1302,1691,7,\N,1,20.86,91.68,1,,0,1,384
8,1302,1691,8,\N,6,25.3363,25.5291,2,,0,1,384
9,1302,1691,9,\N,1,-57.8318,107.4311,1,,0,1,384
10,1302,1692,10,\N,3,49.9075,102.7141,3,,0,1,384
11,1302,1692,11,\N,1,49.7519,102.161,1,,0,1,384
12,1302,1692,12,\N,4,49.5347,102.0792,3,,0,1,384
13,1346,1766,13,\N,3,0.8185,176.5622,2,,0,1,384
14,1302,1691,14,\N,1,20.1833,86.7352,3,,0,1,384
15,1302,1691,15,\N,1,21.6104,89.0181,1,,0,1,384
16,1302,1692,16,\N,1,13.0,18.24,1,,0,1,384
17,1302,1692,17,\N,3,49.0665,102.9364,2,,0,1,384
18,1302,1691,18,\N,1,22.8117,94.0667,1,,0,1,384
19,1302,1692,19,\N,3,49.7498,102.1578,2,,0,1,384
20,1302,1692,20,\N,1,59.4,-59.7,1,,0,1,384
21,1302,1691,21,\N,4,2.4138,23.5577,3,,0,1,384
22,1302,1691,22,\N,1,-0.9981,25.85,1,,0,1,384
23,1302,1691,23,\N,1,9.34,22.49,1,,0,1,384
24,1302,1692,24,\N,1,49.98,101.51,1,,0,1,384
25,1302,1692,25,\N,1,-1.86,-45.17,1,,0,1,384
26,1302,1691,26,\N,1,-21.27,-85.61,1,,0,1,384
27,1346,1766,27,\N,3,-6.2472,-173.9321,4,,0,1,384
28,1302,1691,28,\N,7,-8.7979,-13.3657,4,,0,1,384
29,1302,1692,29,\N,1,-17.61,-18.06,1,,0,1,384
30,1302,1692,30,\N,3,-17.95,-17.28,2,,0,1,384
31,1302,1692,31,\N,1,-18.23,-17.35,1,,0,1,384
32,1302,1692,32,\N,1,-28.04,29.51,1,,0,1,384
33,1302,1692,33,\N,1,-2.7,-45.27,1,,0,1,384
34,1302,1692,34,\N,1,-1.85,43.63,1,,0,1,384
35,1302,1692,35,\N,1,13.01,18.25,1,,0,1,384
36,1302,1692,36,\N,1,61.23,-56.02,1,,0,1,384
37,1302,1692,37,\N,1,60.3878,-51.8026,1,,0,1,384
38,1302,1692,38,\N,1,46.6403,-62.9002,1,,0,1,384
39,1293,1675,39,\N,1,-1.254,-164.182,4,,0,1,384
40,1293,1675,40,\N,1,-3.13,-162.2377,1,,0,1,384
41,1293,1675,41,\N,1,-0.7678,-162.5522,1,,0,1,384
42,1293,1675,42,\N,4,-0.5601,-161.9771,4,,0,1,384
43,1302,1692,43,\N,1,49.906,101.5107,1,,0,1,384
44,1293,1675,44,\N,1,-1.6133,-163.5428,4,,0,1,384
45,1293,1675,45,\N,6,-1.4193,-165.1568,4,,0,1,384
46,1302,1691,46,\N,1,-58.6949,-98.2852,1,,0,1,384
47,1293,1677,47,\N,1,5.89,-70.95,1,,0,1,384
48,1293,1677,48,\N,3,3.31,-70.97,3,,0,1,384
49,1293,1677,49,\N,1,4.23,-69.81,1,,0,1,384
50,1293,1677,50,\N,1,28.41,4.8037,1,,0,1,384
51,1293,1676,51,\N,1,-6.51,132.85,1,,0,1,384
52,1302,1692,52,\N,1,28.4218,-34.7203,1,,0,1,384
53,197,261,53,\N,7,45.6905,-88.1535,2,,0,1,261
54,197,262,54,\N,3,-21.6941,23.0779,3,,0,1,384
55,197,265,55,\N,7,-34.46,-44.4367,3,,0,1,384
56,197,265,56,\N,3,-29.4314,-54.3335,4,,0,1,384
57,197,265,57,\N,6,-24.7449,-64.0429,2,,0,1,384
58,197,265,58,\N,6,10.357,-80.2207,3,,0,1,384
59,200,273,59,\N,3,-56.2539,108.491,4,,0,1,384
60,1942,2551,60,\N,6,-16.5359,151.8175,4,,0,1,384
61,1076,1394,61,\N,1,13.4277,-161.5145,4,,0,1,65
62,200,268,62,\N,3,-17.3842,-18.7939,2,,0,1,166
63,1935,2540,63,\N,7,-65.9886,-173.642,4,,0,1,213
64,1293,1677,64,\N,1,42.764,-97.152,1,,0,1,384
65,1293,1677,65,\N,1,42.845,-96.98,1,,0,1,384
66,195,259,66,\N,7,37.9339,-40.4353,4,,0,1,221
67,195,259,67,\N,3,34.832,-40.392,2,,0,1,221
68,1942,2553,68,\N,4,-24.4643,-26.8704,3,,0,1,166
69,1942,2555,69,\N,3,-0.5026,-163.3102,4,,0,1,166
70,1942,2554,70,\N,6,4.0266,-40.0451,4,,0,1,166
71,195,259,71,\N,7,30.5814,-66.2712,4,,0,1,221
72,195,259,72,\N,3,-37.4567,14.9971,4,,0,1,221
73,195,259,73,\N,4,30.6258,-67.1392,3,,0,1,221
74,1076,1395,74,\N,3,8.3379,-96.1337,2,,0,1,370
75,1076,1395,75,\N,3,-28.245,-109.5219,4,,0,1,229
76,195,259,76,\N,3,64.4428,4.7017,4,,0,1,227
77,1942,2551,77,\N,6,-22.9365,176.0601,3,,0,1,221
78,1076,1395,78,\N,4,-28.77,-114.01,3,,0,1,340
79,200,269,79,\N,7,-9.7187,138.7988,4,,0,1,166
80,197,261,80,\N,4,-1.4133,-141.7319,4,,0,1,166
81,197,263,81,\N,3,-11.8843,54.5331,2,,0,1,166
82,197,264,82,\N,3,-27.3231,178.3874,2,,0,1,166
83,827,1066,83,\N,1,-33.2579,140.347,1,,0,1,261
84,827,1066,84,\N,3,-31.9412,141.221,4,,0,1,261
85,1293,1677,85,\N,1,18.8394,-82.8223,1,,0,1,135
86,1293,1677,86,\N,1,30.182,-54.4523,1,,0,1,135
87,1293,1677,87,\N,1,15.9454,-28.9784,1,,0,1,135
88,1293,1677,88,\N,1,14.6782,-29.5419,1,,0,1,135
89,1293,1677,89,\N,1,15.2147,-31.35,1,,0,1,135
90,827,1066,90,\N,3,-32.754,140.103,4,,0,1,3
91,1293,1677,91,\N,1,16.947,-82.6808,1,,0,1,384
92,1293,1676,92,\N,1,2.5221,142.879,1,,0,1,261
93,1293,1676,93,\N,7,5.2474,142.8703,3,,0,1,261
94,1293,1676,94,\N,4,0.4332,143.1308,3,,0,1,349
95,1293,1676,95,\N,3,46.6599,-170.3448,3,,0,1,204
96,1293,1676,96,\N,1,0.891,142.0576,1,,0,1,261
97,1293,1676,97,\N,1,-1.7955,141.2449,1,,0,1,261
98,1334,1745,98,\N,3,-27.081,75.1162,2,,0,1,261
99,1334,1745,99,\N,4,-27.1014,74.6003,3,,0,1,261
100,1334,1745,100,\N,3,-26.9032,72.4783,4,,0,1,261
101,1334,1745,101,\N,1,-27.016,72.0928,2,,0,1,261
102,1293,1676,102,\N,1,47.5693,-167.2193,1,,0,1,261
103,1293,1676,103,\N,1,46.7718,-164.7683,1,,0,1,261
104,1293,1676,104,\N,4,46.3542,-165.069,3,,0,1,261
105,1293,1676,105,\N,1,35.4491,-159.8313,1,,0,1,261
106,1293,1676,106,\N,1,46.7148,-170.2378,1,,0,1,261
107,1293,1676,107,\N,1,51.2846,152.2478,1,,0,1,261
108,1302,1691,108,\N,1,-59.7253,-100.8103,1,,0,1,261
109,1302,1691,109,\N,1,-59.7579,-100.9584,1,,0,1,261
110,1302,1691,110,\N,1,-67.3018,-106.544,1,,0,1,261
111,1302,1691,111,\N,1,-63.0291,-130.8848,1,,0,1,261
112,1302,1691,112,\N,1,-55.78,102.74,1,,0,1,346
113,1302,1691,113,\N,4,-9.3676,-13.067,2,,0,1,346
114,1302,1691,114,\N,1,28.42,-34.72,1,,0,1,346
115,1076,1394,115,\N,1,-11.2354,-145.3719,4,,0,1,261
116,1942,2552,116,\N,3,-62.7265,-174.6157,3,,0,1,261
117,1302,1691,117,\N,1,-49.6746,-93.1688,1,,0,1,346
118,1334,1745,118,\N,6,-23.5932,70.9424,2,,0,1,261
119,1334,1745,119,\N,3,-23.3382,71.5151,3,,0,1,261
120,1334,1745,120,\N,1,-26.5783,73.3242,4,,0,1,261
121,1334,1745,121,\N,4,-31.9369,77.6151,4,,0,1,261
122,1293,1676,122,\N,1,43.3664,155.3691,1,,0,1,261
123,1293,1676,123,\N,1,44.8012,155.2202,1,,0,1,261
124,1293,1676,124,\N,1,46.2899,-173.3714,1,,0,1,261
125,1293,1676,125,\N,1,46.1893,-172.5251,1,,0,1,261
126,1293,1676,126,\N,1,30.3348,144.2878,1,,0,1,261
127,827,1066,127,\N,3,-32.491,141.312,2,,0,1,261
128,1302,1691,128,\N,1,-22.4192,-85.0385,1,,0,1,261
129,1302,1691,129,\N,1,-23.1972,-94.0191,1,,0,1,261
130,1302,1691,130,\N,1,-24.6396,-94.3886,1,,0,1,261
131,1293,1677,131,\N,1,12.0723,-77.4303,1,,0,1,261
132,1293,1677,132,\N,1,10.0397,-76.2438,1,,0,1,261
133,1293,1677,133,\N,3,13.5968,-35.2585,3,,0,1,261
134,1293,1677,134,\N,1,25.4089,-3.8057,1,,0,1,261
135,1293,1677,135,\N,1,28.2638,-1.5745,1,,0,1,261
136,1293,1677,136,\N,1,33.2,-10.5777,1,,0,1,261
137,1293,1677,137,\N,1,37.3644,-13.8866,1,,0,1,261
138,1942,2551,138,\N,3,-1.0726,129.1251,2,,0,1,211
139,1942,2551,139,\N,3,-6.7142,118.9982,3,,0,1,211
140,1942,2555,140,\N,6,-4.3289,-159.6406,2,,0,1,211
141,1934,2538,141,\N,3,-34.6822,-35.1035,4,,0,1,211
142,1934,2537,142,\N,3,22.8394,-18.6425,4,,0,1,211
143,200,269,143,\N,3,6.9426,43.2432,4,,0,1,271
144,200,269,144,\N,6,-32.6969,71.4594,3,,0,1,271
145,1302,1692,145,\N,1,-24.5217,57.0263,1,,0,1,83
146,195,259,146,\N,3,33.9303,-61.2215,2,,0,1,261
147,197,262,147,\N,6,48.4571,11.7493,4,,0,1,261
148,200,273,148,\N,3,-68.5409,-179.8289,2,,0,1,261
149,1076,1394,149,\N,4,9.748,134.2303,2,,0,1,261
150,1076,1394,150,\N,6,2.6866,143.0324,2,,0,1,261
151,1293,1676,151,\N,1,46.4393,-172.7334,1,,0,1,101
152,200,270,152,\N,3,-19.91,-7.52,4,,0,1,261
153,1940,2547,153,\N,3,13.9001,126.7439,4,,0,1,382
