id,system,body,siteID,extoolID,latitude,longitude,status,verified,visible,msg1Site,msg2Site,msg3Site,discoveredBy
1,1227,1723,1,\N,-17.9575,-152.6994,3,1,1,\N,\N,\N,439
2,47,65,2,\N,25.5553,78.1765,3,1,1,\N,\N,\N,439
3,1850,2556,3,\N,58.4244,-177.0446,3,1,1,\N,\N,\N,439
4,584,867,4,\N,4.7654,136.2398,3,1,1,\N,\N,\N,439
5,1197,1686,5,\N,-26.4561,-27.4742,2,1,1,6,8,7,439
6,1508,2088,6,\N,-63.5266,8.0136,2,1,1,5,7,8,439
7,1496,2076,7,\N,-39.7932,-56.254,2,1,1,9,8,6,439
8,1497,2077,8,\N,-51.7229,-110.0287,2,1,1,7,6,5,439
9,1506,2086,9,\N,-52.0061,-5.6793,2,1,1,10,7,11,439
10,1504,2084,10,\N,16.2444,25.5284,2,1,1,9,11,12,439
11,1503,2083,11,\N,-33.2026,141.7225,2,1,1,10,12,9,439
12,1211,1702,12,\N,40.1213,-22.6073,2,1,1,11,14,13,439
13,1490,2070,13,\N,-76.1261,113.2089,2,1,1,15,16,8,439
14,1473,2053,14,\N,-21.9701,-113.2261,2,1,1,9,10,17,439
15,1502,2082,15,\N,-27.3214,63.0988,2,1,1,12,16,13,439
16,1494,2074,16,\N,-80.3925,-101.5264,2,1,1,6,13,15,439
17,1476,2056,17,\N,15.5126,-12.4966,2,1,1,14,19,18,439
18,2414,3371,18,\N,-73.612,-35.184,2,1,1,22,19,21,439
19,1202,1691,19,\N,71.5247,77.2894,2,1,1,20,18,22,439
20,1193,1682,20,\N,-8.9048,-114.7065,3,1,1,\N,\N,\N,439
21,1831,2529,21,\N,-35.5592,155.9887,2,1,1,30,3,39,439
22,1194,1683,22,\N,76.7687,176.001,2,1,1,19,18,23,439
23,2338,3282,23,\N,24.3052,-68.308,2,1,1,24,25,37,439
24,2493,3469,24,\N,54.6409,-124.5742,3,1,1,\N,\N,\N,439
25,2431,3394,25,\N,-28.889,-89.2878,2,1,1,27,23,30,439
26,2455,3426,26,\N,-50.1277,44.2171,2,1,1,34,28,31,439
27,2492,3468,27,\N,48.3769,-53.768,2,1,1,24,25,37,439
28,1254,1752,28,\N,-68.884,-137.8088,3,1,1,\N,\N,\N,439
29,1839,2541,29,\N,22.4386,121.0789,2,1,1,40,33,41,439
30,1223,1718,30,\N,-21.5287,-27.1165,2,1,1,32,45,33,439
31,1840,2542,31,\N,25.7177,27.4909,2,1,1,29,33,34,439
32,62,80,32,\N,50.3331,-124.31,3,1,1,\N,\N,\N,439
33,1841,2543,33,\N,-31.861,-5.36,2,1,1,29,30,35,439
34,2398,3348,34,\N,-37.8668,-66.3934,2,1,1,36,31,26,439
35,2470,3443,35,\N,39.897,-59.4823,3,1,1,\N,\N,\N,439
36,1235,1733,36,\N,-33.7172,-125.1209,2,1,1,37,27,38,439
37,2462,3435,37,\N,-1.6378,124.6736,2,1,1,26,27,23,439
38,2481,3455,38,\N,35.4633,131.5834,3,1,1,\N,\N,\N,439
39,1207,1698,39,\N,39.1994,-29.609,3,1,1,\N,\N,\N,439
40,1237,1735,40,\N,-39.3011,-58.6453,2,1,1,42,43,44,439
41,2469,3442,41,\N,31.7211,17.2641,3,1,1,\N,\N,\N,439
42,1206,1697,42,\N,-35.0118,-157.9024,2,1,1,4,54,53,439
43,1828,2526,43,\N,11.4432,7.5901,3,1,1,\N,\N,\N,439
44,1829,2527,44,\N,68.9625,92.9837,2,1,1,47,40,46,439
45,1229,1725,45,\N,7.8987,147.2701,2,1,1,17,48,49,439
46,1821,2513,46,\N,-64.438,166.8112,2,1,1,52,56,44,439
47,1259,1758,47,\N,43.0054,-162.8492,2,1,1,50,57,51,439
48,1238,1736,48,\N,42.7052,-162.4037,2,1,1,62,61,59,439
49,1493,2073,49,\N,-41.9785,-166.2575,2,1,1,45,17,55,439
50,1250,1748,50,\N,16.9899,-32.5445,2,1,1,82,4,75,439
51,2406,3358,51,\N,-71.1251,66.0517,2,1,1,57,63,60,439
52,627,928,52,\N,-36.5491,-143.6091,2,1,1,64,46,58,439
53,64,82,53,\N,-10.1076,92.2843,3,1,1,\N,\N,\N,439
54,49,67,54,\N,-34.6857,-54.7454,3,1,1,\N,\N,\N,439
55,1225,1721,55,\N,-0.6282,140.4103,2,1,1,77,59,78,439
56,589,872,56,\N,-76.007,-96.1867,3,1,1,\N,\N,\N,439
