id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,1284,1640,1,\N,2,-13.7026,34.3743,1,1,217
2,1732,2222,2,\N,2,4.8722,128.8088,1,1,329
3,1074,1352,3,\N,2,-50.8766,175.3827,1,1,329
4,1289,1647,4,\N,2,-42.061,-79.3805,1,1,217
5,1288,1646,5,\N,2,-9.3775,-75.1947,1,1,217
6,1286,1643,6,\N,2,-43.267,68.2011,1,1,217
7,1286,1644,7,\N,2,-69.9112,97.8154,1,1,217
8,1287,1645,8,\N,2,12.9045,109.3144,1,1,217
9,140,177,9,\N,2,-13.6279,-148.7766,1,1,234
10,140,177,10,\N,2,-59.6466,130.9337,1,1,289
11,140,177,11,\N,2,-13.6673,-148.7618,1,1,234
12,1285,1641,12,\N,2,1.9019,-60.9316,1,1,217
13,1285,1642,13,\N,2,0.2815,-75.8487,1,1,217
14,1285,1642,14,\N,2,-16.55,-141.6367,1,1,217
15,506,640,15,\N,2,10.7936,79.9875,1,1,289
16,985,1247,16,\N,2,-73.6843,164.7897,1,1,289
17,1036,1303,17,\N,2,13.9306,5.9848,1,1,158
