"id","codexName","reason","created_at","updated_at"
7,codex_ent_a_type,Star Type,2019-01-21 08:43:40,2019-01-21 08:43:40
15,codex_ent_aebe_type,Star Type,2019-01-21 08:43:50,2019-01-21 08:43:50
22,codex_ent_b_type,Star Type,2019-01-21 08:43:58,2019-01-21 08:43:58
27,codex_ent_black_holes,Star Type,2019-01-21 08:44:13,2019-01-21 08:44:13
35,codex_ent_da_type,Star Type,2019-01-21 08:44:26,2019-01-21 08:44:26
40,codex_ent_dab_type,Star Type,2019-01-21 08:44:37,2019-01-21 08:44:37
45,codex_ent_earth_likes,Body Type,2019-01-21 08:44:46,2019-01-21 08:44:46
52,codex_ent_f_type,Star type,2019-01-21 08:44:56,2019-01-21 08:44:56
57,codex_ent_g_type,Star Type,2019-01-21 08:45:06,2019-01-21 08:45:06
65,codex_ent_g_typegiant,Star Type,2019-01-21 08:45:17,2019-01-21 08:45:17
72,codex_ent_k_type,Star Type,2019-01-21 08:45:52,2019-01-21 08:45:52
80,codex_ent_l_type,Star Type,2019-01-21 08:46:08,2019-01-21 08:46:08
85,codex_ent_m_type,Star Type,2019-01-21 08:46:19,2019-01-21 08:46:19
90,codex_ent_neutron_stars,Star Type,2019-01-21 08:46:29,2019-01-21 08:46:29
100,codex_ent_standard_ammonia_worlds,Body Type,2019-01-21 08:46:58,2019-01-21 08:46:58
105,codex_ent_standard_giant_with_ammonia_life,Body Type,2019-01-21 08:47:07,2019-01-21 08:47:07
110,codex_ent_standard_giant_with_water_life,Body Type,2019-01-21 08:47:28,2019-01-21 08:47:28
117,codex_ent_standard_helium_rich,Body Type,2019-01-21 08:47:37,2019-01-21 08:47:37
120,codex_ent_standard_high_metal_content_no_atmos,Body Type,2019-01-21 08:47:51,2019-01-21 08:47:51
127,codex_ent_standard_ice_no_atmos,Body Type,2019-01-21 08:48:00,2019-01-21 08:48:00
132,codex_ent_standard_metal_rich_no_atmos,Body Type,2019-01-21 08:48:09,2019-01-21 08:48:09
137,codex_ent_standard_rocky_ice_no_atmos,Body Type,2019-01-21 08:48:18,2019-01-21 08:48:18
145,codex_ent_standard_rocky_no_atmos,Body Type,2019-01-21 08:48:28,2019-01-21 08:48:28
147,codex_ent_standard_sudarsky_class_i,Body Type,2019-01-21 08:48:40,2019-01-21 08:48:40
150,codex_ent_standard_sudarsky_class_ii,Body Type,2019-01-21 08:48:48,2019-01-21 08:48:48
160,codex_ent_standard_sudarsky_class_iii,Body Type,2019-01-21 08:48:55,2019-01-21 08:48:55
165,codex_ent_standard_sudarsky_class_iv,Body Type,2019-01-21 08:49:02,2019-01-21 08:49:02
170,codex_ent_standard_sudarsky_class_v,Body Type,2019-01-21 08:49:09,2019-01-21 08:49:09
177,codex_ent_standard_ter_high_metal_content,Body Type,2019-01-21 08:49:19,2019-01-21 08:49:19
180,codex_ent_standard_ter_ice,Body Type,2019-01-21 08:49:26,2019-01-21 08:49:26
182,codex_ent_standard_ter_metal_rich,Body type,2019-01-21 08:49:36,2019-01-21 08:49:36
185,codex_ent_standard_ter_rocky_ice,Body Type,2019-01-21 08:49:44,2019-01-21 08:49:44
195,codex_ent_standard_ter_rocky,Body type,2019-01-21 08:49:57,2019-01-21 08:49:57
202,codex_ent_standard_water_giant,Body Type,2019-01-21 08:50:09,2019-01-21 08:50:09
205,codex_ent_standard_water_worlds,Body Type,2019-01-21 08:50:17,2019-01-21 08:50:17
210,codex_ent_t_type,Star Type,2019-01-21 08:50:25,2019-01-21 08:50:25
215,codex_ent_trf_high_metal_content_no_atmos,Body Type,2019-01-21 08:50:39,2019-01-21 08:50:39
217,codex_ent_trf_rocky_no_atmos,Body type,2019-01-21 08:50:48,2019-01-21 08:50:48
225,codex_ent_trf_ter_high_metal_content,Body Type,2019-01-21 08:50:56,2019-01-21 08:50:56
232,codex_ent_trf_ter_rocky,Body Type,2019-01-21 08:51:05,2019-01-21 08:51:05
235,codex_ent_trf_water_worlds,Body Type,2019-01-21 08:51:15,2019-01-21 08:51:15
240,codex_ent_tts_type,Star Type,2019-01-21 08:51:23,2019-01-21 08:51:23
245,codex_ent_y_type,Star Type,2019-01-21 08:51:36,2019-01-21 08:51:36
