"id","eventName","reason","created_at","updated_at"
1,StartUp,EDMC Event,2019-01-22 01:26:26,2019-01-22 01:26:26
2,Fileheader,Unknown Reason,2019-01-22 01:26:26,2019-01-22 01:26:26
3,Music,Unknown Reason,2019-01-22 01:26:26,2019-01-22 01:26:26
4,Friends,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
5,Cargo,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
6,Loadout,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
7,Materials,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
8,LoadGame,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
9,Rank,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
10,Progress,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
11,Location,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
12,StartJump,EDSM Tracks,2019-01-22 01:26:26,2019-01-22 01:26:26
13,SupercruiseEntry,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
14,USSDrop,We capture data another way,2019-01-22 01:26:26,2019-01-22 01:26:26
15,SupercruiseExit,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
16,FSDJump,EDSM Tracks,2019-01-22 01:26:26,2019-01-22 01:26:26
17,FuelScoop,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
18,Scan,EDSM Tracks,2019-01-22 01:26:26,2019-01-22 01:26:26
19,MaterialDiscovered,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
20,MaterialCollected,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
21,Screenshot,Pending on if we need this to submit screenshot data,2019-01-22 01:26:26,2019-01-22 01:26:26
22,ReceiveText,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
23,DockingRequested,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
24,DockingGranted,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
25,CommitCrime,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
26,Docked,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
27,RefuelAll,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
28,SearchAndRescue,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
29,PayFines,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
30,ShipyardTransfer,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
31,ModuleBuy,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
32,Undocked,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
33,HeatWarning,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
34,JetConeBoost,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
35,MissionRedirected,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
36,BuyDrones,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
37,MaterialDiscarded,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
38,RepairAll,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
39,Repair,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
40,Scanned,Nothing interesting,2019-01-22 01:26:26,2019-01-22 01:26:26
41,ShieldState,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
42,HullDamage,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
43,BuyAmmo,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
44,PayLegacyFines,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
45,SellExplorationData,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
46,ModuleStore,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
47,MarketSell,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
48,SellDrones,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
49,ShipyardSwap,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
50,ModuleRetrieve,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
51,ModuleSellRemote,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
52,FetchRemoteModule,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
53,EjectCargo,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
54,Resurrect,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
55,HeatDamage,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
56,Interdicted,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
57,Synthesis,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
58,ModuleSwap,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
59,SetUserShipName,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
60,ShipyardBuy,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
61,ShipyardNew,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
62,ModuleSell,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
63,EngineerCraft,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
64,EngineerApply,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
65,SendText,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
66,Touchdown,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
67,LaunchSRV,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
68,DockSRV,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
69,Liftoff,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
70,MissionFailed,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
71,DockingDenied,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
72,DatalinkVoucher,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
73,RedeemVoucher,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
74,WingInvite,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
75,WingJoin,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
76,WingAdd,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
77,WingLeave,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
78,BuyExplorationData,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
79,DockingTimeout,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
80,Commander,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
81,Reputation,Canonn doesn't need this data,2019-01-22 01:26:26,2019-01-22 01:26:26
