id,codexName,reason
1,codex_ent_a_type,Star Type
2,codex_ent_aebe_type,Star Type
3,codex_ent_b_type,Star Type
4,codex_ent_black_holes,Star Type
5,codex_ent_da_type,Star Type
6,codex_ent_dab_type,Star Type
7,codex_ent_earth_likes,Body Type
8,codex_ent_f_type,Star type
9,codex_ent_g_type,Star Type
10,codex_ent_g_typegiant,Star Type
11,codex_ent_k_type,Star Type
12,codex_ent_l_type,Star Type
13,codex_ent_m_type,Star Type
14,codex_ent_neutron_stars,Star Type
15,codex_ent_standard_ammonia_worlds,Body Type
16,codex_ent_standard_giant_with_ammonia_life,Body Type
17,codex_ent_standard_giant_with_water_life,Body Type
18,codex_ent_standard_helium_rich,Body Type
19,codex_ent_standard_high_metal_content_no_atmos,Body Type
20,codex_ent_standard_ice_no_atmos,Body Type
21,codex_ent_standard_metal_rich_no_atmos,Body Type
22,codex_ent_standard_rocky_ice_no_atmos,Body Type
23,codex_ent_standard_rocky_no_atmos,Body Type
24,codex_ent_standard_sudarsky_class_i,Body Type
25,codex_ent_standard_sudarsky_class_ii,Body Type
26,codex_ent_standard_sudarsky_class_iii,Body Type
27,codex_ent_standard_sudarsky_class_iv,Body Type
28,codex_ent_standard_sudarsky_class_v,Body Type
29,codex_ent_standard_ter_high_metal_content,Body Type
30,codex_ent_standard_ter_ice,Body Type
31,codex_ent_standard_ter_metal_rich,Body type
32,codex_ent_standard_ter_rocky,Body type
33,codex_ent_standard_ter_rocky_ice,Body Type
34,codex_ent_standard_water_giant,Body Type
35,codex_ent_standard_water_worlds,Body Type
36,codex_ent_t_type,Star Type
37,codex_ent_trf_high_metal_content_no_atmos,Body Type
38,codex_ent_trf_rocky_no_atmos,Body type
39,codex_ent_trf_ter_high_metal_content,Body Type
40,codex_ent_trf_ter_rocky,Body Type
41,codex_ent_trf_water_worlds,Body Type
42,codex_ent_tts_type,Star Type
43,codex_ent_y_type,Star Type
