id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,1604,2234,1,\N,1,-1.4054,140.8423,1,1,76
2,1613,2247,2,\N,1,-1.8161,-137.3999,1,1,40
3,1613,2247,3,\N,1,12.3752,32.0999,1,1,40
4,1526,2119,4,\N,1,-38.0357,-85.6467,1,1,40
5,1329,1832,5,\N,1,10.1605,17.1322,1,1,352
6,1613,2247,6,\N,1,21.9127,24.5374,1,1,40
7,1613,2247,7,\N,1,-3.9227,44.1731,1,1,40
8,1329,1832,8,\N,1,-7.4639,98.3023,1,1,352
9,1619,2254,9,\N,1,5.8876,-107.4878,1,1,40
10,1620,2255,10,\N,1,-13.3464,-171.3861,1,1,40
11,893,1260,11,\N,1,8.7025,40.258,1,1,352
12,1619,2254,12,\N,1,-16.6021,-78.8721,1,1,40
13,1619,2254,13,\N,1,-19.4121,23.8399,1,1,40
14,1959,2701,14,\N,1,3.52,89.8647,1,1,352
15,1959,2701,15,\N,1,-6.0299,-33.1501,1,1,352
16,322,468,16,\N,1,-32.8299,15.0299,0,1,458
17,1619,2254,17,\N,1,20.7471,168.1912,1,1,40
18,1778,2478,18,\N,1,5.0652,18.9814,1,1,352
19,1778,2478,19,\N,1,2.2381,69.9729,1,1,352
20,1423,1973,20,\N,1,6.731,51.0271,1,1,352
21,1423,1973,21,\N,1,-4.7808,-34.8424,1,1,352
22,1425,1976,22,\N,1,-5.9535,158.2056,1,1,352
23,1425,1975,23,\N,1,7.3947,-123.5075,1,1,352
24,1656,2316,24,\N,1,19.122,-29.9567,1,1,352
25,1631,2288,25,\N,1,25.2305,-147.1726,1,1,109
26,1428,1981,26,\N,1,7.4382,143.737,1,1,352
27,1588,2201,27,\N,1,8.3596,-29.7793,1,1,352
28,1638,2298,28,\N,1,5.9176,167.5988,1,1,77
29,1426,1977,29,\N,1,-22.0587,-164.608,0,1,77
30,1583,2196,30,\N,1,2.5083,-153.4364,1,1,263
31,338,489,31,\N,1,32.1352,-48.9161,1,1,87
32,3191,4399,32,\N,9,3.1804,-3.9519,1,1,298
33,1655,2315,33,\N,5,-36.486,-73.391,1,1,298
34,30,46,34,\N,9,55.2559,116.6158,1,1,462
35,962,1351,35,\N,6,69.7376,17.7446,1,1,280
36,1609,2242,36,\N,8,-75.6181,-40.705,1,1,79
37,1609,2243,37,\N,8,29.4244,-2.3728,1,1,79
38,1609,2243,38,\N,8,20.4955,62.7135,1,1,79
39,1609,2243,39,\N,8,-71.5266,-154.1508,1,1,79
40,1609,2243,40,\N,8,-52.012,-66.434,1,1,79
41,1609,2243,41,\N,8,-5.6647,-107.6041,1,1,79
42,1606,2238,42,\N,8,-50.476,34.8801,1,1,79
43,1606,2239,43,\N,8,65.7428,143.4124,1,1,79
44,1379,1897,44,\N,4,27.3286,-2.1669,1,1,398
45,2995,4156,45,\N,6,10.0092,-49.4453,1,1,528
46,2995,4156,46,\N,6,16.8287,152.1689,1,1,528
47,2995,4157,47,\N,6,25.5932,-117.8543,1,1,528
48,2995,4157,48,\N,6,-61.5998,149.5168,1,1,528
49,2503,3438,49,\N,6,37.1412,135.4144,1,1,114
50,2503,3438,50,\N,6,-15.4105,91.3033,1,1,114
51,436,626,51,\N,6,33.1669,19.044,1,1,254
52,436,627,52,\N,6,51.2885,-112.2077,1,1,254
53,436,628,53,\N,6,6.0911,45.4337,1,1,254
54,1526,2118,54,\N,6,63.1567,-58.4292,1,1,487
55,886,1252,55,\N,2,70.349,-172.2171,1,1,280
56,3653,5020,56,\N,6,-67.3177,93.7727,1,1,205
57,3653,5020,57,\N,6,-21.3286,-151.0888,1,1,205
58,3653,5021,58,\N,6,-64.1884,34.0136,1,1,205
59,1409,1954,59,\N,8,26.641,-125.6517,1,1,38
60,1412,1958,60,\N,8,-22.2023,71.0149,1,1,487
61,1667,2335,61,\N,8,31.9797,150.4682,1,1,204
62,1667,2335,62,\N,8,24.8377,-55.411,1,1,41
63,1412,1958,63,\N,8,-38.0268,9.7663,1,1,487
64,1410,1955,64,\N,3,-19.9234,-88.4258,1,1,255
65,1410,1956,65,\N,3,20.9494,-35.7084,1,1,255
66,102,131,66,\N,8,-60.2804,0.4232,1,1,141
67,3024,4193,67,\N,6,-72.3267,-92.6818,1,1,25
68,102,131,68,\N,8,53.352,-78.9233,1,1,141
69,1667,2336,69,\N,8,-30.7116,-155.4065,1,1,102
70,102,131,70,\N,8,-67.2478,-128.7635,1,1,141
71,1667,2336,71,\N,8,-49.3491,-127.1285,1,1,102
72,409,590,72,\N,6,-38.6296,-173.8155,1,1,187
73,410,591,73,\N,6,-45.7895,-92.4476,1,1,187
74,152,214,74,\N,6,-13.6568,123.41,1,1,378
75,152,214,75,\N,6,4.1239,97.3796,1,1,378
76,151,213,76,\N,6,14.5638,-147.3811,1,1,378
77,151,213,77,\N,6,36.4437,-118.3962,1,1,378
78,2736,3754,78,\N,7,25.5166,-67.284,1,1,487
79,1475,2051,79,\N,2,-39.0252,-71.8482,1,1,441
80,1475,2051,80,\N,2,0.9353,97.0156,1,1,441
81,1475,2052,81,\N,2,23.7022,-89.7336,1,1,441
82,3465,4769,82,\N,3,87.0044,28.0227,1,1,528
83,102,128,83,\N,8,-46.3421,14.4022,1,1,141
84,102,128,84,\N,8,-66.3736,-169.1874,1,1,141
85,3486,4802,85,\N,6,-41.2657,-117.0613,1,1,2
86,782,1122,86,\N,6,2.0835,92.7482,1,1,418
87,102,132,87,\N,8,21.8688,80.7876,1,1,141
88,102,132,88,\N,8,41.8926,6.4023,1,1,141
89,782,1121,89,\N,6,-19.005,87.414,1,1,418
90,102,134,90,\N,8,54.8932,-80.56,1,1,141
91,3424,4696,91,\N,6,-43.6252,158.8429,1,1,187
92,16,29,92,\N,6,-49.8952,42.2009,1,1,102
93,1366,1882,93,\N,6,32.8995,-60.852,1,1,216
94,2550,3502,94,\N,6,-11.7837,-91.0554,1,1,359
95,11,21,95,\N,6,-33.1513,32.9713,1,1,187
96,783,1123,96,\N,9,-15.5933,47.1099,1,1,418
97,1366,1882,97,\N,6,35.6083,-82.3303,1,1,216
98,783,1124,98,\N,9,-19.6699,168.7547,1,1,418
99,204,289,99,\N,6,12.5514,17.8398,1,1,241
100,1444,2011,100,\N,9,-12.3631,124.9812,1,1,137
101,2736,3754,101,\N,7,26.3588,-64.3562,1,1,495
102,3446,4739,102,\N,6,29.4433,113.6325,1,1,498
