id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,3073,4133,1,\N,1,-26.1589,-90.6344,0,1,425
2,2449,3295,2,\N,1,-54.1391,60.816,0,1,468
3,2438,3278,3,\N,1,79.2144,-102.5297,0,1,468
4,1332,1782,4,\N,1,-19.6617,-175.3967,0,1,468
5,2061,2807,5,\N,1,0.9803,34.6832,0,1,468
6,4261,5796,6,\N,1,54.2257,41.9895,0,1,468
7,98,121,7,\N,1,7.2434,-34.5406,0,1,468
8,1091,1482,8,\N,1,36.1108,-158.4958,0,1,468
9,374,533,9,\N,1,-67.9876,-103.2627,0,1,468
10,3349,4585,10,\N,1,-33.2006,-35.0718,0,1,468
11,3351,4587,11,\N,1,-74.4511,-63.709,0,1,468
12,3350,4586,12,\N,1,17.0926,129.0382,0,1,468
13,1996,2727,13,\N,1,54.2293,69.7184,1,1,378
14,1996,2727,14,\N,1,50.9525,-38.7305,1,1,378
15,1996,2727,15,\N,1,-4.1387,11.2136,1,1,378
16,1996,2727,16,\N,1,-41.983,148.8269,1,1,378
17,1817,2441,17,\N,1,-45.454,36.7738,1,1,381
18,1997,2728,18,\N,1,-9.6124,-13.1981,1,1,257
19,3963,5383,19,\N,1,-62.3767,81.6913,1,1,87
20,1956,2669,20,\N,1,-48.4586,63.0763,1,1,147
21,263,364,21,\N,1,83.7647,42.8541,1,1,480
22,263,364,22,\N,1,-67.4829,-85.549,1,1,480
23,263,364,23,\N,1,-67.1605,55.5439,1,1,480
24,590,865,24,\N,1,-7.743,-101.8669,1,1,388
25,590,865,25,\N,1,-31.8327,-135.1079,1,1,388
26,263,363,26,\N,1,-11.2511,72.3721,1,1,480
27,263,363,27,\N,1,14.4218,-162.7472,1,1,480
28,4097,5583,28,\N,1,-36.7492,21.0186,1,1,316
29,3852,5249,29,\N,1,8.8814,-102.1113,1,1,565
30,3533,4853,30,\N,1,-25.296,-109.9486,1,1,480
31,589,863,31,\N,1,-28.3224,-127.3301,1,1,388
32,589,863,32,\N,1,-53.4648,6.9403,1,1,388
33,589,863,33,\N,1,-20.8418,113.1809,1,1,388
34,589,864,34,\N,1,21.2918,86.4218,1,1,388
35,589,864,35,\N,1,3.8739,120.7287,1,1,388
36,1395,1878,36,\N,1,-2.7254,74.0536,1,1,388
37,3847,5244,37,\N,1,67.3613,81.2341,1,1,213
38,2978,4020,38,\N,1,-16.0293,-154.8076,1,1,304
39,3033,4084,39,\N,1,-71.6735,41.9377,1,1,304
40,2242,3030,40,\N,1,4.6062,124.8543,0,1,147
41,3911,5323,41,\N,1,13.3769,69.997,1,1,238
42,1393,1876,42,\N,1,-18.3594,-95.8232,1,1,388
43,3018,4067,43,\N,1,1.1776,74.8481,1,1,324
44,3018,4066,44,\N,1,31.8643,-7.2629,1,1,324
45,1007,1379,45,\N,1,3.4585,27.3418,1,1,324
46,787,1107,46,\N,1,-3.7332,-131.7999,0,1,387
47,787,1107,47,\N,1,-5.6381,-153.8728,0,1,387
48,465,660,48,\N,1,60.7385,61.1293,1,1,145
49,458,651,49,\N,1,-68.3069,-85.2176,0,1,31
50,1590,2123,50,\N,1,-56.2851,-99.3487,1,1,388
51,869,1206,51,\N,1,6.7942,164.5247,1,1,301
52,1595,2129,52,\N,1,5.446,-115.8653,1,1,388
53,3707,5063,53,\N,1,-30.2462,-105.5534,1,1,213
54,3707,5063,54,\N,1,-25.3723,-1.1001,1,1,213
55,2718,3664,55,\N,1,34.9428,-164.0981,1,1,420
56,1462,1970,56,\N,1,39.9876,-124.573,0,1,213
57,260,360,57,\N,1,9.2356,130.8613,0,1,531
58,260,360,58,\N,1,39.8643,-161.9637,1,1,531
59,260,360,59,\N,1,-27.3222,-133.3107,1,1,531
60,829,1154,60,\N,1,-45.0216,-9.0747,1,1,213
61,1349,1811,61,\N,2,-12.1392,125.6195,1,1,323
62,1593,2126,62,\N,1,-38.1583,23.8377,1,1,388
63,1416,1907,63,\N,1,34.4952,139.8961,1,1,213
64,1598,2134,64,\N,1,12.3482,-148.7433,1,1,388
65,2392,3222,65,\N,1,-25.8871,-0.139,1,1,213
66,40,57,66,\N,1,-18.3931,-158.2827,0,1,381
67,2310,3108,67,\N,1,82.058,-137.7847,1,1,465
68,947,1308,68,\N,1,-3.6534,-161.1228,1,1,323
69,3048,4104,69,\N,1,-33.7432,93.6785,1,1,213
70,3495,4803,70,\N,1,40.4418,-14.7376,1,1,213
71,611,888,71,\N,1,22.3475,139.2991,1,1,347
72,1109,1503,72,\N,1,15.538,132.91,1,1,388
73,1106,1499,73,\N,1,8.2966,-156.0347,1,1,388
74,3554,4874,74,\N,1,3.6249,-106.4594,1,1,213
75,3054,4110,75,\N,1,-2.6235,-149.9942,1,1,488
76,91,114,76,\N,1,0.6449,-58.4207,1,1,381
77,91,114,77,\N,1,54.1611,-61.6847,1,1,381
78,2328,3139,78,\N,1,8.2966,65.0695,1,1,388
79,2328,3139,79,\N,1,16.6298,-156.2654,1,1,388
80,2327,3138,80,\N,1,4.179,-44.9435,1,1,388
81,2327,3138,81,\N,1,2.3257,26.7024,1,1,388
82,2327,3138,82,\N,1,-0.7387,-13.1032,1,1,388
83,2786,3736,83,\N,1,40.702,-22.9878,1,1,51
84,2327,3138,84,\N,1,-17.016,72.5573,1,1,388
85,2327,3138,85,\N,1,11.3256,-144.4738,1,1,388
86,1055,1434,86,\N,1,24.6878,-53.4338,1,1,468
87,1052,1430,87,\N,1,30.7133,143.5745,1,1,468
88,984,1352,88,\N,1,-28.7425,-179.1822,0,1,468
89,983,1351,89,\N,1,-75.1825,172.8044,1,1,468
90,2063,2809,90,\N,1,4.7549,33.6213,0,1,468
91,2064,2810,91,\N,1,-24.4706,-85.5407,0,1,468
92,2672,3607,92,\N,1,-67.1788,40.9057,1,1,468
93,2671,3606,93,\N,1,51.7659,-160.1369,0,1,468
94,3345,4580,94,\N,1,22.4531,20.2224,1,1,213
95,3344,4579,95,\N,1,-56.8624,-128.1201,1,1,213
96,3348,4583,96,\N,1,-70.2077,-44.7562,1,1,213
97,3347,4582,97,\N,1,-16.7536,-46.2021,1,1,213
98,3320,4547,98,\N,1,-22.3593,-175.7648,1,1,174
99,2939,3973,99,\N,1,27.0794,-71.1676,1,1,22
100,1915,2601,100,\N,1,-60.5566,-79.9895,1,1,174
101,419,596,101,\N,1,28.8187,-30.9333,1,1,481
102,1607,2147,102,\N,1,35.7453,-171.5179,1,1,213
103,1915,2601,103,\N,1,-63.6258,-108.1849,1,1,174
104,1915,2601,104,\N,1,28.3011,-40.4961,1,1,174
105,1915,2601,105,\N,1,-53.8511,32.8263,1,1,174
106,2912,3936,106,\N,1,60.0944,-173.6359,1,1,213
107,2912,3937,107,\N,1,-58.8411,-127.0076,1,1,213
108,1747,2352,108,\N,1,-3.4977,-29.9395,1,1,22
109,1184,1601,109,\N,1,61.7245,171.0261,1,1,226
110,3050,4106,110,\N,1,16.6933,27.8899,1,1,213
111,3049,4105,111,\N,1,9.5776,-19.277,1,1,213
112,1123,1520,112,\N,1,61.3636,71.3822,1,1,174
113,1079,1468,113,\N,1,30.9973,160.0175,1,1,213
114,458,651,114,\N,1,-68.5331,-86.0329,1,1,174
115,869,1206,115,\N,1,20.7703,-91.16,1,1,301
116,869,1206,116,\N,1,28.0096,6.7214,1,1,301
117,869,1206,117,\N,1,58.1889,-111.0407,1,1,301
118,869,1206,118,\N,1,60.0232,69.5306,1,1,301
119,869,1206,119,\N,1,-1.1069,22.1298,1,1,301
120,869,1206,120,\N,1,-33.5132,108.4833,1,1,301
121,869,1206,121,\N,1,-37.5969,84.1673,1,1,301
122,869,1206,122,\N,1,-40.259,-20.107,1,1,301
123,869,1206,123,\N,1,-47.1641,-117.7327,1,1,301
124,869,1206,124,\N,1,-61.8313,-125.8849,1,1,301
125,1606,2146,125,\N,1,-46.724,-10.689,1,1,213
126,3185,4302,126,\N,1,-61.3525,-97.4607,0,1,174
127,3568,4888,127,\N,1,-1.5157,-88.7054,1,1,245
128,1078,1467,128,\N,1,9.0718,23.663,1,1,213
129,1078,1467,129,\N,1,-10.8666,85.4247,1,1,213
130,1998,2729,130,\N,1,17.0905,-42.4131,1,1,213
131,1843,2493,131,\N,1,5.9834,59.5796,1,1,119
132,3035,4086,132,\N,1,-60.0015,43.9325,1,1,213
133,3257,4429,133,\N,1,8.9619,-138.8448,1,1,388
134,3257,4429,134,\N,1,7.3454,-43.3958,1,1,388
135,3401,4657,135,\N,1,8.3016,136.7422,1,1,388
136,1008,1380,136,\N,1,8.6241,-148.6422,1,1,388
137,1202,1627,137,\N,1,2.5604,63.9703,1,1,388
138,1202,1627,138,\N,1,-3.4346,-131.4822,1,1,388
139,1009,1381,139,\N,1,2.7318,87.9395,1,1,388
140,1009,1381,140,\N,1,-4.0203,-50.6114,1,1,388
141,1009,1381,141,\N,1,-4.3792,22.7861,1,1,388
142,1009,1381,142,\N,1,19.5403,-35.2594,1,1,388
143,313,423,143,\N,1,2.2923,168.4237,1,1,388
144,313,423,144,\N,1,-7.7357,-23.5587,1,1,388
145,313,423,145,\N,1,5.7598,133.707,1,1,388
146,3905,5317,146,\N,1,45.0242,175.9729,1,1,213
147,3905,5317,147,\N,1,-20.2669,-170.991,1,1,213
148,3904,5316,148,\N,1,27.0313,73.432,1,1,213
149,3938,5354,149,\N,1,61.033,18.8672,1,1,242
150,3124,4193,150,\N,1,42.1317,27.4131,1,1,218
151,2115,2872,151,\N,1,-8.2314,10.7607,1,1,388
152,2115,2872,152,\N,1,7.7783,125.2304,1,1,388
153,418,595,153,\N,1,-44.2315,43.0955,1,1,213
154,2643,3565,154,\N,1,-1.5946,-124.71683,1,1,117
155,483,684,155,\N,1,4.8912,-34.707,1,1,213
156,483,685,156,\N,1,-30.3566,-99.9899,1,1,213
157,483,686,157,\N,1,82.0368,-20.9931,1,1,213
158,483,682,158,\N,1,51.8293,37.5107,1,1,213
159,483,686,159,\N,1,55.0813,4.682,1,1,213
160,483,686,160,\N,1,62.0368,-20.9931,1,1,213
161,483,686,161,\N,1,-26.4677,34.5997,1,1,213
162,1360,1825,162,\N,1,-46.6382,6.8466,1,1,105
163,947,1309,163,\N,1,-35.5015,-78.0718,1,1,323
164,482,681,164,\N,1,-58.3969,-102.1287,1,1,213
165,2701,3644,165,\N,1,-0.5469,-45.0076,1,1,119
166,510,722,166,\N,1,-27.2636,165.7159,1,1,119
167,511,723,167,\N,1,25.5222,-23.6491,1,1,119
168,508,719,168,\N,1,30.7335,71.1715,1,1,119
169,3302,4510,169,\N,1,51.2636,155.1699,1,1,119
170,3301,4509,170,\N,1,1.8001,143.4559,1,1,119
171,3301,4509,171,\N,1,41.98,7.5589,1,1,119
172,3301,4509,172,\N,1,-27.1969,-101.4886,1,1,119
173,3301,4509,173,\N,1,17.3051,73.928,1,1,119
174,3301,4509,174,\N,1,9.8371,162.8567,1,1,119
175,3301,4509,175,\N,1,10.8462,34.6664,1,1,119
176,3301,4509,176,\N,1,-16.7831,-122.1435,1,1,119
177,3301,4509,177,\N,1,-14.1598,2.0805,1,1,119
178,3301,4509,178,\N,1,-76.6033,9.503,1,1,119
179,3301,4509,179,\N,1,25.8319,128.7336,1,1,119
180,3301,4509,180,\N,1,55.1421,-154.9155,1,1,119
181,99,122,181,\N,1,-32.2781,44.5841,1,1,119
182,99,122,182,\N,1,15.9865,60.3157,1,1,119
183,1304,1746,183,\N,1,5.188,109.6119,1,1,119
184,2570,3472,184,\N,1,-55.033,-40.7401,1,1,119
185,2570,3472,185,\N,1,-56.1369,103.1678,1,1,119
186,1210,1635,186,\N,1,61.4273,27.6934,1,1,119
187,1659,2210,187,\N,1,19.2354,92.2154,1,1,119
188,3021,4070,188,\N,1,-0.4966,89.84,1,1,119
189,3458,4743,189,\N,1,-0.7488,-106.1036,1,1,119
190,3458,4743,190,\N,1,-8.4888,23.5324,1,1,119
191,1587,2119,191,\N,1,-8.5786,-158.5336,1,1,119
192,1587,2119,192,\N,1,32.8052,-52.9586,1,1,119
193,1587,2119,193,\N,1,56.0967,52.8742,1,1,119
194,429,608,194,\N,1,8.7619,19.7368,1,1,388
195,329,452,195,\N,1,-0.9069,-4.208,1,1,388
196,496,707,196,\N,1,-1.6137,-66.2577,1,1,213
197,4152,5666,197,\N,1,-10.5943,-118.2795,1,1,218
198,1465,1975,198,\N,1,-17.3128,179.3688,1,1,119
199,3779,5152,199,\N,1,45.7848,-73.0518,1,1,119
200,1936,2646,200,\N,1,11.2969,23.1407,1,1,119
201,1936,2646,201,\N,1,1.598,-113.1513,1,1,119
202,1936,2646,202,\N,1,9.0808,-126.7526,1,1,119
203,1707,2290,203,\N,1,8.4499,28.6349,1,1,388
204,1966,2680,204,\N,1,7.3681,-7.9909,1,1,388
205,1966,2680,205,\N,1,2.0031,-98.414,1,1,388
206,1712,2297,206,\N,1,4.5749,-23.5571,1,1,388
207,1712,2297,207,\N,1,-4.5019,92.9957,1,1,388
208,598,875,208,\N,1,20.314,-178.4786,1,1,388
209,1719,2315,209,\N,1,8.7185,-57.5289,1,1,388
210,1733,2333,210,\N,1,7.6777,166.5938,1,1,388
211,3532,4852,211,\N,1,-3.5027,-44.3761,1,1,433
212,606,883,212,\N,1,0.7042,160.9836,1,1,517
213,606,883,213,\N,1,2.6293,86.8299,1,1,517
214,606,883,214,\N,1,10.4269,-58.7843,1,1,517
215,3356,4592,215,\N,1,63.225,-6.2826,1,1,213
216,1792,2407,216,\N,1,75.6998,-52.6311,1,1,381
217,1792,2407,217,\N,1,50.6913,-161.6539,1,1,381
218,463,658,218,\N,1,62.6699,-97.0687,1,1,381
219,899,1240,219,\N,1,-41.701,152.9305,1,1,242
220,1936,2647,220,\N,1,-3.2912,110.4542,1,1,119
221,1936,2647,221,\N,1,27.8432,-1.2984,1,1,119
222,3485,4785,222,\N,1,-10.0151,-150.8459,1,1,119
223,1897,2561,223,\N,1,14.7381,109.3791,1,1,563
224,1502,2014,224,\N,1,17.4506,42.2486,1,1,119
225,1502,2014,225,\N,1,20.4364,-176.9739,1,1,119
226,2748,3695,226,\N,1,-0.9058,-116.8945,1,1,119
227,2707,3653,227,\N,1,-4.7361,-76.2813,1,1,119
228,899,1240,228,\N,1,-29.2415,113.7462,1,1,242
229,899,1240,229,\N,1,-1.839,137.4084,1,1,242
230,2009,2744,230,\N,1,-63.9138,-11.7942,1,1,119
231,2010,2745,231,\N,1,13.5162,-7.0967,1,1,119
