id,type,journalName,journalID
1,Unknown,,\N
2,Sulphur Dioxide Fumarole,codex_ent_fumarole_sulphurdioxidemagma,1400102
3,Water Fumarole,codex_ent_fumarole_watergeysers,1400108
4,Silicate Vapour Fumarole,codex_ent_fumarole_silicatevapourgeysers,1400114
5,Sulphur Dioxide Ice Fumarole,codex_ent_icefumarole_sulphurdioxidemagma,1400152
6,Water Ice Fumarole,codex_ent_icefumarole_watergeysers,1400158
7,Carbon Dioxide Ice Fumarole,codex_ent_icefumarole_carbondioxidegeysers,1400159
8,Ammonia Ice Fumarole,codex_ent_icefumarole_ammoniageysers,1400160
9,Methane Ice Fumarole,codex_ent_icefumarole_methanegeysers,1400161
10,Nitrogen Ice Fumarole,codex_ent_icefumarole_nitrogengeysers,1400162
11,Silicate Vapour Ice Fumarole,codex_ent_icefumarole_silicatevapourgeysers,1400164
