id,system,body,siteID,gssite,verified,visible,discoveredBy,gbmessage
1,4074,5571,1,102,1,1,268,1
2,4125,5637,2,78,1,1,104,2
3,4139,5655,3,78,1,1,104,3
4,4067,5564,4,99,1,1,181,4
5,2263,3076,5,97,1,1,300,5
6,4053,5546,6,85,1,1,226,6
7,2567,3460,7,100,1,1,104,7
8,4222,5767,8,76,1,1,594,8
9,4155,5680,9,77,1,1,488,9
10,4013,5498,10,81,1,1,226,10
11,2260,3072,11,95,1,1,226,11
12,4092,5592,12,101,1,1,496,12
13,2573,3466,13,105,1,1,496,13
14,2571,3464,14,92,1,1,496,14
15,4001,5484,15,84,1,1,226,15
16,4048,5541,16,92,1,1,226,16
17,4066,5563,17,93,1,1,496,17
18,4081,5578,18,87,1,1,380,18
19,4020,5506,19,79,1,1,226,19
20,4087,5585,20,89,1,1,84,20
21,4041,5533,21,83,1,1,84,21
22,4062,5559,22,94,1,1,84,22
23,2256,3067,23,96,1,1,93,23
24,4192,5723,24,98,1,1,84,24
25,4146,5664,25,86,1,1,93,25
26,4022,5508,26,80,1,1,380,26
27,4073,5570,27,88,1,1,84,27
28,2041,2772,28,121,1,1,93,28
