id,gensite,logNumber,logTitle,logBody
1,1,1,WOLF IN SHEEP’S CLOTHING 1/4,"Ship Security Log:

I thought this would be a new start, I thought coming out here things would be different.

But now after this I see that nothing has changed. People lie and other people just pay the cost.

lt seems like someone smuggled an illegal animal on board. A dog. They had been keeping it in one of the storage pods, stealing food for it from one of the kitchens. But it looks like that wasn’t enough.

By what we can piece together the dog got out somehow and killed a bunch of people. I mean a real mess. Bite and claw marks all over the bodies. Bite marks on the walls, on the doors, even on the airlocks.

The only thing is, it was found exactly where they had been keeping it all along, and I mean there wasn’t a drop of blood on this thing. If you ask me, this dog didn’t seem like the killing type. That didn’t stop them from destroying it. I asked the captain to keep the case open, to let me investigate, but no dice. He just saw it as open and shut.

I can’t shake the feeling that there’s something we’re missing here."
2,1,2,WOLF IN SHEEP’S CLOTHING 2/4,"Unregistered Log 062:

What sheep they are, these fools of man. How they prance and bleat, knowing nothing of the true nature of things. Blind sheep following blind shepherds. I have been sent as a wolf amongst this flock to teach them the meaning of their existence. They are nothing, sacks of flesh flung out into the cosmos to spread their seed, uncaring children ejected from an uncaring womb. Spreading like a disease, infecting all they touch. So soon all will bleat as they do. They take only the choicest this flock, cast down those that will not follow their sightless herders to nothing. They prey on the weak for their own gains while they preach about unity and togetherness. They shall be snatched, they shall be scattered, they shall be ravaged."
3,1,3,WOLF IN SHEEP’S CLOTHING 3/4,"Unregistered Log 291:

The shepherds hunt but see nothing. They scuttle and scurry and gather their precious flocks to them. But they cannot protect them.

I have opened so many eyes to the ways of things and still they do not see. I have opened them up to new ways, to see what’s inside. But they refuse to heed the lesson. What arrogance they show, as if this was all made for them. What gives this virus that is mankind the right to infect the cosmos?"
4,1,4,WOLF IN SHEEP’S CLOTHING 4/4,"Unregistered Log 412:

The sheep lay out their sacrifices. They think that will sate the wolf’s hunger. They do not see the wolf hunts not for hunger. They are blinded by the lies they tell themselves, the lies that tie the fabric of their tiny little world together. But the cord frays and will snap. The lesson must be repeated…

…until the baying falls silent."
5,2,1,NO BRAKES 1/5,"Chief Engineer’s Log:

The Captain told the crew the bad news. They’ve known for months now, but until today it’s been on a need-to-know basis. Now it’s out there.

We can’t stop the ship.

I remember telling the captain about the fault; a manufacturing issue that no one else had detected. I felt responsible; after all I’m the ship’s engineer, like my father and his father before him.

All he said was; “We’ll fix it”. Nine months on, we’re nearing our destination and no closer to finding a solution. But, in lieu of a fix, I believe I have an alternative."
6,2,2,NO BRAKES 2/5,"Chief Engineer’s Log:

After all the debates, all the meetings and the arguing, the ship’s council has finally approved the plan. So we’re all systems go. We’re rigging the emergency pods and the life ships to carry as much useful equipment as possible.

The command crew have made all the course adjustments they can to get the ship close to the target. After that we’ll launch all the pods as the ship passes by. With any luck they will all land safely and we can finally call this mission a success.

There’s just one catch. Someone has to stay behind to launch the pods. That person will be stuck on board. One life for many, seems like a good deal. Jean will think I’m crazy, but I volunteered to be that person. Funny, Jean’s always telling me I need to step up to the challenge more, to prove I have what it takes. I’m not sure this is what she had in mind."
7,2,3,NO BRAKES 3/5,"Chief Engineer’s Log:

After weeks of preparation and drills we’re finally getting close. Only a few more days until launch. All adjustments have been made and our trajectory is looking good. I’ve been getting the engineers to double and triple check everything. I want this to go as smoothly as possible. We’ve had our teething problems, which I guess were to be expected. After all the ship wasn’t meant to do this without stopping. I’m getting nervous, if this fails…

There’s another thing. Jean’s pregnant. She doesn’t know that I know. I found the test in the bathroom. With all that’s happening I guess she doesn’t know how to tell me. Maybe she’s afraid that it will affect my judgement.

She might have been right about that. I was going to tell her tonight that I’m the one. But I’m not sure I can anymore. She’ll want to stop me, or worse she’ll want to stay behind as well. I can’t let that happen."
8,2,4,NO BRAKES 4/5,"Communication Log:

Pod 12, Launch, launch, launch. Pod 13, Begin launch procedures.

Pod 14, what are you doing? Pod 14, please acknowledge. Come in, do you read me? Abort, I repeat. Abort! You are not cleared t…

Oh hell! Explosion in bay 14. Emergency. I repeat, this is an emergency. All remaining pods. Begin launch…

*radio chirp*

Tom, where are you? The pilot is… He’s says he’s going to leave without you. What’s happening?

Jean, we’ve got to go, now!

This is Chief Engineer Tom Edwards to the pilot of Life Ship 003. This is a direct order. Secure all passengers and launch now.

Tom, the ship’s leaving. Where are you?

Jean, sweetheart, you have to listen to me. I’m sorry, this is the only way. I couldn’t tell you before. Someone needs to stay on board and make sure everyone gets out of here.

I don’t… Why, why you?

It’s my responsibility. Listen to me. You’re going to be okay. Both of you.

How? How did you know?

That’s not important. Just know everything is going to be okay. I love…"
9,2,5,NO BRAKES 5/5,"Chief Engineer’s Log:

We’re out of communication range now; I’ve been sitting here for hours listening to the crackle of the dead signal. I thought I was ready for this. Thought, I had made peace with it, but knowing that that was the last time I was going to hear her voice makes it so much worse.

The captain said they are going to name the first settlement after me. A nice gesture I guess, but I really didn’t do it for them. I did it for her and the life she’s carrying.

This was the right thing to do. There is no telling when or if this ship will ever stop. We had our shot and we took it. I’d gladly do it again. My kid’s not going to grow up in some tin can, floating aimlessly in space. They’re going to grow up with dirt between their toes and the sky above their head."
10,3,1,THE PROMISED LAND 1/5,"Midshipman’s Log 54/6:

Our voyage continues apace. All systems fully operational. We had some issues with the hydroponics units, but maintenance has managed to solve that problem. The only other thing to report is the religious fervour that seems to be gripping some sections of crew and passengers. Apparently there’s this boy – I think he’s around ten or something – and people are heralding him as the second coming. There’s a rumour he can perform miracles but it’s obviously only a story. Commander Jefferson wasn’t too impressed when he heard but l managed to calm him down. Toid him it was good for people to have something to believe in… especially on a voyage like this one."
