id,system,body,siteID,shipName,directionSystem,distance,discoveredBy
1,1936,2665,1,Artemis,\N,\N,528
2,429,616,2,Atlas,\N,\N,528
3,1827,2538,3,Hyperion,3663,7340,479
4,50,69,4,Lycaon,1651,22365,252
5,2821,3894,5,Odysseus,\N,\N,528
6,1463,2034,6,Pleione,3384,8395,528
7,1993,2746,7,Thetis,\N,\N,528
8,1809,\N,8,Venusian,3664,2532,233
9,3543,4878,9,Lazarus Expedition,\N,\N,528
10,523,783,10,Phobos,1469,1893,440
11,1932,2657,11,Demeter,\N,\N,45
12,424,607,12,Phanes,\N,\N,319
13,1478,2055,13,Achlys,\N,\N,227
14,1658,\N,14,Epimetheus,\N,\N,56
15,1558,2163,15,Spear of Hope,\N,\N,317
