id,grSite,activeObelisk
1,1,276
2,1,293
3,1,299
4,1,315
5,1,372
6,1,374
7,1,399
8,1,501
9,1,551
10,1,553
11,2,269
12,2,281
13,2,355
14,2,392
15,2,430
16,2,433
17,2,434
18,2,498
19,2,517
20,2,522
21,3,38
22,3,40
23,3,48
24,3,53
25,3,62
26,3,67
27,3,104
28,3,121
29,3,129
30,3,149
31,3,152
32,3,163
33,3,197
34,4,273
35,4,282
36,4,359
37,4,363
38,4,396
39,4,405
40,4,408
41,4,411
42,4,438
43,4,472
44,4,475
45,5,5
46,5,8
47,5,11
48,5,42
49,5,47
50,5,56
51,5,61
52,5,87
53,5,94
54,5,103
55,5,108
56,5,148
57,5,155
58,5,233
59,5,235
60,5,257
61,5,263
62,5,266
63,6,285
64,6,302
65,6,381
66,6,391
67,6,435
68,6,440
69,6,500
70,6,513
71,6,528
72,7,9
73,7,12
74,7,20
75,7,78
76,7,86
77,7,97
78,7,102
79,7,110
80,7,138
81,7,147
82,7,158
83,7,171
84,7,183
85,7,185
86,7,194
87,7,210
88,7,226
89,7,227
90,7,231
91,7,242
92,7,253
93,7,263
94,8,281
95,8,358
96,8,374
97,8,382
98,8,434
99,8,479
100,8,497
101,8,498
102,9,612
103,9,616
104,9,635
105,9,639
106,9,643
107,9,662
108,9,664
109,9,672
110,9,677
111,9,678
112,9,680
113,9,695
114,9,697
115,9,722
116,9,730
117,9,789
118,9,801
119,9,804
120,9,810
121,9,811
122,9,859
123,9,863
124,9,871
125,9,884
126,9,888
127,9,907
128,9,920
129,9,927
130,9,930
131,9,947
132,9,951
133,10,311
134,10,317
135,10,434
136,10,439
137,10,445
138,10,447
139,10,465
140,10,498
141,10,501
142,10,517
143,10,518
144,10,523
145,11,42
146,11,47
147,11,48
148,11,56
149,11,61
150,11,62
151,11,103
152,11,104
153,11,133
154,11,137
155,11,177
156,11,182
157,11,191
158,11,192
159,11,197
160,11,201
161,11,213
162,11,221
163,11,225
164,11,233
165,11,235
166,11,238
167,12,24
168,12,29
169,12,36
170,12,52
171,12,53
172,12,54
173,12,66
174,12,67
175,12,68
176,12,74
177,12,78
178,12,108
179,12,110
180,12,119
181,12,120
182,12,128
183,12,147
184,12,160
185,12,161
186,12,167
187,12,171
188,12,207
189,12,208
190,12,226
191,12,242
192,12,256
193,12,260
194,12,267
195,13,7
196,13,8
197,13,12
198,13,22
199,13,39
200,13,56
201,13,61
202,13,93
203,13,99
204,13,130
205,13,132
206,13,136
207,13,166
208,13,176
209,13,177
210,13,183
211,13,200
212,13,231
213,13,233
214,14,612
215,14,627
216,14,630
217,14,639
218,14,654
219,14,657
220,14,710
221,14,711
222,14,712
223,14,720
224,14,730
225,14,793
226,14,797
227,14,804
228,14,809
229,14,811
230,14,833
231,14,838
232,14,844
233,14,847
234,14,852
235,14,854
236,14,877
237,14,879
238,14,884
239,14,899
240,14,902
241,14,912
242,14,914
243,14,923
244,14,930
245,14,932
246,15,647
247,15,662
248,15,664
249,15,665
250,15,691
251,15,699
