id,grType,groupName,amount
1,1,A,20
2,1,B,21
3,1,C,14
4,1,D,14
5,1,E,10
6,1,F,22
7,1,G,4
8,1,H,7
9,1,I,20
10,1,J,8
11,1,K,22
12,1,L,10
13,1,M,24
14,1,N,10
15,1,O,20
16,1,P,13
17,1,Q,29
18,2,A,10
19,2,B,6
20,2,C,25
21,2,D,12
22,2,E,27
23,2,F,8
24,2,G,18
25,2,H,10
26,2,I,12
27,2,J,10
28,2,K,27
29,2,L,6
30,2,M,3
31,2,N,25
32,2,O,3
33,2,P,27
34,2,Q,8
35,2,R,27
36,2,S,3
37,2,T,18
38,2,U,55
39,3,A,27
40,3,B,27
41,3,C,15
42,3,D,16
43,3,E,10
44,3,F,15
45,3,G,14
46,3,H,57
47,3,I,18
48,3,J,9
49,3,K,15
50,3,L,14
51,3,M,14
52,3,N,14
53,3,O,8
54,3,P,27
55,3,Q,10
56,3,R,27
57,3,S,8
