id,grType,grObeliskGroup,obeliskNumber,broken,grCodexData,verified
1,2,1,01,0,61,0
2,2,1,02,0,61,0
3,2,1,03,0,66,0
4,2,1,04,0,67,0
5,2,1,05,0,1,1
6,2,1,06,0,2,1
7,2,1,07,0,3,1
8,2,1,08,0,4,0
9,2,1,09,0,20,0
10,2,1,10,0,21,0
11,2,1,11,0,22,0
12,2,1,12,0,23,0
13,2,1,13,0,40,0
14,2,1,14,0,41,1
15,2,1,15,0,42,0
16,2,1,16,0,43,0
17,2,1,17,0,82,0
18,2,1,18,0,83,0
19,2,1,19,0,84,0
20,2,1,20,0,85,0
21,2,2,01,0,22,0
22,2,2,02,0,21,1
23,2,2,03,0,20,0
24,2,2,04,0,22,0
25,2,2,05,0,21,0
26,2,2,06,0,20,1
27,2,2,07,0,25,0
28,2,2,08,1,\N,1
29,2,2,09,0,23,0
30,2,2,10,1,\N,1
31,2,2,11,1,\N,1
32,2,2,12,0,23,1
33,2,2,13,1,\N,1
34,2,2,14,0,24,0
35,2,2,15,0,23,0
36,2,2,16,0,22,0
37,2,2,17,0,21,0
38,2,2,18,0,20,1
39,2,2,19,0,22,0
40,2,2,20,0,21,1
41,2,2,21,0,20,0
42,2,3,01,0,23,1
43,2,3,02,0,23,0
44,2,3,03,0,22,1
45,2,3,04,0,22,0
46,2,3,05,1,\N,1
47,2,3,06,0,24,1
48,2,3,07,0,24,1
49,2,3,08,0,21,1
50,2,3,09,1,\N,1
51,2,3,10,1,\N,1
52,2,3,11,0,25,0
53,2,3,12,0,25,0
54,2,3,13,0,20,1
55,2,3,14,1,\N,1
56,2,4,01,0,25,1
57,2,4,02,0,24,0
58,2,4,03,0,85,0
59,2,4,04,0,84,0
60,2,4,05,1,\N,1
61,2,4,06,0,25,0
62,2,4,07,0,24,0
63,2,4,08,0,86,0
64,2,4,09,1,\N,1
65,2,4,10,1,\N,1
66,2,4,11,0,25,0
67,2,4,12,0,24,0
68,2,4,13,0,87,0
69,2,4,14,1,\N,1
70,2,5,01,0,42,0
71,2,5,02,0,43,0
72,2,5,03,0,44,0
73,2,5,04,0,46,0
74,2,5,05,0,45,0
75,2,5,06,0,46,0
76,2,5,07,0,45,0
77,2,5,08,0,41,0
78,2,5,09,0,40,0
79,2,5,10,1,\N,1
80,2,6,01,0,1,0
81,2,6,02,1,\N,1
82,2,6,03,0,1,0
83,2,6,04,0,1,1
84,2,6,05,0,2,0
85,2,6,06,0,2,0
86,2,6,07,0,2,0
87,2,6,08,0,2,1
88,2,6,09,0,3,0
89,2,6,10,0,3,0
90,2,6,11,0,\N,
91,2,6,12,0,4,1
92,2,6,13,0,3,1
93,2,6,14,0,3,1
94,2,6,15,0,4,0
95,2,6,16,0,\N,
96,2,6,17,0,6,0
97,2,6,18,0,6,0
98,2,6,19,0,5,1
99,2,6,20,0,5,0
100,2,6,21,0,6,1
101,2,6,22,0,5,0
102,2,7,01,0,41,0
103,2,7,02,0,42,1
104,2,7,03,0,44,1
105,2,7,04,1,\N,1
106,2,8,01,0,43,1
107,2,8,02,1,\N,1
108,2,8,03,0,42,1
109,2,8,04,0,41,0
110,2,8,05,0,40,0
111,2,8,06,1,\N,1
112,2,8,07,1,\N,1
113,2,9,01,0,1,1
114,2,9,02,1,\N,1
115,2,9,03,0,1,0
116,2,9,04,0,1,0
117,2,9,05,0,2,0
118,2,9,06,0,3,1
119,2,9,07,0,3,1
120,2,9,08,0,2,0
121,2,9,09,0,5,1
122,2,9,10,0,4,1
123,2,9,11,0,4,0
124,2,9,12,0,6,1
125,2,9,13,0,5,0
126,2,9,14,0,5,0
127,2,9,15,0,5,0
128,2,9,16,0,6,1
129,2,9,17,0,6,0
130,2,9,18,0,6,0
131,2,9,19,0,5,0
132,2,9,20,0,6,0
133,2,10,01,0,40,1
134,2,10,02,0,46,0
135,2,10,03,0,42,0
136,2,10,04,0,45,1
137,2,10,05,0,43,1
138,2,10,06,0,44,0
139,2,10,07,0,41,0
140,2,10,08,1,\N,1
141,2,11,01,0,82,0
142,2,11,02,1,\N,1
143,2,11,03,0,82,0
144,2,11,04,0,82,0
145,2,11,05,0,83,0
146,2,11,06,0,83,0
147,2,11,07,0,84,0
148,2,11,08,0,84,0
149,2,11,09,0,40,0
150,2,11,10,0,44,0
151,2,11,11,0,44,0
152,2,11,12,0,43,0
153,2,11,13,0,40,0
154,2,11,14,0,44,0
155,2,11,15,0,44,0
156,2,11,16,0,43,0
157,2,11,17,0,20,0
158,2,11,18,0,21,0
159,2,11,19,0,23,0
160,2,11,20,0,24,0
161,2,11,21,0,25,0
162,2,11,22,0,25,0
163,2,12,01,0,42,0
164,2,12,02,0,43,0
165,2,12,03,0,44,0
166,2,12,04,0,46,1
167,2,12,05,0,45,0
168,2,12,06,0,46,1
169,2,12,07,0,45,1
170,2,12,08,0,41,0
171,2,12,09,0,40,0
172,2,12,10,1,\N,1
173,2,13,01,0,61,1
174,2,13,02,0,62,0
175,2,13,03,0,63,1
176,2,13,04,0,64,0
177,2,13,05,0,65,1
178,2,13,06,0,66,1
179,2,13,07,0,67,1
180,2,13,08,1,\N,1
181,2,13,09,0,61,0
182,2,13,10,0,62,1
183,2,13,11,0,63,1
184,2,13,12,0,64,1
185,2,13,13,0,65,0
186,2,13,14,0,66,1
187,2,13,15,1,\N,1
188,2,13,16,1,\N,1
189,2,13,17,0,61,1
190,2,13,18,0,62,0
191,2,13,19,0,63,1
192,2,13,20,0,64,1
193,2,13,21,0,65,0
194,2,13,22,0,66,0
195,2,13,23,1,\N,1
196,2,13,24,0,67,1
197,2,14,01,0,42,1
198,2,14,02,0,43,0
199,2,14,03,0,44,1
200,2,14,04,0,46,0
201,2,14,05,0,45,1
202,2,14,06,0,46,0
203,2,14,07,0,45,0
204,2,14,08,0,41,0
205,2,14,09,0,40,0
206,2,14,10,1,\N,1
207,2,15,01,0,82,0
208,2,15,02,0,83,0
209,2,15,03,0,84,0
210,2,15,04,0,85,1
211,2,15,05,0,86,0
212,2,15,06,0,87,0
213,2,15,07,0,82,1
214,2,15,08,0,83,0
215,2,15,09,0,84,0
216,2,15,10,0,85,0
217,2,15,11,0,86,0
218,2,15,12,0,87,1
219,2,15,13,1,\N,1
220,2,15,14,1,\N,1
221,2,15,15,0,83,1
222,2,15,16,0,84,1
223,2,15,17,0,85,0
224,2,15,18,0,86,0
225,2,15,19,0,86,1
226,2,15,20,0,87,1
227,2,16,01,0,87,0
228,2,16,02,0,\N,
229,2,16,03,0,87,0
230,2,16,04,0,86,0
231,2,16,05,0,86,1
232,2,16,06,0,84,0
233,2,16,07,0,84,1
234,2,16,08,0,85,0
