id,system,body,siteID,extoolID,latitude,longitude,type,verified,visible,discoveredBy
1,4019,5473,1,\N,-31.7347,-128.9212,3,1,1,600
2,2171,2947,2,\N,-29.1664,-30.5041,3,1,1,116
3,2178,2956,3,\N,29.4200,-59.5400,2,1,1,600
4,4018,5470,4,\N,19.5300,-141.7600,3,1,1,600
5,4043,5511,5,\N,-23.3821,178.9094,2,1,1,600
6,767,1086,6,\N,16.2701,18.1282,3,1,1,600
7,767,1086,7,\N,46.0700,-171.3300,2,1,1,600
8,1982,2689,8,\N,7.0924,170.2272,3,1,1,600
9,3988,5439,9,\N,59.3300,15.1000,4,1,1,600
10,3988,5439,10,\N,31.9672,-100.0063,3,1,1,64
11,3988,5439,11,\N,31.8800,-100.0500,2,1,1,64
12,767,1087,12,\N,-15.0842,-102.9397,2,1,1,600
13,3938,5370,13,\N,-30.5400,-24.2000,2,1,1,600
14,767,1087,14,\N,-37.5256,84.2501,4,1,1,600
15,3922,5344,15,\N,-10.0700,114.5000,4,1,1,600
16,3922,5344,16,\N,-37.3100,106.4200,4,1,1,600
17,3922,5344,17,\N,9.0200,48.7700,3,1,1,600
18,636,923,18,\N,42.8343,-175.6545,3,1,1,600
19,636,923,19,\N,33.2757,-175.5038,3,1,1,600
20,636,923,20,\N,-18.7380,-135.5687,4,1,1,600
21,767,1088,21,\N,-10.8195,-89.8905,3,1,1,600
22,3938,5370,22,\N,0.6600,-36.82,2,1,1,600
23,779,1101,23,\N,65.9181,-128.5455,2,1,1,600
24,779,1101,24,\N,71.3187,-112.4353,3,1,1,600
25,1982,2689,25,\N,-0.0129,-149.4705,3,1,1,216
26,779,1101,26,\N,39.7396,48.2240,3,1,1,600
27,779,1102,27,\N,21.9117,154.1760,4,1,1,600
28,884,1225,28,\N,-17.0000,44.2400,3,1,1,600
29,780,1103,29,\N,-20.3200,-133.6400,2,1,1,600
30,652,942,30,\N,-42.7780,130.3500,4,1,1,600
31,652,942,31,\N,-15.8330,-172.5550,4,1,1,600
32,652,943,32,\N,19.0369,155.2710,4,1,1,600
33,780,1103,33,\N,1.5200,-116.6500,3,1,1,600
34,780,1103,34,\N,-5.0000,-175.2100,4,1,1,600
35,780,1104,35,\N,-6.3400,130.6700,2,1,1,600
36,809,1137,36,\N,-20.9600,82.6100,4,1,1,600
37,809,1137,37,\N,-3.8000,84.5200,2,1,1,600
38,809,1137,38,\N,-31.6400,150.7600,2,1,1,600
39,884,1226,39,\N,15.9200,23.8100,3,1,1,600
40,884,1226,40,\N,-77.1000,127.4500,3,1,1,600
41,3833,5238,41,\N,-27.2200,-7.3600,3,1,1,600
42,3833,5238,42,\N,-27.1500,-7.2900,2,1,1,600
43,3833,5238,43,\N,-18.2300,0.2700,2,1,1,600
44,4046,5515,44,\N,28.8065,-51.8289,2,1,1,600
45,4046,5515,45,\N,13.8800,-0.5478,3,1,1,600
46,4046,5515,46,\N,-32.7100,-34.0391,2,1,1,600
47,2169,2944,47,\N,9.2000,-130.0600,2,1,1,458
48,4279,5837,48,\N,-31.4700,-44.5200,2,1,1,600
49,4277,5834,49,\N,-22.4296,126.9466,3,1,1,600
50,4279,5837,50,\N,-19.5500,-1.9400,2,1,1,600
51,4279,5837,51,\N,-36.7800,20.0200,2,1,1,600
52,4277,5832,52,\N,-18.4224,65.5005,2,1,1,600
53,4279,5838,53,\N,36.8100,132.8800,3,1,1,600
54,4277,5832,54,\N,-17.0825,-54.7755,2,1,1,600
55,4269,5821,55,\N,41.1500,129.2600,2,1,1,600
56,4269,5821,56,\N,10.4600,130.2400,3,1,1,600
57,4269,5821,57,\N,7.9000,-86.4600,4,1,1,600
58,633,919,58,\N,-33.1039,-32.2718,3,1,1,600
59,633,920,59,\N,13.3300,-61.5500,4,1,1,600
60,633,920,60,\N,19.0100,-100.9600,2,1,1,600
61,633,920,61,\N,-35.3193,-73.9108,3,1,1,600
62,804,1131,62,\N,2.4000,132.0500,4,1,1,600
63,804,1131,63,\N,-18.9000,105.0700,2,1,1,600
64,3938,5370,64,\N,48.1800,-48.3600,4,1,1,600
65,804,1130,65,\N,44.5700,-20.0600,2,1,1,600
66,804,1130,66,\N,-30.5000,-13.6000,2,1,1,600
67,804,1130,67,\N,2.0000,-10.6700,3,1,1,419
68,3561,4876,68,\N,-37.8069,10.3557,3,1,1,590
69,3561,4876,69,\N,-49.6706,-69.6161,4,1,1,600
70,872,1211,70,\N,21.3466,68.6129,3,1,1,600
71,872,1211,71,\N,21.3906,68.6436,4,1,1,600
72,872,1211,72,\N,21.1877,70.8749,4,1,1,600
73,662,960,73,\N,10.1834,69.4547,2,1,1,600
74,662,960,74,\N,25.5372,115.6490,3,1,1,600
75,662,961,75,\N,48.7466,179.7078,3,1,1,600
76,876,1215,76,\N,-21.2500,-24.9300,4,1,1,600
77,876,1215,77,\N,-17.5000,43.1700,3,1,1,600
78,876,1215,78,\N,31.8000,65.4400,3,1,1,600
79,860,1197,79,\N,-12.0051,-99.3617,3,1,1,600
80,860,1197,80,\N,19.2700,-96.1461,4,1,1,600
81,860,1197,81,\N,10.1154,-21.0965,4,1,1,600
82,819,1147,82,\N,-46.2479,-114.4967,4,1,1,600
83,819,1147,83,\N,-15.0791,-130.6873,4,1,1,600
84,819,1147,84,\N,29.1155,-91.8998,4,1,1,600
85,4273,5826,85,\N,-4.5000,-176.3000,4,1,1,600
86,4273,5826,86,\N,11.3732,-154.284,2,1,1,236
87,4273,5827,87,\N,16.0000,-176.1000,4,1,1,600
88,4273,5827,88,\N,-28.9000,163.1600,2,1,1,600
89,4042,5509,89,\N,-26.6530,-148.4250,3,1,1,378
90,4042,5509,90,\N,-26.7190,-148.3720,2,1,1,378
91,4042,5509,91,\N,39.9240,-109.1930,3,1,1,600
92,3561,4876,92,\N,-37.8226,10.4979,4,1,1,590
93,754,1070,93,\N,47.4754,32.6829,4,1,1,600
94,754,1070,94,\N,8.5207,72.4930,3,1,1,600
95,754,1070,95,\N,-18.6814,61.8930,3,1,1,600
96,668,968,96,\N,52.4700,39.8400,3,1,1,600
97,668,968,97,\N,-14.1000,42.5400,2,1,1,600
98,668,968,98,\N,-2.7700,-39.3600,2,1,1,600
99,685,987,99,\N,-54.5807,17.0799,3,1,1,600
