id,gsSite,activeGroup
1,1,9
2,1,11
3,2,16
4,2,17
5,2,18
6,2,19
7,3,12
8,3,13
9,3,14
10,4,1
11,4,2
12,4,4
13,5,9
14,5,10
15,5,11
16,6,1
17,6,2
18,6,4
19,7,9
20,7,10
21,7,11
22,8,12
23,8,13
24,8,14
25,9,16
26,9,17
27,9,18
28,9,19
29,10,1
30,10,2
31,10,4
32,11,9
33,11,11
34,12,1
35,12,2
36,12,4
37,13,24
38,13,25
39,13,26
40,13,27
41,14,1
42,14,2
43,14,4
44,15,5
45,15,6
46,15,8
47,16,1
48,16,2
49,16,4
50,17,5
51,17,6
52,17,7
53,18,1
54,18,2
55,18,4
56,19,12
57,19,13
58,19,14
59,20,1
60,20,2
61,20,4
62,21,5
63,21,6
64,21,8
65,22,6
66,22,8
67,23,16
68,23,17
69,23,18
70,23,19
71,24,16
72,24,17
73,25,1
74,25,2
75,25,4
76,26,16
77,26,17
78,26,18
79,26,19
80,27,9
81,27,10
82,27,11
83,28,9
84,28,10
85,28,11
86,29,1
87,29,2
88,29,4
89,30,5
90,30,6
91,30,8
92,31,24
93,31,25
94,31,26
95,31,27
96,32,24
97,32,25
98,32,26
99,32,27
100,33,20
101,33,21
102,33,22
103,33,23
104,34,20
105,34,21
106,34,22
107,34,23
108,35,20
109,35,21
110,35,22
111,35,23
112,36,12
113,36,13
114,36,14
115,37,12
116,37,13
117,37,14
118,38,20
119,38,22
120,38,23
121,39,6
122,39,8
123,40,1
124,40,2
125,40,4
126,41,6
127,41,8
128,42,16
129,42,17
130,42,18
131,42,19
132,43,12
133,43,13
134,43,14
135,44,24
136,44,25
137,44,26
138,44,27
139,45,20
140,45,21
141,45,22
142,45,23
143,46,9
144,46,10
145,46,11
146,47,5
147,47,6
148,47,7
149,48,20
150,48,21
151,48,23
152,49,24
153,49,25
154,49,26
155,49,27
156,50,21
157,50,22
158,50,23
159,51,5
160,51,6
161,51,8
162,52,12
163,52,13
164,52,14
165,53,12
166,53,13
167,54,1
168,54,2
169,54,4
170,55,12
171,55,13
172,55,14
173,56,20
174,56,23
175,57,9
176,57,10
177,57,11
178,58,1
179,58,2
180,58,4
181,59,5
182,59,6
183,59,7
184,59,8
185,60,24
186,60,25
187,60,26
188,60,27
189,61,20
190,61,21
191,61,22
192,62,9
193,62,10
194,62,11
195,63,1
196,63,2
197,63,4
198,64,5
199,64,6
200,64,8
201,65,5
202,65,6
203,65,8
204,66,20
205,66,21
206,66,22
207,67,20
208,67,21
209,67,22
210,68,16
211,68,17
212,68,18
213,68,19
214,69,1
215,69,2
216,69,4
217,70,16
218,70,17
219,70,18
220,70,19
221,71,12
222,71,13
223,71,14
224,72,5
225,72,6
226,72,8
227,73,1
228,73,2
229,73,4
230,74,9
231,74,10
232,74,11
233,75,38
234,75,39
235,75,42
236,75,45
237,76,38
238,76,39
239,76,42
240,76,45
241,77,38
242,77,39
243,77,42
244,77,45
245,78,32
246,78,33
247,78,34
248,78,35
249,79,38
250,79,39
251,79,41
252,79,44
253,80,28
254,80,29
255,80,30
256,81,32
257,81,33
258,81,34
259,81,35
260,82,28
261,82,29
262,82,30
263,83,28
264,83,29
265,83,30
266,84,38
267,84,39
268,84,41
269,84,44
270,85,32
271,85,33
272,85,34
273,85,35
274,86,38
275,86,39
276,86,42
277,86,45
278,87,28
279,87,29
280,87,30
281,88,32
282,88,33
283,88,34
284,88,35
285,89,38
286,89,39
287,89,42
288,89,45
289,90,9
290,90,10
291,90,11
292,91,38
293,91,39
294,91,42
295,91,45
296,92,28
297,92,29
298,92,30
299,93,38
300,93,39
301,93,41
302,93,44
303,94,28
304,94,29
305,94,30
306,95,28
307,95,29
308,96,28
309,96,29
310,96,30
311,97,32
312,97,33
313,97,34
314,97,35
315,98,28
316,98,29
317,98,30
318,99,32
319,99,33
320,99,34
321,100,38
322,100,39
323,100,41
324,100,45
325,101,33
326,101,34
327,101,35
328,102,32
329,102,33
330,102,34
331,102,35
332,103,16
333,103,17
334,103,18
335,103,19
336,104,16
337,104,17
338,104,18
339,104,19
340,105,28
341,105,29
342,106,32
343,106,33
344,106,34
345,107,12
346,107,13
347,108,9
348,108,10
349,108,11
350,109,20
351,109,21
352,109,23
353,110,12
354,110,13
355,110,14
356,111,9
357,111,10
358,111,11
359,112,5
360,112,6
361,112,8
362,113,24
363,113,25
364,113,26
365,113,27
366,114,16
367,114,17
368,114,18
369,114,19
370,115,1
371,115,2
372,115,4
373,116,16
374,116,17
375,116,18
376,116,19
377,117,9
378,117,11
379,118,5
380,118,6
381,118,7
382,119,24
383,119,25
384,119,26
385,119,27
386,120,5
387,120,6
388,120,7
