"id","gsType","groupName","amount","created_at","updated_at"
1,1,A,6,2018-07-26 03:26:32,2018-07-26 03:26:32
2,1,B,14,2018-07-26 03:26:32,2018-07-26 03:26:32
3,1,C,12,2018-07-26 03:26:32,2018-07-26 03:26:32
4,1,D,14,2018-07-26 03:26:32,2018-07-26 03:26:32
5,2,A,10,2018-07-26 03:26:32,2018-07-26 03:26:32
6,2,B,12,2018-07-26 03:26:32,2018-07-26 03:26:32
7,2,C,5,2018-07-26 03:26:32,2018-07-26 03:26:32
8,2,D,5,2018-07-26 03:26:32,2018-07-26 03:26:32
9,3,A,12,2018-07-26 03:26:32,2018-07-26 03:26:32
10,3,B,10,2018-07-26 03:26:32,2018-07-26 03:26:32
11,3,C,10,2018-07-26 03:26:32,2018-07-26 03:26:32
12,4,A,10,2018-07-26 03:26:32,2018-07-26 03:26:32
13,4,B,12,2018-07-26 03:26:32,2018-07-26 03:26:32
14,4,C,14,2018-07-26 03:26:32,2018-07-26 03:26:32
15,5,A,6,2018-07-26 03:26:32,2018-07-26 03:26:32
16,5,B,4,2018-07-26 03:26:32,2018-07-26 03:26:32
17,5,C,10,2018-07-26 03:26:32,2018-07-26 03:26:32
18,5,D,10,2018-07-26 03:26:32,2018-07-26 03:26:32
19,5,E,16,2018-07-26 03:26:32,2018-07-26 03:26:32
20,6,A,8,2018-07-26 03:26:32,2018-07-26 03:26:32
21,6,B,8,2018-07-26 03:26:32,2018-07-26 03:26:32
22,6,C,8,2018-07-26 03:26:32,2018-07-26 03:26:32
23,6,D,5,2018-07-26 03:26:32,2018-07-26 03:26:32
24,7,A,13,2018-07-26 03:26:32,2018-07-26 03:26:32
25,7,B,14,2018-07-26 03:26:32,2018-07-26 03:26:32
26,7,C,10,2018-07-26 03:26:32,2018-07-26 03:26:32
27,7,D,7,2018-07-26 03:26:32,2018-07-26 03:26:32
28,8,A,18,2018-10-07 06:18:36,2018-10-07 06:18:36
29,8,B,13,2018-10-07 06:18:53,2018-10-07 06:18:53
30,8,C,15,2018-10-07 06:19:08,2018-10-07 06:19:08
31,8,D,12,2018-10-07 06:19:26,2018-10-07 06:19:26
32,9,A,18,2018-10-07 06:24:33,2018-10-07 06:24:33
33,9,B,20,2018-10-07 06:24:41,2018-10-07 06:24:41
34,9,C,26,2018-10-07 06:24:50,2018-10-07 06:24:50
35,9,D,10,2018-10-07 06:24:57,2018-10-07 06:24:57
36,10,A,12,2018-10-07 06:25:07,2018-10-07 06:25:07
37,10,B,12,2018-10-07 06:25:12,2018-10-07 06:25:18
38,10,C,12,2018-10-07 06:25:28,2018-10-07 06:25:29
39,10,D,7,2018-10-07 06:25:37,2018-10-07 06:25:37
40,10,E,7,2018-10-07 06:25:50,2018-10-06 23:27:07
41,10,F,7,2018-10-07 06:25:56,2018-10-06 23:27:07
42,10,G,7,2018-10-07 06:26:03,2018-10-06 23:27:07
43,10,H,7,2018-10-07 06:26:10,2018-10-06 23:27:07
