id,gsType,gsObeliskGroup,obeliskNumber,broken,gsCodexData,verified
1,2,1,01,1,\N,1
2,2,1,02,0,14,0
3,2,1,03,0,16,0
4,2,1,04,0,17,0
5,2,1,05,0,20,0
6,2,1,06,0,10,0
7,2,2,01,0,20,0
8,2,2,02,1,\N,1
9,2,2,03,0,17,0
10,2,2,04,0,26,0
11,2,2,05,0,26,0
12,2,2,06,1,\N,1
13,2,2,07,0,24,0
14,2,2,08,0,16,0
15,2,2,09,1,\N,1
16,2,2,10,1,\N,1
17,2,2,11,1,\N,1
18,2,2,12,1,\N,1
19,2,2,13,1,\N,1
20,2,2,14,1,\N,1
21,2,3,01,1,\N,1
22,2,3,02,1,\N,1
23,2,3,03,1,\N,1
24,2,3,04,1,\N,1
25,2,3,05,1,\N,1
26,2,3,06,1,\N,1
27,2,3,07,1,\N,1
28,2,3,08,1,\N,1
29,2,3,09,1,\N,1
30,2,3,10,1,\N,1
31,2,3,11,1,\N,1
32,2,3,12,1,\N,1
33,2,4,01,1,\N,1
34,2,4,02,1,\N,1
35,2,4,03,1,\N,1
36,2,4,04,1,\N,1
37,2,4,05,0,24,0
38,2,4,06,0,16,0
39,2,4,07,0,26,0
40,2,4,08,0,17,0
41,2,4,09,0,14,0
42,2,4,10,0,10,0
43,2,4,11,0,20,0
44,2,4,12,0,14,0
45,2,4,13,0,10,0
46,2,4,14,0,26,0
47,3,5,01,0,14,0
48,3,5,02,1,\N,1
49,3,5,03,1,\N,1
50,3,5,04,1,\N,1
51,3,5,05,0,3,0
52,3,5,06,0,27,0
53,3,5,07,0,\N,
54,3,5,08,0,20,0
55,3,5,09,0,17,0
56,3,5,10,0,16,0
57,3,6,01,1,\N,1
58,3,6,02,0,14,0
59,3,6,03,0,16,0
60,3,6,04,0,17,0
61,3,6,05,1,\N,1
62,3,6,06,0,20,0
63,3,6,07,1,\N,1
64,3,6,08,1,\N,1
65,3,6,09,0,3,0
66,3,6,10,1,\N,1
67,3,6,11,0,27,0
68,3,6,12,1,\N,1
69,3,7,01,1,\N,1
70,3,7,02,0,27,0
71,3,7,03,0,3,0
72,3,7,04,0,\N,
73,3,7,05,0,14,0
74,3,8,01,0,20,0
75,3,8,02,0,17,0
76,3,8,03,0,16,0
77,3,8,04,0,3,0
78,3,8,05,1,\N,1
79,4,9,01,0,25,0
80,4,9,02,1,\N,1
81,4,9,03,0,20,0
82,4,9,04,0,17,0
83,4,9,05,1,\N,1
84,4,9,06,0,23,0
85,4,9,07,0,28,0
86,4,9,08,0,16,0
87,4,9,09,1,\N,1
88,4,9,10,0,14,0
89,4,9,11,1,\N,1
90,4,9,12,1,\N,1
91,4,10,01,1,\N,1
92,4,10,02,0,25,0
93,4,10,03,0,28,0
94,4,10,04,0,\N,
95,4,10,05,1,\N,1
96,4,10,06,0,17,0
97,4,10,07,0,16,0
98,4,10,08,0,23,0
99,4,10,09,0,14,0
100,4,10,10,0,\N,
101,4,11,01,1,\N,1
102,4,11,02,0,28,0
103,4,11,03,0,16,0
104,4,11,04,0,20,0
105,4,11,05,0,17,0
106,4,11,06,0,25,0
107,4,11,07,0,23,0
108,4,11,08,1,\N,1
109,4,11,09,0,14,0
110,4,11,10,1,\N,1
111,5,12,01,0,17,0
112,5,12,02,1,\N,1
113,5,12,03,0,1,0
114,5,12,04,0,28,0
115,5,12,05,0,26,0
116,5,12,06,1,\N,1
117,5,12,07,1,\N,1
118,5,12,08,0,21,0
119,5,12,09,0,20,0
120,5,12,10,0,19,0
121,5,13,01,0,26,0
122,5,13,02,0,21,0
123,5,13,03,0,20,0
124,5,13,04,0,19,0
125,5,13,05,0,19,0
126,5,13,06,0,\N,
127,5,13,07,0,\N,
128,5,13,08,0,14,0
129,5,13,09,0,12,0
130,5,13,10,0,\N,
131,5,13,11,0,1,0
132,5,13,12,1,\N,1
133,5,14,01,0,28,0
134,5,14,02,1,\N,1
135,5,14,03,1,\N,1
136,5,14,04,0,\N,
137,5,14,05,1,\N,1
138,5,14,06,0,6,0
139,5,14,07,1,\N,1
140,5,14,08,1,\N,1
141,5,14,09,1,\N,1
142,5,14,10,0,\N,
143,5,14,11,0,\N,
144,5,14,12,1,\N,1
145,5,14,13,0,16,0
146,5,14,14,0,15,0
147,6,15,01,1,\N,1
148,6,15,02,1,\N,1
149,6,15,03,1,\N,1
150,6,15,04,1,\N,1
151,6,15,05,1,\N,1
152,6,15,06,1,\N,1
153,6,16,01,0,22,0
154,6,16,02,0,25,0
155,6,16,03,1,\N,1
156,6,16,04,0,18,0
157,6,17,01,0,17,0
158,6,17,02,0,20,0
159,6,17,03,1,\N,1
160,6,17,04,0,\N,
161,6,17,05,0,11,0
162,6,17,06,0,16,0
163,6,17,07,0,\N,
164,6,17,08,1,\N,1
165,6,17,09,0,14,0
166,6,17,10,1,\N,1
167,6,18,01,0,14,0
168,6,18,02,1,\N,1
169,6,18,03,0,\N,
170,6,18,04,0,\N,
171,6,18,05,0,17,0
172,6,18,06,0,16,0
173,6,18,07,0,20,0
174,6,18,08,0,20,0
175,6,18,09,1,\N,1
176,6,18,10,1,\N,1
177,6,19,01,1,\N,1
178,6,19,02,1,\N,1
179,6,19,03,0,7,0
180,6,19,04,1,\N,1
181,6,19,05,0,18,0
182,6,19,06,1,\N,1
183,6,19,07,0,25,0
184,6,19,08,0,4,0
185,6,19,09,1,\N,1
186,6,19,10,1,\N,1
187,6,19,11,0,11,0
188,6,19,12,1,\N,1
189,6,19,13,1,\N,1
190,6,19,14,0,12,0
191,6,19,15,1,\N,1
192,6,19,16,0,22,0
193,7,20,01,0,14,0
194,7,20,02,1,\N,1
195,7,20,03,1,\N,1
196,7,20,04,1,\N,1
197,7,20,05,0,15,0
198,7,20,06,1,\N,1
199,7,20,07,0,16,0
200,7,20,08,1,\N,1
201,7,21,01,0,13,0
202,7,21,02,0,20,0
203,7,21,03,1,\N,1
204,7,21,04,1,\N,1
205,7,21,05,1,\N,1
206,7,21,06,1,\N,1
207,7,21,07,0,11,0
208,7,21,08,0,11,0
209,7,22,01,1,\N,1
210,7,22,02,0,17,0
211,7,22,03,1,\N,1
212,7,22,04,1,\N,1
213,7,22,05,1,\N,1
214,7,22,06,1,\N,1
215,7,22,07,0,18,0
216,7,22,08,1,\N,1
217,7,23,01,0,5,0
218,7,23,02,1,\N,1
219,7,23,03,1,\N,1
220,7,23,04,0,22,0
221,7,23,05,0,8,0
222,8,24,01,1,\N,1
223,8,24,02,1,\N,1
224,8,24,03,1,\N,1
225,8,24,04,0,13,0
226,8,24,05,1,\N,1
227,8,24,06,1,\N,1
228,8,24,07,0,21,0
229,8,24,08,1,\N,1
230,8,24,09,0,21,0
231,8,24,10,0,\N,
232,8,24,11,0,\N,
233,8,24,12,0,24,0
234,8,24,13,0,\N,
235,8,25,01,1,\N,1
236,8,25,02,1,\N,1
237,8,25,03,1,\N,1
238,8,25,04,0,16,0
