id,system,body,siteID,extoolID,latitude,longitude,type,hasDatabank,verified,visible,discoveredBy
1,3672,4998,1,\N,52.6791,115.2503,4,0,1,1,135
2,3987,5430,2,\N,-31.1571,99.4384,6,1,1,1,555
3,683,980,3,\N,43.1349,104.3013,5,1,1,1,296
4,3996,5442,4,\N,28.0021,-15.4242,2,0,1,1,195
5,1866,2549,5,\N,-32.0927,16.5575,4,0,1,1,277
6,631,918,6,\N,10.6348,-12.5755,2,0,0,1,312
7,3782,5147,7,\N,-44.476,-95.0524,4,0,1,1,261
8,3781,5145,8,\N,33.5862,-54.0217,5,1,1,1,312
9,3612,4930,9,\N,-23.2718,126.3758,6,1,1,1,18
10,825,1153,10,\N,-77.9657,-170.4414,2,0,1,1,380
11,613,889,11,\N,-50.1193,-69.9793,4,0,1,1,130
12,778,1095,12,\N,31.46,-154.25,2,0,1,1,428
13,1669,2258,13,\N,40.7966,-106.5073,8,1,1,1,54
14,777,1094,14,\N,-56.6923,91.5176,2,0,1,1,168
15,713,1016,15,\N,-11.4828,107.1574,3,0,1,1,168
16,714,1019,16,\N,37.2591,19.255,2,0,1,1,168
17,3992,5436,17,\N,-57.4285,155.0567,3,0,1,1,168
18,3990,5434,18,\N,-21.8939,-18.9468,2,0,1,1,168
19,3585,4894,19,\N,42.1745,72.6098,5,1,1,1,168
20,3784,5150,20,\N,18.7047,106.9514,2,0,1,1,168
21,685,985,21,\N,-4.9932,-37.9452,3,0,1,1,168
22,1668,2256,22,\N,31.068,130.9747,3,0,1,1,353
23,3731,5082,23,\N,-24.6821,-21.6226,6,1,1,1,70
24,3985,5428,24,\N,-6.5804,-39.8589,6,1,1,1,111
25,687,988,25,\N,22.4474,-58.5793,2,0,1,1,111
26,757,1072,26,\N,-31.6828,-141.3324,6,1,1,1,469
27,3735,5089,27,\N,-27.3238,-17.1637,4,0,1,1,311
28,788,1110,28,\N,-41.6365,126.0865,4,0,1,1,349
29,3993,5438,29,\N,32.8026,139.444,2,0,1,1,442
30,3988,5431,30,\N,18.3677,-69.1438,3,0,1,1,79
31,3982,5424,31,\N,-38.1717,-157.2472,8,1,1,1,168
32,3630,4951,32,\N,-26.0524,32.0035,8,1,1,1,168
33,3994,5439,33,\N,25.3814,145.5499,7,1,1,1,338
34,736,1047,34,\N,-68.9706,-37.988,7,1,1,1,342
35,844,1178,35,\N,-39.3809,-0.3041,7,1,1,1,342
36,3617,4936,36,\N,-20.9783,-19.0668,5,1,1,1,296
37,623,902,37,\N,77.4091,62.0971,5,1,1,1,296
38,740,1054,38,\N,-17.5551,68.0306,7,1,1,1,296
39,834,1166,39,\N,5.1764,-54.8679,3,0,1,1,296
40,835,1167,40,\N,50.0511,-103.6453,2,0,1,1,296
41,3999,5449,41,\N,23.1817,51.5521,3,0,1,1,296
42,3989,5432,42,\N,-14.6799,51.6902,6,1,1,1,296
43,789,1111,43,\N,-23.8931,-58.4678,5,1,1,1,296
44,675,967,44,\N,5.5275,144.351,8,1,1,1,473
45,726,1034,45,\N,61.2262,53.4023,7,1,1,1,296
46,634,923,46,\N,15.887,-18.7158,4,0,1,1,443
47,616,892,47,\N,46.7568,131.9607,3,0,1,1,63
48,680,974,48,\N,-35.5002,-126.2597,7,1,1,1,342
49,3688,5024,49,\N,-34.8383,132.8863,8,1,1,1,527
50,772,1089,50,\N,18.5719,14.3325,7,1,1,1,63
51,773,1090,51,\N,-42.1308,-98.7161,3,0,1,1,63
52,2308,3117,52,\N,62.753,43.22,5,1,1,1,142
53,4004,5459,53,\N,-59.3564,14.9096,5,1,1,1,443
54,3980,5422,54,\N,-46.7879,-46.1474,2,0,1,1,433
55,847,1181,55,\N,48.3529,90.8586,5,1,1,1,443
56,3578,4887,56,\N,-15.3128,53.2152,7,1,1,1,117
57,830,1161,57,\N,-68.5234,66.2561,4,0,1,1,153
