id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,3035,4063,1,\N,5,15.9,128.7378,1,1,294
2,3995,5471,2,\N,2,40.8623,-135.4448,1,1,131
3,2095,2856,3,\N,5,51.7654,-41.0964,1,1,559
4,3970,5437,4,\N,5,17.131,-151.6482,1,1,131
5,3970,5439,5,\N,2,-8.9877,-152.7516,1,1,131
6,2212,3010,6,\N,2,-19.4963,139.1895,1,1,27
7,2120,2893,7,\N,5,39.6166,153.543,1,1,131
8,3105,4188,8,\N,2,27.9999,-49.8855,1,1,458
9,1879,2519,9,\N,2,-35.3356,19.5765,1,1,131
10,1879,2520,10,\N,2,8.7795,135.0627,1,1,131
11,1879,2521,11,\N,2,-8.9989,-13.5666,1,1,131
12,3183,4317,12,\N,5,38.53,-43.3475,1,1,617
13,2037,2769,13,\N,5,-72.1764,-46.1385,1,1,95
14,4601,70,14,\N,2,-46.2715,-27.2424,1,1,236
15,1008,1392,15,\N,5,29.4087,-123.425,1,1,134
16,3292,4448,16,\N,5,-11.0076,-95.6506,1,1,482
17,2029,2755,17,\N,2,-36.6332,39.7665,1,1,304
18,2029,2756,18,\N,5,0.4859,-59.155,1,1,304
19,1008,1392,19,\N,5,35.9001,-118.7099,1,1,134
20,3183,4317,20,\N,5,-18.82,75.8481,1,1,617
21,3786,5212,21,\N,2,-44.4849,41.9599,1,1,617
22,2493,3363,22,\N,5,0.352,-143.1376,1,1,562
23,1044,1435,23,\N,2,23.3827,-174.2183,1,1,331
24,4009,5488,24,\N,2,6.9444,115.0325,1,1,232
25,4009,5487,25,\N,5,-48.833,45.0308,1,1,232
26,1732,2310,26,\N,2,57.5969,-58.8564,1,1,134
27,4137,5652,27,\N,2,14.3646,-26.3509,1,1,236
28,4196,5727,28,\N,5,7.1489,155.5281,1,1,464
29,4196,5727,29,\N,5,-5.0009,158.9194,1,1,464
30,2034,2766,30,\N,5,22.3967,108.8053,1,1,95
31,328,453,31,\N,5,35.9865,133.2977,1,1,581
32,2844,3831,32,\N,2,36.7964,131.8809,1,1,14
33,2844,3831,33,\N,2,-43.0577,80.3463,1,1,14
34,2844,3832,34,\N,2,13.6079,-29.8262,1,1,14
35,1610,2153,35,\N,2,-60.542,160.2476,1,1,482
36,1609,2152,36,\N,2,44.4901,152.596,1,1,482
37,3787,5213,37,\N,2,-6.6984,135.0052,1,1,617
38,3787,5213,38,\N,2,54.1026,12.4994,1,1,617
39,2844,3832,39,\N,2,13.5338,-49.649,1,1,14
40,3787,5214,40,\N,2,-40.2535,-170.7767,1,1,617
41,3787,5214,41,\N,2,-72.8069,79.7532,1,1,617
42,617,912,42,\N,2,-31.7149,-144.3473,1,1,482
43,3140,4263,43,\N,2,71.5002,-76.6557,1,1,144
44,3757,5173,44,\N,2,-59.078,44.7697,1,1,617
45,3757,5174,45,\N,5,-5.1364,-28.1012,1,1,617
46,2365,3202,46,\N,5,-45.2049,118.5496,1,1,463
47,2106,2878,47,\N,5,-52.3748,128.1057,1,1,505
48,520,751,48,\N,5,-30.9317,117.6281,1,1,304
49,520,752,49,\N,2,-33.7106,147.9782,1,1,304
