id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,2821,1311,1,\N,1,75.9209,-50.3884,1,1,468
2,115,144,2,\N,1,26.6262,-3.0664,1,1,468
3,3935,5352,3,\N,1,-6.9893,-152.8119,1,1,468
4,263,364,4,\N,1,12.2184,-10.2441,1,1,480
5,263,364,5,\N,1,-74.9864,-95.0046,1,1,480
6,263,364,6,\N,1,-70.0366,-174.733,1,1,480
7,4099,5586,7,\N,1,-54.9481,-94.6083,1,1,316
8,263,364,8,\N,1,-68.6117,-99.6224,1,1,480
9,263,364,9,\N,1,-59.4326,-160.4244,1,1,480
10,589,863,10,\N,1,-17.773,161.6514,1,1,388
11,589,864,11,\N,1,-2.828,137.6917,1,1,388
12,3533,4853,12,\N,1,3.1723,172.4312,1,1,480
13,2979,4021,13,\N,1,-27.8096,162.5179,1,1,304
14,1394,1877,14,\N,1,-44.4899,-100.638,1,1,388
15,3911,5323,15,\N,1,61.8835,-67.7267,1,1,238
16,3911,5323,16,\N,1,72.4314,33.945,1,1,238
17,2917,3942,17,\N,1,12.2835,-142.915,1,1,324
18,417,594,18,\N,1,69.4519,-5.442,1,1,481
19,1393,1876,19,\N,1,-0.4513,-153.3462,1,1,388
20,416,593,20,\N,1,-19.8031,-63.1552,1,1,501
21,1595,2129,21,\N,1,-14.9909,-162.372,1,1,388
22,1595,2128,22,\N,1,63.9633,110.5599,1,1,388
23,1462,1969,23,\N,1,-66.1609,-44.7732,0,1,213
24,1462,1969,24,\N,1,-65.3703,-45.1379,0,1,213
25,415,592,25,\N,1,53.0882,133.8129,0,1,481
26,1594,2127,26,\N,1,11.5539,146.229,1,1,388
27,1349,1811,27,\N,1,7.0446,139.2528,1,1,323
28,1598,2134,28,\N,1,23.8555,154.0171,1,1,388
29,1598,2134,29,\N,1,32.5508,-10.59,1,1,388
30,2392,3222,30,\N,1,-42.0135,13.2121,1,1,213
31,1598,2134,31,\N,1,40.4231,32.2982,1,1,388
32,3006,4050,32,\N,1,-45.7789,139.0983,1,1,213
33,1116,1510,33,\N,1,-3.5348,11.0031,1,1,388
34,2327,3138,34,\N,1,-7.0972,-106.007,1,1,388
35,2327,3138,35,\N,1,-18.0463,42.0863,1,1,388
36,351,504,36,\N,1,27.2378,-80.1881,1,1,471
37,371,530,37,\N,1,31.5565,177.7729,1,1,481
38,2912,3936,38,\N,1,-6.8861,-172.1937,1,1,213
39,2912,3936,39,\N,1,0.4241,-156.0717,1,1,213
40,2912,3937,40,\N,1,-65.3787,-127.0076,1,1,213
41,869,1206,41,\N,1,25.4626,65.4087,1,1,301
42,869,1206,42,\N,1,-43.9843,1.1024,1,1,301
43,869,1206,43,\N,1,-44.1371,50.7621,1,1,301
44,869,1206,44,\N,1,-44.7745,-129.1465,1,1,301
45,37,53,45,\N,1,13.5261,72.3732,1,1,378
46,3035,4086,46,\N,1,0.5314,164.4449,1,1,213
47,1707,2289,47,\N,1,-68.0372,69.3178,1,1,119
48,4059,5537,48,\N,1,60.9169,-170.8148,1,1,213
49,3257,4429,49,\N,1,8.6381,85.2415,1,1,388
50,3401,4658,50,\N,1,7.7084,127.5177,1,1,388
51,3403,4660,51,\N,1,2.3561,-151.1994,1,1,388
52,1203,1628,52,\N,1,10.6252,-31.6873,1,1,388
53,1203,1628,53,\N,1,-9.4622,137.787,1,1,388
54,1203,1628,54,\N,1,5.4729,44.9933,1,1,388
55,1009,1381,55,\N,1,19.8462,-129.6812,1,1,388
56,313,423,56,\N,1,1.8216,134.8014,1,1,388
57,2114,2871,57,\N,1,8.2202,179.1203,1,1,388
58,2625,3539,58,\N,1,-32.971,-38.7788,1,1,497
59,589,863,59,\N,1,-28.4146,-175.0873,1,1,388
60,3057,4113,60,\N,1,-44.9294,177.7631,1,1,488
61,40,57,61,\N,1,-22.8044,-162.152,1,1,381
62,91,114,62,\N,1,-77.4617,-50.8017,1,1,381
63,982,1350,63,\N,1,-37.4387,17.6597,1,1,468
64,483,686,64,\N,1,44.3791,82.0343,1,1,213
65,483,683,65,\N,1,-27.6217,-91.5997,1,1,213
66,2701,3644,66,\N,1,74.376,-132.0391,1,1,119
67,2700,3643,67,\N,1,-70.4309,-54.8392,1,1,119
68,2025,2765,68,\N,1,29.2006,-125.8242,1,1,119
69,510,722,69,\N,1,-17.8234,4.5288,1,1,119
70,512,724,70,\N,1,-71.6255,89.7166,1,1,119
71,3300,4508,71,\N,1,63.4922,-45.0519,1,1,119
72,99,122,72,\N,1,-73.9918,-138.3031,1,1,119
73,99,122,73,\N,1,18.1597,91.6293,1,1,119
74,1659,2211,74,\N,1,0.5794,-50.3964,1,1,119
75,1587,2118,75,\N,1,1.427,-44.4923,1,1,119
76,429,608,76,\N,1,7.6378,51.2403,1,1,388
77,329,452,77,\N,1,5.0132,-33.5507,1,1,388
78,329,452,78,\N,1,5.5164,-1.7702,1,1,388
79,329,452,79,\N,1,1.4409,-57.4692,1,1,388
80,329,452,80,\N,1,-4.7885,-109.6641,1,1,388
81,1465,1974,81,\N,1,26.4409,32.2934,1,1,119
82,3897,5307,82,\N,1,60.6979,-63.91,1,1,213
83,1463,1971,83,\N,1,4.5512,134.9256,1,1,119
84,1463,1972,84,\N,1,-63.2305,124.8885,1,1,119
85,1463,1972,85,\N,1,-4.0162,75.5957,1,1,119
86,457,650,86,\N,1,-42.7632,-170.3476,1,1,553
87,1612,2152,87,\N,1,-14.0999,-118.796,1,1,553
88,1712,2297,88,\N,1,2.1302,-151.9498,1,1,388
89,598,875,89,\N,1,8.3276,78.5431,1,1,388
90,598,875,90,\N,1,-4.4724,144.9877,1,1,388
91,1831,2473,91,\N,1,-62.4191,-91.1052,1,1,40
92,1936,2647,92,\N,1,55.113,133.1936,1,1,119
93,3486,4786,93,\N,1,-27.6844,-167.5612,1,1,119
94,1943,2656,94,\N,1,-31.7253,-141.3446,0,1,85
95,163,223,95,\N,1,-30.0218,90.3067,1,1,34
96,238,330,96,\N,1,-64.5114,-141.8469,1,1,480
97,2717,3663,97,\N,1,-2.3394,72.591,1,1,119
98,3490,4794,98,\N,1,37.9275,-69.219,1,1,119
99,2051,2796,99,\N,1,19.0704,-40.2641,1,1,119
100,3034,4085,100,\N,1,-42.7127,4.77333,1,1,230
101,1875,2532,101,\N,1,-32.3126,-95.9821,1,1,108
102,2626,3540,102,\N,1,2.5466,130.8567,1,1,107
103,2638,3558,103,\N,1,61.3471,8.1776,1,1,85
104,2113,2870,104,\N,1,19.7327,98.5563,1,1,440
105,1611,2151,105,\N,1,-23.0644,174.8761,1,1,230
106,4135,5635,106,\N,1,38.4272,8.6941,1,1,10
107,2197,2976,107,\N,1,23.7525,-174.9074,0,1,517
108,2197,2976,108,\N,1,-24.4369,-177.1284,0,1,517
109,2197,2977,109,\N,1,70.3948,99.68,0,1,517
110,3610,4939,110,\N,1,-65.7459,-78.3693,0,1,334
111,1717,2310,111,\N,3,-30.7649,153.5641,1,1,95
112,2124,2882,112,\N,3,23.0261,110.3698,1,1,578
113,4098,5585,113,\N,3,-12.2711,38.7918,1,1,221
114,3696,5050,114,\N,2,33.1409,-155.393,1,1,121
115,2377,3202,115,\N,2,-25.541,30.7724,1,1,121
116,1967,2681,116,\N,2,30.7271,-109.0104,1,1,524
117,1967,2681,117,\N,2,29.4523,150.8852,1,1,524
118,3863,5261,118,\N,2,0.6839,2.4836,1,1,121
119,3673,5017,119,\N,2,-55.4274,101.6848,1,1,121
120,3673,5016,120,\N,2,18.458,-22.3627,1,1,121
121,2070,2818,121,\N,3,-57.435,-4.5734,1,1,25
122,3673,5018,122,\N,2,-29.3375,85.2178,1,1,121
123,4096,5582,123,\N,2,-26.1345,125.497,1,1,221
124,1763,2371,124,\N,2,-29.7865,-35.7157,1,1,121
125,1964,2677,125,\N,2,-0.2147,-10.9666,1,1,110
126,1763,2373,126,\N,2,35.1144,163.3109,1,1,121
127,1763,2374,127,\N,2,-33.1181,-29.1422,1,1,121
128,2096,2850,128,\N,2,-19.1712,-63.2598,1,1,285
129,2951,3986,129,\N,2,-13.1393,14.8123,1,1,578
130,2644,3566,130,\N,3,72.3261,-38.6977,1,1,14
131,292,401,131,\N,2,-54.0062,-148.858,1,1,544
132,3889,5297,132,\N,2,-67.9475,130.9022,1,1,524
133,4172,5691,133,\N,2,74.8325,-62.4861,1,1,485
134,2125,2883,134,\N,2,-7.7134,161.4365,1,1,578
135,2644,3567,135,\N,2,0.1821,-67.4203,1,1,14
136,2644,3567,136,\N,2,1.9196,-107.8682,1,1,14
137,2312,3110,137,\N,2,-12.6532,-73.3003,1,1,25
138,3695,5049,138,\N,2,-66.453,89.1656,1,1,185
139,493,700,139,\N,2,-1.5148,168.2505,1,1,285
140,493,702,140,\N,2,-72.5649,17.3015,1,1,285
141,3666,5007,141,\N,3,-27.2123,149.0538,1,1,121
142,3666,5006,142,\N,3,33.0679,-152.5866,1,1,121
143,2311,3109,143,\N,3,47.3582,163.0643,1,1,121
144,3659,4999,144,\N,2,-49.0293,74.7259,1,1,221
145,2589,3496,145,\N,3,3.6309,20.0605,1,1,221
146,1093,1484,146,\N,3,18.2215,176.1171,1,1,311
147,2299,3096,147,\N,3,43.4253,40.3953,1,1,376
148,2299,3095,148,\N,2,67.7837,31.7306,1,1,376
149,1717,2310,149,\N,3,-16.2387,141.5313,1,1,237
150,1171,1583,150,\N,3,-13.3078,-101.4879,1,1,457
151,4254,5789,151,\N,3,-28.7178,145.1883,1,1,230
152,1478,1988,152,\N,2,-7.1374,-105.9712,1,1,121
153,2143,2903,153,\N,2,-48.7242,114.0513,1,1,578
154,2332,3143,154,\N,3,18.7658,131.3858,1,1,311
155,2143,2903,155,\N,2,-41.6484,103.7568,1,1,578
156,1625,2169,156,\N,3,31.232,85.0859,1,1,290
157,1625,2169,157,\N,3,-52.1275,-36.7779,1,1,290
158,1625,2168,158,\N,2,-26.1666,-61.4441,1,1,290
159,1213,1638,159,\N,2,-1.4984,68.6499,1,1,455
160,4019,5461,160,\N,2,7.8665,47.7528,1,1,474
161,900,1242,161,\N,3,-55.0262,-20.788,1,1,296
162,3393,4649,162,\N,3,9.3425,-48.0014,1,1,455
