id,gbsite,messageSystem,messageBody,latitude,longitude
1,1,1327,1688,12.18,44.31
2,2,1258,1603,-46.8,-132.28
3,3,1258,1603,-46.8,-132.28
4,4,1315,1676,47.41,80.6
5,5,791,1010,25.47,-132.9
6,6,1289,1647,-23.99,174.22
7,7,909,1149,-1.18,25.38
8,8,1259,1604,-52.28,98.44
9,9,1295,1654,-3.49,-115.24
10,10,1438,1827,2.6,126.62
11,11,1355,1724,-44.92,89.42
12,12,1297,1656,37.8,-111.61
13,13,905,1145,80.3,113.4
14,14,1265,1618,-16.2,-5.73
15,15,1335,1697,50.63,-35.06
16,16,1265,1618,-16.2,-5.73
17,17,1320,1681,-42.522,-155.66
18,18,1292,1651,64.31,163.65
19,19,1310,1670,-4.85,-65.77
20,20,1343,1707,38.27,-48.57
21,21,1323,1684,56.72,121.67
22,22,1260,1605,43.66,174.22
23,23,794,1013,-44.52,34.33
24,24,1280,1636,-14.06,-31.18
25,25,1362,1734,59.51,-23.36
26,26,1293,1652,-37.56,-125.58
27,27,1285,1643,-45.48,152.41
28,28,721,909,19.55,-132.67
