id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,3,3,1,\N,1,-4.8631,3.0394,1,1,240
2,4,4,2,\N,1,-65.5780,165.2446,0,1,27
3,4,6,3,\N,1,-22.1270,-99.8050,0,1,27
4,4,5,4,\N,1,18.5441,117.2379,0,1,27
5,5,7,5,\N,1,-33.2476,52.9794,0,1,27
6,5,8,6,\N,1,34.7347,99.5606,0,1,27
7,6,10,7,\N,1,7.7559,-153.3222,0,1,27
8,180,239,8,\N,1,27.1906,41.6520,1,1,27
9,184,244,9,\N,1,10.5512,-151.2654,1,1,27
10,186,246,10,\N,1,54.4862,52.0458,1,1,27
11,198,259,11,\N,1,4.1726,162.7135,1,1,27
12,206,268,12,\N,1,7.9078,132.2088,1,1,27
13,206,268,13,\N,1,-0.3814,-53.8507,1,1,27
14,206,268,14,\N,1,-10.8164,-43.3248,1,1,27
15,206,268,15,\N,1,-69.0015,121.4782,1,1,27
16,221,295,16,\N,1,44.1401,-76.8827,1,1,27
17,233,308,17,\N,1,43.8595,44.5843,1,1,27
18,233,308,18,\N,1,28.9110,112.8688,1,1,27
19,238,317,19,\N,1,-5.7463,96.7247,1,1,27
20,238,318,20,\N,1,-3.1468,-59.9358,1,1,27
21,238,316,21,\N,1,-48.8886,-151.9067,1,1,27
22,238,316,22,\N,1,44.6974,-93.0335,1,1,27
23,238,316,23,\N,1,35.0087,76.5551,1,1,27
24,238,315,24,\N,1,-25.5887,-108.5824,1,1,27
25,238,315,25,\N,1,-42.8524,-134.1830,1,1,27
26,238,315,26,\N,1,64.8666,-130.988,1,1,27
27,238,315,27,\N,1,24.3299,44.2246,1,1,27
28,238,315,28,\N,1,14.6168,-0.6771,1,1,27
29,241,324,29,\N,1,-50.1253,129.5716,1,1,27
30,226,300,30,\N,1,40.3987,-1.7777,1,1,27
31,246,329,31,\N,1,-61.4610,26.6463,1,1,27
32,246,329,32,\N,1,24.1381,-65.5068,1,1,27
33,253,340,33,\N,1,17.4114,-98.8253,1,1,27
34,253,339,34,\N,1,45.9501,-43.4345,1,1,27
35,258,348,35,\N,1,-50.5520,-165.8521,1,1,27
36,268,362,36,\N,1,7.2636,149.9771,1,1,27
37,283,379,37,\N,1,48.0808,127.0176,1,1,27
38,283,379,38,\N,1,13.5402,140.2993,1,1,27
39,295,395,39,\N,1,-64.0736,-27.7055,1,1,27
40,295,395,40,\N,1,-30.1192,-74.0093,1,1,27
41,295,395,41,\N,1,-45.8336,-139.5594,1,1,27
42,543,691,42,\N,1,14.1399,-158.4774,0,1,27
43,543,691,43,\N,1,-66.5205,167.9569,0,1,27
44,544,692,44,\N,1,43.1344,61.7306,0,1,27
45,544,692,45,\N,1,47.5327,150.6297,0,1,27
46,545,693,46,\N,1,69.5822,-65.6835,0,1,27
47,545,694,47,\N,1,-15.1114,-19.0249,0,1,27
48,548,697,48,\N,1,19.1472,-74.7557,0,1,27
49,548,698,49,\N,1,-25.7799,92.8599,0,1,27
50,548,700,50,\N,1,39.8712,9.8842,0,1,27
51,548,699,51,\N,1,-0.3307,56.0831,0,1,27
52,549,701,52,\N,1,-24.9527,-43.5946,0,1,27
53,550,703,53,\N,1,-51.1798,84.8238,0,1,27
54,550,702,54,\N,1,16.3128,85.3387,0,1,27
55,550,702,55,\N,1,-40.1837,173.1855,0,1,27
56,550,704,56,\N,1,46.4111,109.9064,0,1,27
57,550,705,57,\N,1,5.4721,-52.5514,0,1,27
58,551,706,58,\N,1,59.3803,159.9808,0,1,27
59,551,707,59,\N,1,-67.0822,-133.4404,0,1,27
60,557,713,60,\N,1,25.0470,-179.8852,0,1,240
61,576,737,61,\N,1,-83.0984,32.6312,0,1,27
62,577,738,62,\N,1,5.8204,-51.4230,0,1,27
63,662,840,63,\N,1,72.0505,-56.1021,0,1,27
64,668,847,64,\N,1,33.0752,12.2098,0,1,27
65,761,959,65,\N,1,-30.0396,-149.4684,1,1,180
66,767,966,66,\N,1,-42.0381,9.3240,0,1,27
67,769,968,67,\N,1,-15.4508,-127.4753,0,1,180
68,769,969,68,\N,1,42.6634,95.1986,1,1,180
69,769,970,69,\N,1,-4.2054,-148.8758,0,1,180
70,771,972,70,\N,1,-27.7507,-98.7055,0,1,180
71,778,990,71,\N,1,28.3995,89.7813,0,1,27
72,782,997,72,\N,1,-35.3982,126.2055,1,1,27
73,792,1015,73,\N,1,25.0856,114.2113,0,1,27
