id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,777,989,1,\N,1,-1.4054,140.8423,1,1,52
2,782,997,2,\N,1,-1.8161,-137.3999,1,1,27
3,782,997,3,\N,1,12.3752,32.0999,1,1,27
4,718,909,4,\N,1,-38.0357,-85.6467,1,1,27
5,619,785,5,\N,1,10.1605,17.1322,1,1,245
6,782,997,6,\N,1,21.9127,24.5374,1,1,27
7,782,997,7,\N,1,-3.9227,44.1731,1,1,27
8,619,785,8,\N,1,-7.4639,98.3023,1,1,245
9,787,1003,9,\N,1,5.8876,-107.4878,1,1,27
10,788,1004,10,\N,1,-13.3464,-171.3861,1,1,27
11,403,523,11,\N,1,8.7025,40.258,1,1,245
12,787,1003,12,\N,1,-16.6021,-78.8721,1,1,27
13,787,1003,13,\N,1,-19.4121,23.8399,1,1,27
14,951,1206,14,\N,1,3.52,89.8647,1,1,245
15,951,1206,15,\N,1,-6.0299,-33.1501,1,1,245
16,121,155,16,\N,1,-32.8299,15.0299,0,1,311
17,787,1003,17,\N,1,20.7471,168.1912,1,1,27
18,859,1099,18,\N,1,5.0652,18.9814,1,1,245
19,859,1099,19,\N,1,2.2381,69.9729,1,1,245
20,652,823,20,\N,1,6.731,51.0271,1,1,245
21,652,823,21,\N,1,-4.7808,-34.8424,1,1,245
22,653,825,22,\N,1,-5.9535,158.2056,1,1,245
23,653,824,23,\N,1,7.3947,-123.5075,1,1,245
24,806,1030,24,\N,1,19.122,-29.9567,1,1,245
25,791,1013,25,\N,1,25.2305,-147.1726,1,1,76
26,655,828,26,\N,1,7.4382,143.737,1,1,245
27,764,962,27,\N,1,8.3596,-29.7793,1,1,245
28,797,1022,28,\N,1,5.9176,167.5988,1,1,53
29,654,826,29,\N,1,-22.0587,-164.608,0,1,53
30,760,958,30,\N,1,2.5083,-153.4364,1,1,173
31,124,159,31,\N,1,32.1352,-48.9161,1,1,60
32,1440,1840,32,\N,9,3.1804,-3.9519,1,1,202
33,805,1029,33,\N,5,-36.486,-73.391,1,1,202
34,14,21,34,\N,9,55.2559,116.6158,1,1,314
