id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,1246,1593,1,\N,1,-26.1589,-90.6344,0,1,266
2,1008,1268,2,\N,1,-54.1391,60.816,0,1,292
3,1007,1267,3,\N,1,79.2144,-102.5297,0,1,292
4,538,683,4,\N,1,-19.6617,-175.3967,0,1,292
5,838,1074,5,\N,1,0.9803,34.6832,0,1,292
6,1777,2275,6,\N,1,54.2257,41.9895,0,1,292
7,49,60,7,\N,1,7.2434,-34.5406,0,1,292
8,399,519,8,\N,1,36.1108,-158.4958,0,1,292
9,123,158,9,\N,1,-67.9876,-103.2627,0,1,292
10,1299,1662,10,\N,1,-33.2006,-35.0718,0,1,292
11,1301,1664,11,\N,1,-74.4511,-63.709,0,1,292
12,1300,1663,12,\N,1,17.0926,129.0382,0,1,292
13,826,1061,13,\N,1,54.2293,69.7184,1,1,238
14,826,1061,14,\N,1,50.9525,-38.7305,1,1,238
15,826,1061,15,\N,1,-4.1387,11.2136,1,1,238
16,826,1061,16,\N,1,-41.983,148.8269,1,1,238
17,715,903,17,\N,1,-45.454,36.7738,1,1,240
18,827,1062,18,\N,1,-9.6124,-13.1981,1,1,150
19,1598,2031,19,\N,1,-62.3767,81.6913,1,1,54
20,801,1026,20,\N,1,-48.4586,63.0763,1,1,96
21,97,128,21,\N,1,83.7647,42.8541,1,1,298
22,97,128,22,\N,1,-67.4829,-85.549,1,1,298
23,97,128,23,\N,1,-67.1605,55.5439,1,1,298
24,179,238,24,\N,1,-7.743,-101.8669,1,1,245
25,179,238,25,\N,1,-31.8327,-135.1079,1,1,245
26,97,127,26,\N,1,-11.2511,72.3721,1,1,298
27,97,127,27,\N,1,14.4218,-162.7472,1,1,298
28,1655,2122,28,\N,1,-36.7492,21.0186,1,1,191
29,1540,1962,29,\N,1,8.8814,-102.1113,1,1,342
30,1349,1727,30,\N,1,-25.296,-109.9486,1,1,298
31,178,236,31,\N,1,-28.3224,-127.3301,1,1,245
32,178,236,32,\N,1,-53.4648,6.9403,1,1,245
33,178,236,33,\N,1,-20.8418,113.1809,1,1,245
34,178,237,34,\N,1,21.2918,86.4218,1,1,245
35,178,237,35,\N,1,3.8739,120.7287,1,1,245
36,567,725,36,\N,1,-2.7254,74.0536,1,1,245
37,1535,1957,37,\N,1,67.3613,81.2341,1,1,121
38,1200,1544,38,\N,1,-16.0293,-154.8076,1,1,183
39,1232,1579,39,\N,1,-71.6735,41.9377,1,1,183
40,897,1145,40,\N,1,4.6062,124.8543,0,1,96
41,1578,2010,41,\N,1,13.3769,69.997,1,1,138
42,565,723,42,\N,1,-18.3594,-95.8232,1,1,245
43,1230,1577,43,\N,1,1.1776,74.8481,1,1,197
44,1230,1576,44,\N,1,31.8643,-7.2629,1,1,197
45,387,507,45,\N,1,3.4585,27.3418,1,1,197
46,280,376,46,\N,1,-3.7332,-131.7999,0,1,244
47,280,376,47,\N,1,-5.6381,-153.8728,0,1,244
48,155,201,48,\N,1,60.7385,61.1293,1,1,95
49,149,195,49,\N,1,-68.3069,-85.2176,0,1,20
50,613,778,50,\N,1,-56.2851,-99.3487,1,1,245
51,335,444,51,\N,1,6.7942,164.5247,1,1,180
52,618,784,52,\N,1,5.446,-115.8653,1,1,245
53,1419,1817,53,\N,1,-30.2462,-105.5534,1,1,121
54,1419,1817,54,\N,1,-25.3723,-1.1001,1,1,121
55,1085,1363,55,\N,1,34.9428,-164.0981,1,1,263
56,572,731,56,\N,1,39.9876,-124.573,0,1,121
57,95,125,57,\N,1,9.2356,130.8613,0,1,326
58,95,125,58,\N,1,39.8643,-161.9637,1,1,326
59,95,125,59,\N,1,-27.3222,-133.3107,1,1,326
60,302,402,60,\N,1,-45.0216,-9.0747,1,1,121
61,552,708,61,\N,1,-12.1596,125.6252,1,1,196
62,616,781,62,\N,1,-38.1583,23.8377,1,1,245
63,570,728,63,\N,1,34.4952,139.8961,1,1,121
64,619,785,64,\N,1,12.3482,-148.7433,1,1,245
65,982,1240,65,\N,1,-25.8871,-0.139,1,1,121
66,17,25,66,\N,1,-18.3931,-158.2827,0,1,240
67,947,1202,67,\N,1,82.058,-137.7847,1,1,290
68,368,482,68,\N,1,-3.6534,-161.1228,1,1,196
69,1237,1584,69,\N,1,-33.7432,93.6785,1,1,121
70,1332,1707,70,\N,1,40.4418,-14.7376,1,1,121
71,193,253,71,\N,1,22.3475,139.2991,1,1,212
72,404,525,72,\N,1,15.538,132.91,1,1,245
73,402,522,73,\N,1,8.2966,-156.0347,1,1,245
74,1357,1735,74,\N,1,3.6249,-106.4594,1,1,121
75,1241,1588,75,\N,1,-2.6235,-149.9942,1,1,303
76,45,56,76,\N,1,0.6449,-58.4207,1,1,240
77,45,56,77,\N,1,54.1611,-61.6847,1,1,240
78,952,1207,78,\N,1,8.2966,65.0695,1,1,245
79,952,1207,79,\N,1,16.6298,-156.2654,1,1,245
80,951,1206,80,\N,1,4.179,-44.9435,1,1,245
81,951,1206,81,\N,1,2.3257,26.7024,1,1,245
82,951,1206,82,\N,1,-0.7387,-13.1032,1,1,245
83,1089,1367,83,\N,1,40.702,-22.9878,1,1,31
84,951,1206,84,\N,1,-17.016,72.5573,1,1,245
85,951,1206,85,\N,1,11.3256,-144.4738,1,1,245
86,393,513,86,\N,1,24.6878,-53.4338,1,1,292
87,392,512,87,\N,1,30.7133,143.5745,1,1,292
88,385,505,88,\N,1,-28.7425,-179.1822,0,1,292
89,384,504,89,\N,1,-75.1825,172.8044,1,1,292
90,839,1075,90,\N,1,4.7549,33.6213,0,1,292
91,840,1076,91,\N,1,-24.4706,-85.5407,0,1,292
92,1077,1354,92,\N,1,-67.1788,40.9057,1,1,292
93,1076,1353,93,\N,1,51.7659,-160.1369,0,1,292
94,1295,1657,94,\N,1,22.4531,20.2224,1,1,121
95,1294,1656,95,\N,1,-56.8624,-128.1201,1,1,121
96,1298,1660,96,\N,1,-70.2077,-44.7562,1,1,121
97,1297,1659,97,\N,1,-16.7536,-46.2021,1,1,121
98,1293,1655,98,\N,1,-22.3593,-175.7648,1,1,105
99,1178,1515,99,\N,1,27.0794,-71.1676,1,1,14
100,782,997,100,\N,1,-60.5566,-79.9895,1,1,105
101,134,169,101,\N,1,28.8187,-30.9333,1,1,299
102,624,790,102,\N,1,35.7453,-171.5179,1,1,121
103,782,997,103,\N,1,-63.6258,-108.1849,1,1,105
104,782,997,104,\N,1,28.3011,-40.4961,1,1,105
105,782,997,105,\N,1,-53.8511,32.8263,1,1,105
106,1174,1509,106,\N,1,60.0944,-173.6359,1,1,121
107,1174,1510,107,\N,1,-58.8411,-127.0076,1,1,121
108,673,852,108,\N,1,-3.4977,-29.9395,1,1,14
109,426,551,109,\N,1,61.7245,171.0261,1,1,130
110,1239,1586,110,\N,1,16.6933,27.8899,1,1,121
111,1238,1585,111,\N,1,9.5776,-19.277,1,1,121
112,411,533,112,\N,1,61.3636,71.3822,1,1,105
113,396,516,113,\N,1,30.9973,160.0175,1,1,121
114,149,195,114,\N,1,-68.5331,-86.0329,1,1,105
115,335,444,115,\N,1,20.7703,-91.16,1,1,180
116,335,444,116,\N,1,28.0096,6.7214,1,1,180
117,335,444,117,\N,1,58.1889,-111.0407,1,1,180
118,335,444,118,\N,1,60.0232,69.5306,1,1,180
119,335,444,119,\N,1,-1.1069,22.1298,1,1,180
120,335,444,120,\N,1,-33.5132,108.4833,1,1,180
121,335,444,121,\N,1,-37.5969,84.1673,1,1,180
122,335,444,122,\N,1,-40.259,-20.107,1,1,180
123,335,444,123,\N,1,-47.1641,-117.7327,1,1,180
124,335,444,124,\N,1,-61.8313,-125.8849,1,1,180
125,623,789,125,\N,1,-46.724,-10.689,1,1,121
126,1272,1626,126,\N,1,-61.3525,-97.4607,0,1,105
127,1361,1739,127,\N,1,-1.5157,-88.7054,1,1,142
128,395,515,128,\N,1,9.0718,23.663,1,1,121
129,395,515,129,\N,1,-10.8666,85.4247,1,1,121
130,828,1063,130,\N,1,17.0905,-42.4131,1,1,121
131,730,923,131,\N,1,5.9834,59.5796,1,1,76
132,1234,1581,132,\N,1,-60.0015,43.9325,1,1,121
133,1277,1636,133,\N,1,8.9619,-138.8448,1,1,245
134,1277,1636,134,\N,1,7.3454,-43.3958,1,1,245
135,1313,1681,135,\N,1,8.3016,136.7422,1,1,245
136,388,508,136,\N,1,8.6241,-148.6422,1,1,245
137,431,556,137,\N,1,2.5604,63.9703,1,1,245
138,431,556,138,\N,1,-3.4346,-131.4822,1,1,245
139,389,509,139,\N,1,2.7318,87.9395,1,1,245
140,389,509,140,\N,1,-4.0203,-50.6114,1,1,245
141,389,509,141,\N,1,-4.3792,22.7861,1,1,245
142,389,509,142,\N,1,19.5403,-35.2594,1,1,245
143,117,151,143,\N,1,2.2923,168.4237,1,1,245
144,117,151,144,\N,1,-7.7357,-23.5587,1,1,245
145,117,151,145,\N,1,5.7598,133.707,1,1,245
146,1575,2007,146,\N,1,45.0242,175.9729,1,1,121
147,1575,2007,147,\N,1,-20.2669,-170.991,1,1,121
148,1574,2006,148,\N,1,27.0313,73.432,1,1,121
149,1595,2028,149,\N,1,61.033,18.8672,1,1,141
150,1254,1603,150,\N,1,42.1317,27.4131,1,1,124
151,860,1100,151,\N,1,-8.2314,10.7607,1,1,245
152,860,1100,152,\N,1,7.7783,125.2304,1,1,245
153,133,168,153,\N,1,-44.2315,43.0955,1,1,121
154,1065,1337,154,\N,1,-1.5946,-124.71683,1,1,74
155,158,206,155,\N,1,4.8912,-34.707,1,1,121
156,158,207,156,\N,1,-30.3566,-99.9899,1,1,121
157,158,208,157,\N,1,82.0368,-20.9931,1,1,121
158,158,204,158,\N,1,51.8293,37.5107,1,1,121
159,158,208,159,\N,1,55.0813,4.682,1,1,121
160,158,208,160,\N,1,62.0368,-20.9931,1,1,121
161,158,204,161,\N,1,51.8293,37.5107,1,1,121
162,158,208,162,\N,1,-26.4677,34.5997,1,1,121
163,170,228,163,\N,1,39.9487,-102.0098,0,1,121
164,558,714,164,\N,1,-46.6382,6.8466,1,1,65
165,368,483,165,\N,1,-35.5015,-78.0718,1,1,196
166,157,203,166,\N,1,-58.3969,-102.1287,1,1,121
167,1082,1360,167,\N,1,-0.5469,-45.0076,1,1,76
168,166,224,168,\N,1,-27.2636,165.7159,1,1,76
169,167,225,169,\N,1,25.5222,-23.6491,1,1,76
170,164,221,170,\N,1,30.7335,71.1715,1,1,76
171,1289,1650,171,\N,1,51.2636,155.1699,1,1,76
172,1288,1649,172,\N,1,1.8001,143.4559,1,1,76
173,1288,1649,173,\N,1,41.98,7.5589,1,1,76
174,1288,1649,174,\N,1,-27.1969,-101.4886,1,1,76
175,1288,1649,175,\N,1,17.3051,73.928,1,1,76
176,1288,1649,176,\N,1,9.8371,162.8567,1,1,76
177,1288,1649,177,\N,1,10.8462,34.6664,1,1,76
178,1288,1649,178,\N,1,-16.7831,-122.1435,1,1,76
179,1288,1649,179,\N,1,-14.1598,2.0805,1,1,76
180,1288,1649,180,\N,1,-76.6033,9.503,1,1,76
181,1288,1649,181,\N,1,25.8319,128.7336,1,1,76
182,1288,1649,182,\N,1,55.1421,-154.9155,1,1,76
183,50,61,183,\N,1,-32.2781,44.5841,1,1,76
184,50,61,184,\N,1,15.9865,60.3157,1,1,76
185,527,670,185,\N,1,5.188,109.6119,1,1,76
186,1046,1318,186,\N,1,-55.033,-40.7401,1,1,76
187,1046,1318,187,\N,1,-56.1369,103.1678,1,1,76
188,436,561,188,\N,1,61.4273,27.6934,1,1,76
189,638,806,189,\N,1,19.2354,92.2154,1,1,76
190,1231,1578,190,\N,1,-0.4966,89.84,1,1,76
191,1324,1695,191,\N,1,-0.7488,-106.1036,1,1,76
192,1324,1695,192,\N,1,-8.4888,23.5324,1,1,76
193,612,776,193,\N,1,-8.5786,-158.5336,1,1,76
194,612,776,194,\N,1,32.8052,-52.9586,1,1,76
195,612,776,195,\N,1,56.0967,52.8742,1,1,76
196,136,173,196,\N,1,8.7619,19.7368,1,1,245
197,118,152,197,\N,1,-0.9069,-4.208,1,1,245
198,162,219,198,\N,1,-1.6137,-66.2577,1,1,121
199,1698,2189,199,\N,1,-10.5943,-118.2795,1,1,124
200,574,735,200,\N,1,-17.3128,179.3688,1,1,76
201,1482,1891,201,\N,1,45.7848,-73.0518,1,1,76
202,791,1013,202,\N,1,11.2969,23.1407,1,1,76
203,791,1013,203,\N,1,1.598,-113.1513,1,1,76
