id,system,body,siteID,gssite,verified,visible,discoveredBy,gbmessage
1,1326,1687,1,102,1,1,141,1
2,1366,1738,2,78,1,1,59,2
3,1375,1748,3,78,1,1,59,3
4,1319,1680,4,99,1,1,101,4
5,795,1015,5,97,1,1,160,5
6,1307,1667,6,85,1,1,116,6
7,900,1140,7,100,1,1,59,7
8,1437,1826,8,76,1,1,328,8
9,1389,1769,9,77,1,1,278,9
10,1275,1631,10,81,1,1,116,10
11,793,1012,11,95,1,1,116,11
12,1341,1705,12,101,1,1,282,12
13,906,1146,13,105,1,1,282,13
14,904,1144,14,92,1,1,282,14
15,1268,1622,15,84,1,1,116,15
16,1305,1665,16,92,1,1,116,16
17,1318,1679,17,93,1,1,282,17
18,1332,1693,18,87,1,1,211,18
19,1281,1637,19,79,1,1,116,19
20,1337,1699,20,89,1,1,47,20
21,1299,1658,21,83,1,1,47,21
22,1314,1675,22,94,1,1,47,22
23,790,1008,23,96,1,1,52,23
24,1417,1800,24,98,1,1,47,24
25,1381,1755,25,86,1,1,52,25
26,1283,1639,26,80,1,1,211,26
27,1325,1686,27,88,1,1,47,27
28,722,911,28,121,1,1,52,28
