id,system,body,siteID,shipName,directionSystem,distance,discoveredBy
1,941,1196,1,Artemis,\N,\N,350
2,159,209,2,Atlas,\N,\N,350
3,881,1128,3,Hyperion,1779,7340,322
4,18,26,4,Lycaon,803,22365,166
5,1285,1645,5,Odysseus,\N,\N,350
6,675,854,6,Pleione,1594,8395,350
7,960,1215,7,Thetis,\N,\N,350
8,870,\N,8,Venusian,1780,2532,152
9,1681,2159,9,Lazarus Expedition,\N,\N,350
10,182,242,10,Phobos,678,1893,297
11,937,1188,11,Demeter,\N,\N,30
12,156,202,12,Phanes,\N,\N,217
13,682,867,13,Achlys,\N,\N,147
14,808,\N,14,Epimetheus,\N,\N,37
15,741,934,15,Spear of Hope,\N,\N,215
