id,system,body,siteID,extoolID,latitude,longitude,type,verified,visible,discoveredBy
1,1553,1978,1,\N,-31.7347,-128.9212,3,1,1,1
2,848,1085,2,\N,-29.1664,-30.5041,3,1,1,76
3,853,1091,3,\N,29.4200,-59.5400,2,1,1,1
4,1552,1975,4,\N,19.5300,-141.7600,3,1,1,1
5,1569,2000,5,\N,-23.3821,178.9094,2,1,1,1
6,257,345,6,\N,16.2701,18.1282,3,1,1,1
7,257,345,7,\N,46.0700,-171.3300,2,1,1,1
8,782,998,8,\N,7.0924,170.2272,3,1,1,1
9,1528,1950,9,\N,59.3300,15.1000,4,1,1,1
10,1528,1950,10,\N,31.9672,-100.0063,3,1,1,39
11,1528,1950,11,\N,31.8800,-100.0500,2,1,1,39
12,257,346,12,\N,-15.0842,-102.9397,2,1,1,1
13,1489,1901,13,\N,-30.5400,-24.2000,2,1,1,1
14,257,346,14,\N,-37.5256,84.2501,4,1,1,1
15,1478,1882,15,\N,-10.0700,114.5000,4,1,1,1
16,1478,1882,16,\N,-37.3100,106.4200,4,1,1,1
17,1478,1882,17,\N,9.0200,48.7700,3,1,1,1
18,203,265,18,\N,42.8343,-175.6545,3,1,1,1
19,203,265,19,\N,33.2757,-175.5038,3,1,1,1
20,203,265,20,\N,-18.7380,-135.5687,4,1,1,1
21,257,347,21,\N,-10.8195,-89.8905,3,1,1,1
22,1489,1901,22,\N,0.6600,-36.82,2,1,1,1
23,267,358,23,\N,65.9181,-128.5455,2,1,1,1
24,267,358,24,\N,71.3187,-112.4353,3,1,1,1
25,782,998,25,\N,-0.0129,-149.4705,3,1,1,126
26,267,358,26,\N,39.7396,48.2240,3,1,1,1
27,267,359,27,\N,21.9117,154.1760,4,1,1,1
28,320,425,28,\N,-17.0000,44.2400,3,1,1,1
29,268,360,29,\N,-20.3200,-133.6400,2,1,1,1
30,214,278,30,\N,-42.7780,130.3500,4,1,1,1
31,214,278,31,\N,-15.8330,-172.5550,4,1,1,1
32,214,279,32,\N,19.0369,155.2710,4,1,1,1
33,268,360,33,\N,1.5200,-116.6500,3,1,1,1
34,268,360,34,\N,-5.0000,-175.2100,4,1,1,1
35,268,361,35,\N,-6.3400,130.6700,2,1,1,1
36,278,374,36,\N,-20.9600,82.6100,4,1,1,1
37,278,374,37,\N,-3.8000,84.5200,2,1,1,1
38,278,374,38,\N,-31.6400,150.7600,2,1,1,1
39,320,426,39,\N,15.9200,23.8100,3,1,1,1
40,320,426,40,\N,-77.1000,127.4500,3,1,1,1
41,1401,1795,41,\N,-27.2200,-7.3600,3,1,1,1
42,1401,1795,42,\N,-27.1500,-7.2900,2,1,1,1
43,1401,1795,43,\N,-18.2300,0.2700,2,1,1,1
44,1571,2003,44,\N,28.8065,-51.8289,2,1,1,1
45,1571,2003,45,\N,13.8800,-0.5478,3,1,1,1
46,1571,2003,46,\N,-32.7100,-34.0391,2,1,1,1
47,847,1083,47,\N,9.2000,-130.0600,2,1,1,290
48,1675,2148,48,\N,-31.4700,-44.5200,2,1,1,1
49,1673,2145,49,\N,-22.4296,126.9466,3,1,1,1
50,1675,2148,50,\N,-19.5500,-1.9400,2,1,1,1
51,1675,2148,51,\N,-36.7800,20.0200,2,1,1,1
52,1673,2143,52,\N,-18.4224,65.5005,2,1,1,1
53,1675,2149,53,\N,36.8100,132.8800,3,1,1,1
54,1673,2143,54,\N,-17.0825,-54.7755,2,1,1,1
55,1667,2135,55,\N,41.1500,129.2600,2,1,1,1
56,1667,2135,56,\N,10.4600,130.2400,3,1,1,1
57,1667,2135,57,\N,7.9000,-86.4600,4,1,1,1
58,201,262,58,\N,-33.1039,-32.2718,3,1,1,1
59,201,263,59,\N,13.3300,-61.5500,4,1,1,1
60,201,263,60,\N,19.0100,-100.9600,2,1,1,1
61,201,263,61,\N,-35.3193,-73.9108,3,1,1,1
62,276,372,62,\N,2.4000,132.0500,4,1,1,1
63,276,372,63,\N,-18.9000,105.0700,2,1,1,1
64,1489,1901,64,\N,48.1800,-48.3600,4,1,1,1
65,276,371,65,\N,44.5700,-20.0600,2,1,1,1
66,276,371,66,\N,-30.5000,-13.6000,2,1,1,1
67,276,371,67,\N,2.0000,-10.6700,3,1,1,266
68,1317,1687,68,\N,-37.8036,10.3565,3,1,1,357
69,1317,1687,69,\N,-49.6706,-69.6161,4,1,1,1
70,311,415,70,\N,21.3466,68.6129,3,1,1,1
71,311,415,71,\N,21.3906,68.6436,4,1,1,1
72,311,415,72,\N,21.1877,70.8749,4,1,1,1
73,219,291,73,\N,10.1834,69.4547,2,1,1,1
74,219,291,74,\N,25.5372,115.6490,3,1,1,1
75,219,292,75,\N,48.7466,179.7078,3,1,1,1
76,315,419,76,\N,-21.2500,-24.9300,4,1,1,1
77,315,419,77,\N,-17.5000,43.1700,3,1,1,1
78,315,419,78,\N,31.8000,65.4400,3,1,1,1
79,306,408,79,\N,-12.0051,-99.3617,3,1,1,1
80,306,408,80,\N,19.2700,-96.1461,4,1,1,1
81,306,408,81,\N,10.1154,-21.0965,4,1,1,1
82,284,380,82,\N,-46.2479,-114.4967,4,1,1,1
83,284,380,83,\N,-15.0791,-130.6873,4,1,1,1
84,284,380,84,\N,29.1155,-91.8998,4,1,1,1
85,1670,2139,85,\N,-4.5000,-176.3000,4,1,1,1
86,1670,2139,86,\N,11.3732,-154.284,2,1,1,139
87,1670,2140,87,\N,16.0000,-176.1000,4,1,1,1
88,1670,2140,88,\N,-28.9000,163.1600,2,1,1,1
89,1568,1998,89,\N,-26.6530,-148.4250,3,1,1,238
90,1568,1998,90,\N,-26.7190,-148.3720,2,1,1,238
91,1568,1998,91,\N,39.9240,-109.1930,3,1,1,1
92,1317,1687,92,\N,-37.8226,10.4979,4,1,1,357
93,251,337,93,\N,47.4754,32.6829,4,1,1,1
94,251,337,94,\N,8.5207,72.4930,3,1,1,1
95,251,337,95,\N,-18.6814,61.8930,3,1,1,1
96,225,299,96,\N,52.4700,39.8400,3,1,1,1
97,225,299,97,\N,-14.1000,42.5400,2,1,1,1
98,225,299,98,\N,-2.7700,-39.3600,2,1,1,1
99,228,302,99,\N,-54.5807,17.0799,3,1,1,1
100,228,302,100,\N,-21.6772,4.0535,3,1,1,1
101,228,302,101,\N,-41.8041,-43.9197,2,1,1,1
102,333,442,102,\N,-49.0267,5.4130,3,1,1,1
103,333,442,103,\N,-28.4965,-72.4370,2,1,1,1
104,277,373,104,\N,-49.9900,-129.9900,2,1,1,1
105,277,373,105,\N,-5.8800,-119.6600,4,1,1,1
106,277,373,106,\N,-15.4300,-175.0800,2,1,1,1
107,318,423,107,\N,-10.1700,-136.9900,4,1,1,1
108,318,422,108,\N,46.1400,57.7400,2,1,1,1
109,318,422,109,\N,-13.1500,146.2600,2,1,1,1
110,318,422,110,\N,-16.3000,145.0700,4,1,1,1
111,240,320,111,\N,-22.2036,-26.8074,2,1,1,1
112,240,320,112,\N,20.6142,73.4632,2,1,1,1
113,240,323,113,\N,48.8147,113.5548,3,1,1,242
114,252,338,114,\N,-24.7914,-161.4396,4,1,1,6
115,252,338,115,\N,-2.9252,38.6011,3,1,1,6
116,259,349,116,\N,14.2484,-139.8112,4,1,1,261
117,259,349,117,\N,-27.6442,-85.9520,3,1,1,261
118,259,349,118,\N,-27.5077,-85.9615,3,1,1,261
119,274,369,119,\N,21.1100,54.5800,4,1,1,11
120,274,369,120,\N,21.0700,54.5000,3,1,1,11
121,274,369,121,\N,-15.5900,15.5700,4,1,1,11
122,305,406,122,\N,-72.5800,120.7700,2,1,1,62
123,305,406,123,\N,24.7300,-133.2100,4,1,1,62
124,305,407,124,\N,-16.7200,106.7000,4,1,1,62
125,279,375,125,\N,34.7380,17.8180,2,1,1,359
126,279,375,126,\N,25.6330,21.5750,2,1,1,359
127,279,375,127,\N,16.9200,69.2290,4,1,1,359
128,247,330,128,\N,30.2243,164.1044,4,1,1,358
129,247,330,129,\N,10.943,-170.7839,3,1,1,358
130,247,331,130,\N,7.5661,128.8135,3,1,1,358
131,331,439,131,\N,69.1866,-63.9558,4,1,1,358
132,331,439,132,\N,-70.9961,169.8454,3,1,1,358
133,313,417,133,\N,21.0057,-173.5362,2,1,1,170
134,313,417,134,\N,-0.2629,-133.1227,3,1,1,170
135,313,417,135,\N,29.8529,-123.8482,4,1,1,170
136,1669,2137,136,\N,21.3200,-179.6900,3,1,1,112
137,1669,2137,137,\N,20.5000,-125.8600,2,1,1,112
138,1669,2138,138,\N,47.6500,20.6700,3,1,1,112
139,1669,2138,139,\N,39.2300,-44.3400,4,1,1,112
140,1562,1987,140,\N,21.9079,-39.8234,3,1,1,25
141,852,1090,141,\N,-54.5877,25.0838,4,1,1,300
142,1677,2152,142,\N,4.1674,164.4197,4,1,1,251
143,1677,2152,143,\N,-31.8168,137.5363,3,1,1,251
144,1677,2153,144,\N,-7.5576,-68.1405,2,1,1,251
145,76,95,145,\N,25.6366,76.1155,3,1,1,355
146,76,95,146,\N,1.2283,50.7668,4,1,1,355
147,76,95,147,\N,11.8447,-56.0513,4,1,1,355
148,1678,2154,148,\N,-32.3041,-69.7833,4,1,1,137
149,1678,2155,149,\N,27.5997,-105.8709,4,1,1,137
150,1678,2155,150,\N,27.5059,-105.9309,3,1,1,137
151,543,690,151,\N,-19.4900,68.9800,4,1,1,111
152,543,690,152,\N,25.3400,85.4100,3,1,1,111
153,543,690,153,\N,25.3600,85.3600,4,1,1,111
154,547,696,154,\N,-36.4100,48.8200,2,1,1,111
155,547,696,155,\N,14.1000,39.6700,4,1,1,111
156,547,696,156,\N,30.9400,35.7800,2,1,1,111
157,6,9,157,\N,23.9400,-82.0900,4,1,1,111
158,6,9,158,\N,-28.5200,-156.7000,2,1,1,111
159,304,405,159,\N,-17.3900,-104.8500,2,1,1,111
160,304,404,160,\N,-5.4900,138.4600,3,1,1,111
161,304,404,161,\N,43.5100,-8.9400,2,1,1,111
162,263,353,162,\N,8.2400,101.9700,3,1,1,77
163,263,353,163,\N,26.7000,142.7800,3,1,1,77
164,263,353,164,\N,27.3200,144.5000,3,1,1,77
165,263,354,165,\N,3.8700,63.3100,2,1,1,77
166,263,354,166,\N,-39.9100,-115.5600,4,1,1,77
167,75,94,167,\N,16.4272,-142.7126,3,1,1,59
168,75,94,168,\N,23.9717,-67.5760,3,1,1,59
169,75,94,169,\N,-15.9883,-9.8821,4,1,1,59
170,250,335,170,\N,-15.3243,6.5224,3,1,1,264
171,250,334,171,\N,8.1724,82.8748,4,1,1,264
172,250,334,172,\N,8.2760,82.7896,2,1,1,264
173,1257,1606,173,\N,-19.5093,23.1325,3,1,1,111
174,1257,1607,174,\N,35.1875,39.6072,4,1,1,111
175,1257,1607,175,\N,-31.7785,48.6732,3,1,1,111
176,1257,1607,176,\N,-37.9990,56.6387,3,1,1,111
177,329,437,177,\N,33.9682,-166.4725,2,1,1,89
178,329,437,178,\N,-22.4726,-130.1142,2,1,1,89
179,329,437,179,\N,-31.3098,-132.8548,3,1,1,89
180,1265,1617,180,\N,-22.7866,56.0351,2,1,1,111
181,1265,1617,181,\N,-1.1687,49.3558,4,1,1,111
182,1265,1617,182,\N,35.3033,-43.5051,3,1,1,111
183,1265,1618,183,\N,-16.1344,66.2188,2,1,1,111
184,1265,1618,184,\N,-43.4257,79.7927,2,1,1,111
185,1264,1615,185,\N,-40.1400,-143.1200,4,1,1,111
186,1264,1616,186,\N,75.5500,172.6300,2,1,1,111
187,1264,1616,187,\N,59.6200,-18.8300,4,1,1,111
188,1264,1616,188,\N,46.6200,-4.3300,4,1,1,111
189,309,413,189,\N,8.0827,-48.3564,4,1,1,30
190,309,413,190,\N,7.2480,-51.3449,4,1,1,30
191,309,413,191,\N,25.9078,-59.5057,2,1,1,30
192,1261,1611,192,\N,-52.3600,167.9500,4,1,1,111
193,1261,1611,193,\N,-27.1700,66.3000,3,1,1,111
194,1261,1611,194,\N,-6.6500,-27.1400,4,1,1,111
195,1261,1612,195,\N,-19.8600,-47.8600,4,1,1,111
196,1261,1612,196,\N,-52.5100,154.9900,2,1,1,111
197,78,98,197,\N,9.6033,-136.8460,2,1,1,59
198,78,98,198,\N,-0.8165,-54.5193,3,1,1,59
199,78,98,199,\N,18.7041,1.6921,2,1,1,59
200,301,401,200,\N,38.3239,-35.7182,4,1,1,71
201,301,401,201,\N,-24.9349,-101.7066,3,1,1,71
202,79,100,202,\N,-17.9222,-113.4043,2,1,1,81
203,79,100,203,\N,-17.959,-113.3587,3,1,1,81
204,79,100,204,\N,4.6233,27.6454,4,1,1,81
205,254,341,205,\N,12.8145,-92.3022,2,1,1,26
206,254,341,206,\N,-0.2667,1.1391,2,1,1,1
207,254,341,207,\N,-49.4746,-73.9273,2,1,1,1
208,291,390,208,\N,30.5089,171.0621,2,1,1,223
209,291,390,209,\N,-14.8578,-133.0822,3,1,1,223
210,291,390,210,\N,-3.0358,-117.0636,3,1,1,223
211,1204,1549,211,\N,-27.281,31.641,4,1,1,30
212,1204,1549,212,\N,-31.1279,-124.0304,4,1,1,30
213,1204,1549,213,\N,-23.7853,-110.4353,4,1,1,30
214,497,627,214,\N,-20.5504,-33.1485,2,1,1,26
215,319,424,215,\N,32.0548,-128.1269,2,1,1,1
216,319,424,216,\N,52.2356,-35.9148,4,1,1,223
217,319,424,217,\N,-14.4906,51.1395,4,1,1,223
218,501,633,218,\N,-2.4792,101.1338,4,1,1,26
219,501,633,219,\N,28.1137,89.0494,3,1,1,26
220,501,635,220,\N,-20.3236,21.6789,2,1,1,111
221,497,629,221,\N,8.2654,176.7908,4,1,1,111
222,497,629,222,\N,40.9457,68.9466,3,1,1,111
223,1213,1558,223,\N,-39.7614,-147.8094,2,1,1,30
224,1213,1558,224,\N,-42.2723,-149.5279,2,1,1,30
225,330,438,225,\N,16.1146,-102.013,4,1,1,223
226,330,438,226,\N,36.3636,-66.5507,4,1,1,223
227,65,81,227,\N,11.5108,70.5161,4,1,1,21
228,65,81,228,\N,16.1158,76.6291,2,1,1,21
229,65,81,229,\N,-9.2328,31.9282,4,1,1,21
230,67,83,230,\N,-36.7758,56.7133,4,1,1,30
231,67,83,231,\N,-36.8606,56.6697,4,1,1,30
232,67,83,232,\N,16.4682,123.4558,3,1,1,30
233,988,1247,233,\N,0.9332,149.3166,2,1,1,26
234,988,1246,234,\N,36.1199,111.9273,3,1,1,26
235,988,1246,235,\N,34.7991,126.9586,3,1,1,26
236,202,264,236,\N,-54.1744,49.6475,4,1,1,67
237,202,264,237,\N,27.0059,130.9395,3,1,1,67
238,990,1250,238,\N,-10.9626,-152.5711,3,1,1,26
239,990,1250,239,\N,58.5705,-35.7282,2,1,1,26
240,80,103,240,\N,-40.8841,-40.4988,3,1,1,81
241,80,103,241,\N,-48.9705,-42.3525,2,1,1,81
242,80,103,242,\N,28.7903,77.3108,2,1,1,81
243,986,1244,243,\N,45.2426,-20.2129,3,1,1,30
244,986,1244,244,\N,33.5973,-151.1266,2,1,1,30
245,984,1242,245,\N,-36.6735,-134.0059,4,1,1,30
246,984,1242,246,\N,1.7411,105.3944,4,1,1,30
247,69,85,247,\N,4.2886,-56.4991,2,1,1,287
248,69,85,248,\N,-25.4097,-68.7673,2,1,1,287
249,69,85,249,\N,-39.6367,-101.7005,3,1,1,287
250,324,430,250,\N,10.5771,166.1236,2,1,1,30
251,324,430,251,\N,16.8053,124.8031,4,1,1,30
252,62,77,252,\N,-0.3668,130.5414,4,1,1,30
253,62,77,253,\N,-24.0638,-27.5575,4,1,1,30
254,62,77,254,\N,9.4425,-57.1938,2,1,1,30
255,288,384,255,\N,-36.6274,-158.173,2,1,1,325
256,1224,1570,256,\N,-36.6468,-86.1073,2,1,1,25
257,1224,1570,257,\N,-37.5488,-86.1685,2,1,1,25
258,1224,1570,258,\N,-42.587,-22.5244,3,1,1,25
259,1223,1569,259,\N,-31.2882,-151.7043,4,1,1,60
260,535,680,260,\N,20.2644,-117.1336,4,1,1,30
261,535,678,261,\N,-36.879,140.0764,2,1,1,30
262,535,678,262,\N,27.8203,143.7759,4,1,1,30
263,1679,2156,263,\N,34.785,-80.5431,3,1,1,140
264,1679,2156,264,\N,16.5507,-3.4556,4,1,1,140
265,288,384,265,\N,19.4628,-126.7246,3,1,1,7
266,1679,2157,266,\N,28.6482,-127.7992,4,1,1,111
267,325,431,267,\N,6.2991,166.445,2,1,1,303
268,325,431,268,\N,-1.2459,39.9643,2,1,1,279
269,325,432,269,\N,-50.21,-125.0965,4,1,1,111
270,281,377,270,\N,-47.1423,-138.5505,3,1,1,154
271,281,377,271,\N,-38.7705,17.2915,2,1,1,154
272,1402,1797,272,\N,24.1346,172.0412,4,1,1,128
273,328,435,273,\N,-44.5991,135.1922,2,1,1,195
274,328,435,274,\N,-30.2362,2.9298,2,1,1,195
275,328,436,275,\N,-15.0367,-178.6987,2,1,1,195
276,328,436,276,\N,33.9366,119.1534,3,1,1,195
277,312,416,277,\N,-29.15,136.4509,4,1,1,269
278,312,416,278,\N,-29.118,137.7482,4,1,1,269
279,312,416,279,\N,-44.9313,-61.7014,3,1,1,269
280,215,280,280,\N,12.9376,14.7975,4,1,1,15
281,215,280,281,\N,21.6727,0.8096,2,1,1,15
282,215,281,282,\N,36.6647,3.46,2,1,1,15
283,212,275,283,\N,-5.0246,-26.9995,2,1,1,48
284,212,275,284,\N,-2.9745,-128.4154,3,1,1,48
285,212,275,285,\N,-2.9767,-128.4826,4,1,1,48
286,212,276,286,\N,46.7761,-150.4471,4,1,1,48
287,212,276,287,\N,38.0487,-48.8509,4,1,1,48
288,200,261,288,\N,-31.5935,141.3556,4,1,1,303
289,200,261,289,\N,-31.6153,141.2318,2,1,1,303
290,200,261,290,\N,14.9202,146.093,4,1,1,303
291,1411,1807,291,\N,-26.6131,-3.46,3,1,1,129
292,235,311,292,\N,-55.0103,52.2778,4,1,1,303
293,235,310,293,\N,17.1971,-176.7106,4,1,1,303
294,235,310,294,\N,-1.6159,126.8244,2,1,1,303
295,1210,1555,295,\N,7.9511,72.1408,4,1,1,254
296,1210,1555,296,\N,18.2978,-116.3407,4,1,1,254
297,1210,1555,297,\N,-36.1052,-132.9204,4,1,1,254
