id,system,body,siteID,extoolID,latitude,longitude,type,hasDatabank,verified,visible,discoveredBy
1,1349,1713,1,\N,52.6791,115.2503,4,0,1,1,89
2,1517,1943,2,\N,-31.1571,99.4384,6,1,1,1,333
3,216,284,3,\N,43.1349,104.3013,5,1,1,1,174
4,1524,1952,4,\N,28.0021,-15.4242,2,0,1,1,110
5,729,927,5,\N,-32.0927,16.5575,4,0,1,1,161
6,195,255,6,\N,10.6348,-12.5755,2,0,0,1,185
7,1440,1831,7,\N,-44.476,-95.0524,4,0,1,1,150
8,1439,1829,8,\N,33.5862,-54.0217,5,1,1,1,185
9,1296,1655,9,\N,-23.2718,126.3758,6,1,1,1,11
10,292,384,10,\N,-77.9657,-170.4414,2,0,1,1,236
11,182,232,11,\N,-50.1193,-69.9793,4,0,1,1,84
12,263,347,12,\N,31.46,-154.25,2,0,1,1,263
13,607,766,13,\N,40.7966,-106.5073,8,1,1,1,32
14,262,346,14,\N,-56.6923,91.5176,2,0,1,1,101
15,225,297,15,\N,-11.4828,107.1574,3,0,1,1,101
16,226,300,16,\N,37.2591,19.255,2,0,1,1,101
17,1521,1948,17,\N,-57.4285,155.0567,3,0,1,1,101
18,1520,1947,18,\N,-21.8939,-18.9468,2,0,1,1,101
19,1272,1626,19,\N,42.1745,72.6098,5,1,1,1,101
20,1442,1834,20,\N,18.7047,106.9514,2,0,1,1,101
21,218,289,21,\N,-4.9932,-37.9452,3,0,1,1,101
22,606,764,22,\N,31.068,130.9747,3,0,1,1,213
23,1396,1777,23,\N,-24.6821,-21.6226,6,1,1,1,42
24,1516,1942,24,\N,-6.5804,-39.8589,6,1,1,1,70
25,219,290,25,\N,22.4474,-58.5793,2,0,1,1,70
26,249,332,26,\N,-31.6828,-141.3324,6,1,1,1,287
27,1399,1781,27,\N,-27.3238,-17.1637,4,0,1,1,184
28,266,354,28,\N,-41.6365,126.0865,4,0,1,1,210
29,1522,1950,29,\N,32.8026,139.444,2,0,1,1,271
30,1518,1944,30,\N,18.3677,-69.1438,3,0,1,1,48
31,1513,1939,31,\N,-38.1717,-157.2472,8,1,1,1,101
32,1312,1673,32,\N,-26.0524,32.0035,8,1,1,1,101
33,1523,1951,33,\N,25.3814,145.5499,7,1,1,1,201
34,240,319,34,\N,-68.9706,-37.988,7,1,1,1,204
35,310,407,35,\N,-39.3809,-0.3041,7,1,1,1,204
36,1301,1661,36,\N,-20.9783,-19.0668,5,1,1,1,174
37,189,241,37,\N,77.4091,62.0971,5,1,1,1,174
38,244,326,38,\N,-17.5551,68.0306,7,1,1,1,174
39,300,395,39,\N,5.1764,-54.8679,3,0,1,1,174
40,301,396,40,\N,50.0511,-103.6453,2,0,1,1,174
41,1527,1959,41,\N,23.1817,51.5521,3,0,1,1,174
42,1519,1945,42,\N,-14.6799,51.6902,6,1,1,1,174
43,267,355,43,\N,-23.8931,-58.4678,5,1,1,1,174
44,210,273,44,\N,5.5275,144.351,8,1,1,1,289
45,231,307,45,\N,61.2262,53.4023,7,1,1,1,174
46,198,260,46,\N,15.887,-18.7158,4,0,1,1,272
47,185,235,47,\N,46.7568,131.9607,3,0,1,1,37
48,213,278,48,\N,-35.5002,-126.2597,7,1,1,1,204
49,1360,1732,49,\N,-34.8383,132.8863,8,1,1,1,320
50,259,343,50,\N,18.5719,14.3325,7,1,1,1,37
51,260,344,51,\N,-42.1308,-98.7161,3,0,1,1,37
52,896,1133,52,\N,62.753,43.22,5,1,1,1,93
53,1531,1967,53,\N,-59.3564,14.9096,5,1,1,1,272
54,1511,1937,54,\N,-46.7879,-46.1474,2,0,1,1,266
55,312,409,55,\N,48.3529,90.8586,5,1,1,1,272
56,1267,1621,56,\N,-15.3128,53.2152,7,1,1,1,74
57,296,390,57,\N,-68.5234,66.2561,4,0,1,1,97
58,311,408,58,\N,11.2991,-113.3043,2,0,1,1,204
59,199,261,59,\N,-40.0571,-20.0045,3,0,1,1,74
60,893,1130,60,\N,70.0007,-38.5384,8,1,1,1,27
61,901,1141,61,\N,52.0385,110.8552,7,1,1,1,27
62,907,1147,62,\N,-23.7554,36.7087,4,0,1,1,27
63,898,1135,63,\N,54.0972,-52.0658,2,0,1,1,112
64,223,295,64,\N,-43.1448,163.005,3,0,1,1,1
65,172,221,65,\N,-11.389,-149.2682,3,0,1,1,204
66,241,320,66,\N,-33.9519,-12.5171,7,1,1,1,101
67,255,339,67,\N,-59.2133,-132.9053,7,1,1,1,141
68,295,389,68,\N,-11.5445,63.4959,6,1,1,1,101
69,290,382,69,\N,42.1358,177.2873,2,0,1,1,101
70,910,1150,70,\N,-20.4225,34.3141,6,1,1,1,27
71,1409,1791,71,\N,-39.0538,-65.4311,5,1,1,1,190
72,1367,1739,72,\N,30.3997,-127.24,3,0,1,1,190
73,1294,1653,73,\N,58.9512,88.5083,2,0,1,1,282
74,177,226,74,\N,-57.9996,-7.8974,4,0,0,1,282
75,1371,1744,75,\N,3.348,9.5881,11,1,1,1,22
76,1259,1604,76,\N,-52.2766,98.4334,11,1,1,1,328
77,1295,1654,77,\N,-3.4755,-115.258,11,1,1,1,59
78,1258,1603,78,\N,-46.7966,-132.27,10,1,0,1,59
79,1310,1670,79,\N,-4.8314,-65.7558,11,1,1,1,101
80,1293,1652,80,\N,-37.5625,-125.6039,9,1,1,1,12
81,1438,1827,81,\N,2.5833,126.6176,10,1,0,1,116
82,1271,1625,82,\N,-2.0147,54.393,9,1,0,1,116
83,1323,1684,83,\N,56.7166,121.6597,9,1,0,1,116
84,1335,1697,84,\N,50.6153,-35.0532,11,1,0,1,116
85,1289,1647,85,\N,-23.99,174.22,10,1,0,1,116
86,1362,1734,86,\N,59.518,-23.376,11,1,1,1,59
87,1292,1651,87,\N,64.2973,163.6847,9,1,1,1,12
88,1285,1643,88,\N,-45.4807,152.4102,10,1,0,1,116
89,1343,1707,89,\N,38.2725,-48.5607,11,1,1,1,59
90,908,1148,90,\N,-49.5373,-81.8963,4,0,0,1,116
91,789,1007,91,\N,-0.8641,-38.1784,11,1,0,1,12
92,1265,1618,92,\N,-16.1024,-5.7274,9,1,0,1,116
93,1320,1681,93,\N,-42.5076,-155.6324,11,1,1,1,171
94,1260,1605,94,\N,43.6624,174.2231,9,1,1,1,282
95,1355,1724,95,\N,-44.9067,89.4301,9,1,0,1,116
96,794,1013,96,\N,-44.5212,34.3159,9,1,1,1,52
97,791,1010,97,\N,25.4582,-132.8993,10,1,1,1,39
98,1280,1636,98,\N,-14.0603,-31.1756,9,1,0,1,116
99,1315,1676,99,\N,47.409,80.6103,10,1,0,1,101
100,909,1149,100,\N,-1.1806,25.3779,11,1,1,1,282
101,1297,1656,101,\N,37.809,-111.6051,10,1,1,1,282
102,1327,1688,102,\N,12.1763,44.3155,10,1,1,1,116
103,1317,1678,103,\N,-40.9175,-156.144,6,1,1,1,116
104,1291,1649,104,\N,-25.6606,169.9389,6,1,1,1,282
105,905,1145,105,\N,80.2978,113.4324,9,1,1,1,116
106,1282,1638,106,\N,-49.1889,-23.327,10,1,1,1,116
107,247,330,107,\N,7.4777,28.521,5,1,1,1,175
108,203,265,108,\N,57.5534,41.955,4,0,1,1,116
109,1512,1938,109,\N,-30.6587,-66.4213,7,1,1,1,116
110,206,268,110,\N,43.3372,-18.6274,5,1,1,1,116
111,1287,1645,111,\N,25.3202,-59.4835,4,0,0,1,52
