id,system,body,siteID,extoolID,type,latitude,longitude,verified,visable,discoveredBy
1,1105,1389,1,\N,5,15.9,128.7378,1,1,161
2,1408,1804,2,\N,2,40.8623,-135.4448,1,1,78
3,807,1032,3,\N,5,51.7654,-41.0964,1,1,321
4,1392,1782,4,\N,5,17.131,-151.6482,1,1,78
5,1392,1784,5,\N,2,-8.9877,-152.7516,1,1,78
6,842,1078,6,\N,2,-19.4963,139.1895,1,1,16
7,822,1053,7,\N,5,39.6166,153.543,1,1,78
8,1158,1483,8,\N,2,27.9999,-49.8855,1,1,269
9,679,857,9,\N,2,-35.3356,19.5765,1,1,78
10,679,858,10,\N,2,8.7795,135.0627,1,1,78
11,679,859,11,\N,2,-8.9989,-13.5666,1,1,78
12,1180,1517,12,\N,5,38.53,-43.3475,1,1,350
13,780,994,13,\N,5,-72.1764,-46.1385,1,1,54
14,1765,2262,14,\N,2,-46.2715,-27.2424,1,1,126
15,373,488,15,\N,5,29.4087,-123.425,1,1,81
16,1243,1590,16,\N,5,-11.0076,-95.6506,1,1,284
17,775,984,17,\N,2,-36.6332,39.7665,1,1,168
18,775,985,18,\N,5,0.4859,-59.155,1,1,168
19,373,488,19,\N,5,35.9001,-118.7099,1,1,81
20,1180,1517,20,\N,5,-18.82,75.8481,1,1,350
21,1338,1713,21,\N,2,-44.4849,41.9599,1,1,350
22,950,1205,22,\N,5,0.352,-143.1376,1,1,324
23,382,502,23,\N,2,23.3827,-174.2183,1,1,190
24,1420,1819,24,\N,2,6.9444,115.0325,1,1,124
25,1420,1818,25,\N,5,-48.833,45.0308,1,1,124
26,632,800,26,\N,2,57.5969,-58.8564,1,1,81
27,1523,1943,27,\N,2,14.3646,-26.3509,1,1,126
28,1565,1993,28,\N,5,7.1489,155.5281,1,1,274
29,1565,1993,29,\N,5,-5.0009,158.9194,1,1,274
30,778,992,30,\N,5,22.3967,108.8053,1,1,54
31,114,148,31,\N,5,35.9865,133.2977,1,1,330
32,1066,1338,32,\N,2,36.7964,131.8809,1,1,10
33,1066,1338,33,\N,2,-43.0577,80.3463,1,1,10
34,1066,1339,34,\N,2,13.6079,-29.8262,1,1,10
35,590,752,35,\N,2,-60.542,160.2476,1,1,284
36,589,751,36,\N,2,44.4901,152.596,1,1,284
37,1339,1714,37,\N,2,-6.6984,135.0052,1,1,350
38,1339,1714,38,\N,2,54.1026,12.4994,1,1,350
39,1066,1339,39,\N,2,13.5338,-49.649,1,1,10
40,1339,1715,40,\N,2,-40.2535,-170.7767,1,1,350
41,1339,1715,41,\N,2,-72.8069,79.7532,1,1,350
42,177,235,42,\N,2,-31.7149,-144.3473,1,1,284
43,1173,1508,43,\N,2,71.5002,-76.6557,1,1,88
44,1325,1696,44,\N,2,-59.078,44.7697,1,1,350
45,1325,1697,45,\N,5,-5.1364,-28.1012,1,1,350
46,885,1133,46,\N,5,-45.2049,118.5496,1,1,273
47,815,1045,47,\N,5,-52.3748,128.1057,1,1,295
48,160,216,48,\N,5,-30.9317,117.6281,1,1,168
49,160,217,49,\N,2,-33.7106,147.9782,1,1,168
50,160,210,50,\N,2,44.7923,171.1214,1,1,168
51,160,211,51,\N,5,-43.6479,63.8384,1,1,168
52,160,214,52,\N,5,-17.2755,48.4611,1,1,168
53,1268,1621,53,\N,2,11.4201,-102.8356,1,1,88
54,1577,2009,54,\N,5,60.8865,36.6659,1,1,190
55,163,220,55,\N,5,32.0873,-50.7281,1,1,51
56,1470,1873,56,\N,2,60.8511,60.8271,1,1,107
57,706,893,57,\N,5,9.7988,35.4159,1,1,161
58,435,560,58,\N,5,16.9831,59.7011,1,1,324
59,892,1140,59,\N,2,20.5025,-4.2472,1,1,324
60,239,319,60,\N,2,-65.7184,148.3318,1,1,137
61,287,383,61,\N,5,-60.0852,32.5959,1,1,107
62,287,383,62,\N,5,-41.874,18.8202,1,1,107
63,1774,2272,63,\N,2,58.6729,153.9524,1,1,133
64,1001,1261,64,\N,2,31.4811,-177.4541,1,1,126
65,390,510,65,\N,2,14.3462,-178.6078,1,1,172
66,714,902,66,\N,2,-23.393,-109.3787,1,1,175
67,1398,1792,67,\N,5,-25.1807,-88.7985,1,1,107
68,1351,1729,68,\N,5,-40.6202,40.5291,1,1,190
69,1507,1920,69,\N,2,-4.7321,-130.4196,1,1,78
70,575,736,70,\N,5,18.6802,-132.9913,1,1,78
71,631,799,71,\N,2,63.7921,-13.3004,1,1,172
72,439,565,72,\N,5,-25.821,-168.6756,1,1,284
73,439,566,73,\N,5,-23.3954,-90.0296,1,1,284
74,1066,1339,74,\N,2,-58.5421,0.4521,1,1,285
75,356,468,75,\N,2,69.3239,78.2076,1,1,175
76,559,715,76,\N,2,-65.1259,160.4707,1,1,237
77,1336,1711,77,\N,5,28.4633,89.1807,1,1,28
78,560,716,78,\N,5,2.8233,-43.7068,1,1,158
79,1179,1516,79,\N,5,-68.0309,-48.9987,1,1,203
80,648,818,80,\N,5,72.0173,117.2055,1,1,100
81,371,486,81,\N,2,33.0029,54.7205,1,1,321
82,102,135,82,\N,2,-3.7876,-47.5737,1,1,158
83,818,1049,83,\N,2,-56.6516,-156.5589,1,1,107
84,818,1049,84,\N,2,-56.691,-156.494,1,1,107
85,995,1255,85,\N,2,28.9248,4.2576,1,1,112
86,995,1255,86,\N,2,46.3802,-38.5359,1,1,112
87,634,802,87,\N,2,4.3782,165.8235,1,1,259
88,656,829,88,\N,5,-3.7158,-130.3393,1,1,57
89,656,830,89,\N,2,7.0649,160.4174,1,1,57
90,656,831,90,\N,2,37.5466,-66.6192,1,1,57
91,1029,1294,91,\N,5,16.8888,118.8017,1,1,259
92,1363,1741,92,\N,2,18.6346,163.9213,1,1,177
93,1602,2035,93,\N,3,26.226,96.1566,1,1,261
94,561,717,94,\N,2,-16.5951,10.3991,1,1,220
95,1602,2035,95,\N,3,8.0274,-171.2439,1,1,321
96,1602,2035,96,\N,3,46.4131,-140.567,1,1,321
97,1096,1375,97,\N,5,-50.7242,-6.505,1,1,300
98,54,66,98,\N,5,-67.0762,-87.7753,1,1,100
99,1602,2035,99,\N,3,-69.6583,24.0676,1,1,216
100,1376,1759,100,\N,5,6.7347,-3.4887,1,1,285
101,375,491,101,\N,5,20.6175,91.5778,1,1,285
102,1184,1521,102,\N,5,50.875,-31.0911,1,1,203
103,83,106,103,\N,2,47.0783,21.6531,1,1,163
104,83,106,104,\N,2,61.3945,21.6854,1,1,163
105,231,305,105,\N,2,1.9922,-111.5044,1,1,97
