id,system,body,siteID,extoolID,type,latitude,longitude,verified,visable,discoveredBy
1,1778,2276,1,\N,1,38.8111,-130.3432,1,1,30
2,394,514,2,\N,1,-16.9577,-17.2757,1,1,30
3,1683,2161,3,\N,1,-29.722,91.478,1,1,30
4,1682,2160,4,\N,1,-32.1679,91.4709,1,1,30
5,354,465,5,\N,1,-41.5087,-168.7731,1,1,58
6,354,465,6,\N,1,66.9674,167.043,1,1,58
7,354,465,7,\N,1,16.4535,111.3423,1,1,58
8,354,465,8,\N,1,11.515,-139.0139,1,1,58
9,363,477,9,\N,1,40.1341,-151.7328,1,1,58
10,120,154,10,\N,1,72.6948,-69.7243,1,1,88
11,1192,1532,11,\N,1,44.7967,-64.6416,1,1,16
12,1192,1532,12,\N,1,53.4202,51.7159,1,1,16
13,1655,2123,13,\N,1,58.6739,-80.8141,1,1,202
14,94,124,14,\N,1,-5.0897,-155.0098,1,1,338
15,420,543,15,\N,1,67.21,-100.6855,1,1,338
16,896,1144,16,\N,1,-18.6742,-58.3293,0,1,104
17,1346,1723,17,\N,1,61.2685,155.0603,1,1,80
18,82,105,18,\N,1,-61.2274,-157.9513,0,1,208
19,1321,1691,19,\N,1,25.1605,157.8528,0,1,38
20,1256,1605,20,\N,1,32.6408,172.9669,0,1,38
21,1405,1801,21,\N,1,-35.4107,69.5356,1,1,129
22,1699,2190,22,\N,1,10.7387,60.5876,1,1,93
23,58,72,23,\N,1,29.4388,102.2621,1,1,38
24,583,744,24,\N,1,-13.3003,-161.5954,1,1,93
25,1658,2126,25,\N,1,-63.315,51.5889,1,1,113
26,802,1027,26,\N,1,13.3769,69.997,0,1,147
27,1427,1826,27,\N,1,46.1517,-99.7919,1,1,94
28,351,460,28,\N,1,28.7754,8.6374,1,1,69
29,1003,1263,29,\N,1,32.0073,92.5071,1,1,113
30,1276,1635,30,\N,1,47.9833,-109.6827,1,1,132
31,1572,2004,31,\N,1,5.9575,-58.3073,1,1,113
32,386,506,32,\N,1,39.0469,-58.5762,1,1,305
33,386,506,33,\N,1,33.9654,-98.9257,1,1,305
34,386,506,34,\N,1,-60.5088,158.2323,1,1,305
35,386,506,35,\N,1,-18.2348,-73.8975,1,1,305
36,998,1258,36,\N,1,14.4214,12.4027,1,1,345
37,122,156,37,\N,1,-55.2152,62.3968,1,1,311
38,1245,1592,38,\N,1,26.9816,81.1913,1,1,345
39,1000,1260,39,\N,1,33.0313,132.2693,1,1,345
40,335,444,40,\N,1,6.7942,164.5247,1,1,191
41,999,1259,41,\N,1,-26.4493,-105.279,1,1,345
42,1253,1602,42,\N,1,-23.6829,58.5817,1,1,132
43,424,547,43,\N,1,40.3149,-104.1278,1,1,46
44,424,547,44,\N,1,-22.7717,-177.3404,1,1,46
45,997,1257,45,\N,1,59.2299,-79.3826,1,1,345
46,87,114,46,\N,1,56.8599,75.0595,1,1,347
47,391,511,47,\N,1,-12.32,-109.5705,1,1,311
48,1175,1511,48,\N,1,-79.2671,-167.0497,1,1,295
49,1368,1749,49,\N,1,-16.3153,131.8972,1,1,132
50,1240,1587,50,\N,1,-0.024,-89.1907,1,1,29
51,1280,1639,51,\N,1,-25.9479,-133.4786,1,1,348
52,835,1071,52,\N,1,66.1368,-28.9611,1,1,82
53,165,223,53,\N,1,-18.7286,-168.2343,1,1,82
54,165,223,54,\N,1,56.6757,-35.5511,1,1,82
55,165,222,55,\N,1,20.223,3.4255,1,1,82
56,1286,1647,56,\N,1,-17.7558,166.0778,1,1,82
57,1286,1646,57,\N,1,59.3058,66.4091,1,1,82
58,563,721,58,\N,1,-31.9395,13.5582,1,1,82
59,363,476,59,\N,1,13.4782,-33.9249,0,1,317
60,397,517,60,\N,1,59.5852,23.6203,1,1,339
61,882,1129,61,\N,1,61.3057,-139.5297,1,1,129
62,882,1129,62,\N,1,76.1634,76.0918,1,1,129
63,1475,1879,63,\N,1,-39.0385,-76.6066,1,1,82
64,381,501,64,\N,1,27.5665,35.0297,1,1,348
65,540,685,65,\N,1,-18.7417,77.0928,1,1,276
66,555,711,66,\N,1,-74.5741,45.8952,1,1,57
67,555,711,67,\N,1,-65.6969,56.1782,1,1,57
68,747,940,68,\N,1,-8.4418,128.928,1,1,57
69,715,904,69,\N,1,58.8919,-11.8988,1,1,57
70,789,1006,70,\N,1,6.4145,-160.6624,1,1,57
71,895,1143,71,\N,1,1.824,-15.2976,1,1,82
72,1330,1703,72,\N,1,-36.6738,64.001,1,1,82
73,1330,1704,73,\N,1,11.0343,40.5314,1,1,82
74,1330,1705,74,\N,1,44.8316,25.4236,1,1,82
75,413,535,75,\N,1,7.5015,-109.1642,1,1,311
76,1576,2008,76,\N,1,2.9772,6.9911,1,1,142
77,568,726,77,\N,1,-39.6659,36.5939,1,1,82
78,409,530,78,\N,1,-7.763,-11.913,1,1,82
79,1060,1332,79,\N,1,60.5892,119.7708,1,1,105
80,1061,1333,80,\N,1,26.2467,-33.6285,1,1,105
81,1564,1992,81,\N,1,-73.247,-100.7436,0,1,57
82,144,185,82,\N,1,-13.2197,123.1117,1,1,43
83,1307,1674,83,\N,3,-4.2702,64.0914,1,1,217
84,1307,1674,84,\N,3,-14.0001,60.8629,1,1,217
85,1597,2030,85,\N,3,28.7257,122.1243,1,1,1
86,1700,2191,86,\N,7,-7.2929,108.4078,1,1,1
87,1530,1952,87,\N,4,-41.8632,116.3857,1,1,1
88,822,1055,88,\N,3,-9.8852,63.1407,1,1,84
89,822,1056,89,\N,3,26.9505,90.5306,1,1,84
90,353,462,90,\N,3,-20.3086,150.1523,1,1,84
91,353,464,91,\N,3,-16.4648,142.113,1,1,84
92,41,49,92,\N,3,-1.2519,-12.7171,1,1,84
93,41,51,93,\N,4,21.8039,177.2231,1,1,84
94,1316,1686,94,\N,3,4.116,-147.7186,1,1,296
95,1347,1725,95,\N,3,20.18,26.4477,1,1,178
96,1335,1710,96,\N,7,50.2913,95.91,1,1,1
97,1045,1317,97,\N,4,-46.2244,-10.8127,1,1,336
98,1335,1710,98,\N,7,74.5631,-80.7302,1,1,1
99,1347,1724,99,\N,3,-31.5355,0.8728,1,1,178
100,665,844,100,\N,2,18.2371,-108.3429,1,1,178
101,1565,1994,101,\N,4,17.3641,78.5445,1,1,286
102,1565,1994,102,\N,4,52.3788,68.8883,1,1,286
103,1565,1994,103,\N,4,39.5816,66.5957,1,1,286
104,1565,1994,104,\N,4,-15.1826,62.5321,1,1,286
105,1565,1994,105,\N,4,-5.121,63.865,1,1,286
106,1565,1994,106,\N,4,0.6217,117.6218,1,1,286
107,1565,1994,107,\N,4,-54.8562,-64.9555,1,1,286
108,898,1146,108,\N,3,40.7655,-150.8683,1,1,230
109,643,812,109,\N,3,12.8528,-71.0203,1,1,201
110,1307,1674,110,\N,3,-26.8433,-71.3414,1,1,133
111,1705,2196,111,\N,4,72.3067,135.5206,1,1,313
112,141,178,112,\N,7,71.9768,56.8691,1,1,1
113,174,232,113,\N,3,-37.7955,145.1908,1,1,296
114,642,811,114,\N,3,-55.0269,50.0408,1,1,201
115,537,682,115,\N,7,-0.4165,-135.2425,1,1,1
116,832,1068,116,\N,3,-8.8181,65.5062,1,1,201
117,169,227,117,\N,4,-41.2552,-169.8018,1,1,142
118,434,559,118,\N,3,1.9794,-73.8901,1,1,336
119,1269,1622,119,\N,3,7.2775,-0.7828,1,1,336
120,1270,1624,120,\N,6,-33.5971,117.9477,1,1,336
121,884,1132,121,\N,3,-3.7326,131.357,1,1,361
122,938,1189,122,\N,3,-25.8991,129.1464,1,1,248
123,871,1115,123,\N,4,55.0298,69.2521,1,1,297
124,871,1116,124,\N,5,-16.458,70.0394,1,1,297
125,1773,2271,125,\N,3,-21.1501,-42.1619,1,1,142
126,1087,1365,126,\N,3,40.5567,145.7926,1,1,336
127,1772,2270,127,\N,6,-42.0726,-9.0889,1,1,142
128,1776,2274,128,\N,5,-82.4138,173.5876,1,1,142
129,1333,1708,129,\N,6,-9.5752,66.5506,1,1,223
130,1674,2147,130,\N,5,61.1526,-4.1441,1,1,76
131,398,518,131,\N,4,-31.316,26.0029,1,1,1
132,1341,1717,132,\N,5,50.7249,49.4759,1,1,20
133,1181,1518,133,\N,5,5.974,66.3169,1,1,179
134,357,470,134,\N,3,-7.0259,151.5531,1,1,214
135,1367,1748,135,\N,3,39.2237,-2.6213,1,1,298
136,1602,2035,136,\N,3,-30.5862,152.4987,1,1,340
137,341,450,137,\N,4,63.627,39.6138,1,1,231
138,341,450,138,\N,4,56.8579,103.2182,1,1,231
139,1364,1742,139,\N,7,-33.5166,13.2671,1,1,1
140,99,131,140,\N,3,-76.7183,5.5259,1,1,249
141,101,134,141,\N,3,67.1456,-175.0836,1,1,149
142,1193,1536,142,\N,3,-8.6231,64.0387,1,1,297
143,1193,1537,143,\N,3,-53.0499,-78.5085,1,1,297
144,83,108,144,\N,3,80.5783,116.8305,1,1,173
145,83,108,145,\N,3,-26.2624,-120.0305,1,1,173
146,51,62,146,\N,3,34.0494,49.896,1,1,166
147,996,1256,147,\N,3,-36.4458,103.473,1,1,361
148,1377,1760,148,\N,4,36.1536,-72.364,1,1,61
149,103,136,149,\N,3,9.8616,67.6097,1,1,193
150,110,144,150,\N,3,22.6471,-26.4981,1,1,273
151,674,853,151,\N,3,42.5595,59.9259,1,1,61
152,888,1136,152,\N,3,74.7605,89.2335,1,1,217
153,1602,2035,153,\N,3,62.0949,25.7374,1,1,273
154,1334,1709,154,\N,3,14.1108,71.0208,1,1,280
155,135,171,155,\N,3,-56.8574,-18.8216,1,1,296
156,135,172,156,\N,7,44.7143,-80.8506,1,1,296
157,561,718,157,\N,4,-46.8707,-45.8359,1,1,231
158,1043,1314,158,\N,6,-45.5947,-47.0134,1,1,1
159,1043,1314,159,\N,6,-33.0945,15.8495,1,1,1
160,1051,1323,160,\N,3,6.6187,-128.5554,1,1,106
161,1051,1323,161,\N,3,12.1781,-132.2046,1,1,106
162,1051,1323,162,\N,3,18.0931,-125.0512,1,1,106
163,1051,1323,163,\N,3,42.96,-105.2428,1,1,106
164,1051,1323,164,\N,3,45.7225,-140.7833,1,1,106
165,93,123,165,\N,4,25.1648,178.9155,1,1,297
166,1609,2043,166,\N,5,-37.2438,-10.1599,1,1,149
167,83,109,167,\N,3,7.7388,-105.7449,1,1,173
168,83,109,168,\N,3,-15.8835,-149.8221,1,1,173
169,83,109,169,\N,3,-45.584,-98.323,1,1,173
170,83,110,170,\N,3,-27.1328,-47.0572,1,1,173
171,83,110,171,\N,3,27.6151,-17.343,1,1,173
172,587,749,172,\N,5,37.1268,-95.2743,1,1,197
173,100,133,173,\N,3,2.9797,68.3595,1,1,12
174,1602,2035,174,\N,3,-10.0471,-116.2585,1,1,280
175,1602,2035,175,\N,3,-21.7434,-179.9196,1,1,3
176,582,743,176,\N,4,38.8508,-35.6397,1,1,217
177,1602,2035,177,\N,3,-44.3149,137.487,1,1,193
178,857,1097,178,\N,3,63.9063,29.8531,1,1,98
179,857,1097,179,\N,3,-21.5833,-102.4741,1,1,98
180,857,1097,180,\N,3,25.2197,-94.856,1,1,98
181,1337,1712,181,\N,6,-1.549,162.6703,1,1,173
182,1601,2034,182,\N,3,81.8304,-151.8054,1,1,224
183,210,273,183,\N,5,11.8838,121.5993,1,1,105
184,210,273,184,\N,5,20.0997,71.7263,1,1,105
185,1616,2053,185,\N,7,-28.709,19.1483,1,1,54
186,1616,2053,186,\N,7,-14.7695,46.4319,1,1,54
187,1616,2053,187,\N,7,-41.88,70.2606,1,1,54
188,1616,2053,188,\N,7,-45.7869,85.3642,1,1,54
189,1605,2038,189,\N,3,6.2706,36.3513,1,1,54
190,1605,2038,190,\N,3,20.5704,38.4548,1,1,54
191,644,813,191,\N,5,63.4635,-112.5172,1,1,142
192,1190,1528,192,\N,3,43.624,-110.8233,1,1,205
193,105,138,193,\N,3,72.3608,61.892,1,1,214
194,1702,2193,194,\N,3,-20.6522,39.3719,1,1,8
195,1043,1314,195,\N,6,27.5932,-93.7183,1,1,193
196,1620,2058,196,\N,3,61.5709,58.3482,1,1,54
197,1617,2054,197,\N,3,-65.8798,-148.6551,1,1,54
198,1052,1324,198,\N,4,-19.2621,-169.1691,1,1,119
199,1054,1326,199,\N,3,14.6334,138.0509,1,1,8
200,1088,1366,200,\N,4,60.3024,68.443,1,1,165
201,86,113,201,\N,4,-12.3508,-84.896,1,1,280
202,641,810,202,\N,3,5.6569,-92.4462,1,1,122
203,1623,2061,203,\N,3,-12.1803,38.8823,1,1,280
204,1050,1322,204,\N,4,15.1127,-33.1842,1,1,119
205,1043,1313,205,\N,3,-19.7523,-178.8174,1,1,124
206,1036,1303,206,\N,6,-45.5937,-148.3651,1,1,1
207,1030,1296,207,\N,7,63.7246,47.0141,1,1,1
