id,system,body,siteID,extoolID,type,latitude,longitude,cycle,comment,verified,visable,discoveredBy
1,1172,1507,1,\N,3,2.3189,177.2434,3,,0,1,1
2,936,1187,2,\N,1,-26.3515,-156.4056,4,,0,1,1
3,1128,1432,3,\N,3,21.93,96.98,2,,0,1,1
4,1128,1432,4,\N,1,21.3348,91.9834,1,,0,1,1
5,1128,1432,5,\N,1,19.2477,92.0916,1,,0,1,1
6,1128,1432,6,\N,1,23.16,94.07,1,,0,1,1
7,1128,1432,7,\N,1,20.86,91.68,1,,0,1,1
8,1128,1432,8,\N,6,25.3363,25.5291,2,,0,1,1
9,1128,1432,9,\N,1,-57.8318,107.4311,1,,0,1,1
10,1128,1433,10,\N,3,49.9075,102.7141,3,,0,1,1
11,1128,1433,11,\N,1,49.7519,102.161,1,,0,1,1
12,1128,1433,12,\N,4,49.5347,102.0792,3,,0,1,1
13,1172,1507,13,\N,3,0.8185,176.5622,2,,0,1,1
14,1128,1432,14,\N,1,20.1833,86.7352,3,,0,1,1
15,1128,1432,15,\N,1,21.6104,89.0181,1,,0,1,1
16,1128,1433,16,\N,1,13.0,18.24,1,,0,1,1
17,1128,1433,17,\N,3,49.0665,102.9364,2,,0,1,1
18,1128,1432,18,\N,1,22.8117,94.0667,1,,0,1,1
19,1128,1433,19,\N,3,49.7498,102.1578,2,,0,1,1
20,1128,1433,20,\N,1,59.4,-59.7,1,,0,1,1
21,1128,1432,21,\N,4,2.4138,23.5577,3,,0,1,1
22,1128,1432,22,\N,1,-0.9981,25.85,1,,0,1,1
23,1128,1432,23,\N,1,9.34,22.49,1,,0,1,1
24,1128,1433,24,\N,1,49.98,101.51,1,,0,1,1
25,1128,1433,25,\N,1,-1.86,-45.17,1,,0,1,1
26,1128,1432,26,\N,1,-21.27,-85.61,1,,0,1,1
27,1172,1507,27,\N,3,-6.2472,-173.9321,4,,0,1,1
28,1128,1432,28,\N,7,-8.7979,-13.3657,4,,0,1,1
29,1128,1433,29,\N,1,-17.61,-18.06,1,,0,1,1
30,1128,1433,30,\N,3,-17.95,-17.28,2,,0,1,1
31,1128,1433,31,\N,1,-18.23,-17.35,1,,0,1,1
32,1128,1433,32,\N,1,-28.04,29.51,1,,0,1,1
33,1128,1433,33,\N,1,-2.7,-45.27,1,,0,1,1
34,1128,1433,34,\N,1,-1.85,43.63,1,,0,1,1
35,1128,1433,35,\N,1,13.01,18.25,1,,0,1,1
36,1128,1433,36,\N,1,61.23,-56.02,1,,0,1,1
37,1128,1433,37,\N,1,60.3878,-51.8026,1,,0,1,1
38,1128,1433,38,\N,1,46.6403,-62.9002,1,,0,1,1
39,1119,1416,39,\N,1,-1.254,-164.182,4,,0,1,1
40,1119,1416,40,\N,1,-3.13,-162.2377,1,,0,1,1
41,1119,1416,41,\N,1,-0.7678,-162.5522,1,,0,1,1
42,1119,1416,42,\N,4,-0.5601,-161.9771,4,,0,1,1
43,1128,1433,43,\N,1,49.906,101.5107,1,,0,1,1
44,1119,1416,44,\N,1,-1.6133,-163.5428,4,,0,1,1
45,1119,1416,45,\N,6,-1.4193,-165.1568,4,,0,1,1
46,1128,1432,46,\N,1,-58.6949,-98.2852,1,,0,1,1
47,1119,1418,47,\N,1,5.89,-70.95,1,,0,1,1
48,1119,1418,48,\N,3,3.31,-70.97,3,,0,1,1
49,1119,1418,49,\N,1,4.23,-69.81,1,,0,1,1
50,1119,1418,50,\N,1,28.41,4.8037,1,,0,1,1
51,1119,1417,51,\N,1,-6.51,132.85,1,,0,1,1
52,1128,1433,52,\N,1,28.4218,-34.7203,1,,0,1,1
53,143,180,53,\N,7,45.6905,-88.1535,2,,0,1,252
54,143,181,54,\N,3,-21.6941,23.0779,3,,0,1,1
55,143,184,55,\N,7,-34.46,-44.4367,3,,0,1,1
56,143,184,56,\N,3,-29.4314,-54.3335,4,,0,1,1
57,143,184,57,\N,6,-24.7449,-64.0429,2,,0,1,1
58,143,184,58,\N,6,10.357,-80.2207,3,,0,1,1
59,146,192,59,\N,3,-56.2539,108.491,4,,0,1,1
60,1697,2183,60,\N,6,-16.5359,151.8175,4,,0,1,1
61,936,1186,61,\N,1,13.4277,-161.5145,4,,0,1,65
62,146,187,62,\N,3,-17.3842,-18.7939,2,,0,1,160
63,1690,2172,63,\N,7,-65.9886,-173.642,4,,0,1,206
64,1119,1418,64,\N,1,42.764,-97.152,1,,0,1,1
65,1119,1418,65,\N,1,42.845,-96.98,1,,0,1,1
66,142,179,66,\N,7,37.9339,-40.4353,4,,0,1,213
67,142,179,67,\N,3,34.832,-40.392,2,,0,1,213
68,1697,2185,68,\N,4,-24.4643,-26.8704,3,,0,1,160
69,1697,2187,69,\N,3,-0.5026,-163.3102,4,,0,1,160
70,1697,2186,70,\N,6,4.0266,-40.0451,4,,0,1,160
71,142,179,71,\N,7,30.5814,-66.2712,4,,0,1,213
72,142,179,72,\N,3,-37.4567,14.9971,4,,0,1,213
73,142,179,73,\N,4,30.6258,-67.1392,3,,0,1,213
74,936,1187,74,\N,3,8.3379,-96.1337,2,,0,1,351
75,936,1187,75,\N,3,-28.245,-109.5219,4,,0,1,221
76,142,179,76,\N,3,64.4428,4.7017,4,,0,1,219
77,1697,2183,77,\N,6,-22.9365,176.0601,3,,0,1,213
78,936,1187,78,\N,4,-28.77,-114.01,3,,0,1,327
79,146,188,79,\N,7,-9.7187,138.7988,4,,0,1,160
80,143,180,80,\N,4,-1.4133,-141.7319,4,,0,1,160
81,143,182,81,\N,3,-11.8843,54.5331,2,,0,1,160
82,143,183,82,\N,3,-27.3231,178.3874,2,,0,1,160
83,710,897,83,\N,1,-33.2579,140.347,1,,0,1,252
84,710,897,84,\N,3,-31.9412,141.221,4,,0,1,252
85,1119,1418,85,\N,1,18.8394,-82.8223,1,,0,1,131
86,1119,1418,86,\N,1,30.182,-54.4523,1,,0,1,131
87,1119,1418,87,\N,1,15.9454,-28.9784,1,,0,1,131
88,1119,1418,88,\N,1,14.6782,-29.5419,1,,0,1,131
89,1119,1418,89,\N,1,15.2147,-31.35,1,,0,1,131
90,710,897,90,\N,3,-32.754,140.103,4,,0,1,5
91,1119,1418,91,\N,1,16.947,-82.6808,1,,0,1,1
92,1119,1417,92,\N,1,2.5221,142.879,1,,0,1,252
93,1119,1417,93,\N,7,5.2474,142.8703,3,,0,1,252
94,1119,1417,94,\N,4,0.4332,143.1308,3,,0,1,335
95,1119,1417,95,\N,3,46.6599,-170.3448,3,,0,1,198
96,1119,1417,96,\N,1,0.891,142.0576,1,,0,1,252
97,1119,1417,97,\N,1,-1.7955,141.2449,1,,0,1,252
98,1160,1486,98,\N,3,-27.081,75.1162,2,,0,1,252
99,1160,1486,99,\N,4,-27.1014,74.6003,3,,0,1,252
100,1160,1486,100,\N,3,-26.9032,72.4783,4,,0,1,252
101,1160,1486,101,\N,1,-27.016,72.0928,2,,0,1,252
102,1119,1417,102,\N,1,47.5693,-167.2193,1,,0,1,252
103,1119,1417,103,\N,1,46.7718,-164.7683,1,,0,1,252
104,1119,1417,104,\N,4,46.3542,-165.069,3,,0,1,252
105,1119,1417,105,\N,1,35.4491,-159.8313,1,,0,1,252
106,1119,1417,106,\N,1,46.7148,-170.2378,1,,0,1,252
107,1119,1417,107,\N,1,51.2846,152.2478,1,,0,1,252
108,1128,1432,108,\N,1,-59.7253,-100.8103,1,,0,1,252
109,1128,1432,109,\N,1,-59.7579,-100.9584,1,,0,1,252
110,1128,1432,110,\N,1,-67.3018,-106.544,1,,0,1,252
111,1128,1432,111,\N,1,-63.0291,-130.8848,1,,0,1,252
112,1128,1432,112,\N,1,-55.78,102.74,1,,0,1,332
113,1128,1432,113,\N,4,-9.3676,-13.067,2,,0,1,332
114,1128,1432,114,\N,1,28.42,-34.72,1,,0,1,332
115,936,1186,115,\N,1,-11.2354,-145.3719,4,,0,1,252
116,1697,2184,116,\N,3,-62.7265,-174.6157,3,,0,1,252
117,1128,1432,117,\N,1,-49.6746,-93.1688,1,,0,1,332
118,1160,1486,118,\N,6,-23.5932,70.9424,2,,0,1,252
119,1160,1486,119,\N,3,-23.3382,71.5151,3,,0,1,252
120,1160,1486,120,\N,1,-26.5783,73.3242,4,,0,1,252
121,1160,1486,121,\N,4,-31.9369,77.6151,4,,0,1,252
122,1119,1417,122,\N,1,43.3664,155.3691,1,,0,1,252
123,1119,1417,123,\N,1,44.8012,155.2202,1,,0,1,252
