id,system,body,siteID,extoolID,latitude,longitude,status,verified,visible,msg1Site,msg2Site,msg3Site,discoveredBy
1,724,916,1,\N,-17.9575,-152.6994,3,1,1,\N,\N,\N,350
2,22,30,2,\N,25.5553,78.1765,3,1,1,\N,\N,\N,350
3,1154,1467,3,\N,58.4244,-177.0446,3,1,1,\N,\N,\N,350
4,344,453,4,\N,4.7654,136.2398,3,1,1,\N,\N,\N,350
5,695,880,5,\N,-26.4561,-27.4742,2,1,1,6,8,7,350
6,935,1183,6,\N,-63.5266,8.0136,2,1,1,5,7,8,350
7,923,1171,7,\N,-39.7932,-56.254,2,1,1,9,8,6,350
8,924,1172,8,\N,-51.7229,-110.0287,2,1,1,7,6,5,350
9,933,1181,9,\N,-52.0061,-5.6793,2,1,1,10,7,11,350
10,931,1179,10,\N,16.2444,25.5284,2,1,1,9,11,12,350
11,930,1178,11,\N,-33.2026,141.7225,2,1,1,10,12,9,350
12,708,895,12,\N,40.1213,-22.6073,2,1,1,11,14,13,350
13,917,1165,13,\N,-76.1261,113.2089,2,1,1,15,16,8,350
14,900,1148,14,\N,-21.9701,-113.2261,2,1,1,9,10,17,350
15,929,1177,15,\N,-27.3214,63.0988,2,1,1,12,16,13,350
16,921,1169,16,\N,-80.3925,-101.5264,2,1,1,6,13,15,350
17,903,1151,17,\N,15.5126,-12.4966,2,1,1,14,19,18,350
18,1481,1890,18,\N,-73.612,-35.184,2,1,1,22,19,21,350
19,699,884,19,\N,71.5247,77.2894,2,1,1,20,18,22,350
20,691,876,20,\N,-8.9048,-114.7065,3,1,1,\N,\N,\N,350
21,1135,1440,21,\N,-35.5592,155.9887,2,1,1,30,3,39,350
22,692,877,22,\N,76.7687,176.001,2,1,1,19,18,23,350
23,1406,1802,23,\N,24.3052,-68.308,2,1,1,24,25,37,350
24,1558,1983,24,\N,54.6409,-124.5742,3,1,1,\N,\N,\N,350
25,1498,1910,25,\N,-28.889,-89.2878,2,1,1,27,23,30,350
