"id","type","controller","action","enabled","policy","role"
1,application,apiupdate,count,1,"",1
2,application,apiupdate,count,1,"",2
3,application,apiupdate,count,1,"",3
4,application,apiupdate,create,1,"",1
5,application,apiupdate,create,0,"",2
6,application,apiupdate,create,0,"",3
7,application,apiupdate,destroy,1,"",1
8,application,apiupdate,destroy,0,"",2
9,application,apiupdate,destroy,0,"",3
10,application,apiupdate,find,1,"",1
11,application,apiupdate,find,1,"",2
12,application,apiupdate,find,1,"",3
13,application,apiupdate,findone,1,"",1
14,application,apiupdate,findone,1,"",2
15,application,apiupdate,findone,1,"",3
16,application,apiupdate,update,1,"",1
17,application,apiupdate,update,0,"",2
18,application,apiupdate,update,0,"",3
19,application,bmreport,count,1,"",1
20,application,bmreport,count,1,"",2
21,application,bmreport,count,1,"",3
22,application,bmreport,create,1,"",1
23,application,bmreport,create,1,"",2
24,application,bmreport,create,1,"",3
25,application,bmreport,destroy,1,"",1
26,application,bmreport,destroy,0,"",2
27,application,bmreport,destroy,0,"",3
28,application,bmreport,find,1,"",1
29,application,bmreport,find,1,"",2
30,application,bmreport,find,1,"",3
31,application,bmreport,findone,1,"",1
32,application,bmreport,findone,1,"",2
33,application,bmreport,findone,1,"",3
34,application,bmreport,update,1,"",1
35,application,bmreport,update,1,"",2
36,application,bmreport,update,0,"",3
37,application,bmsite,count,1,"",1
38,application,bmsite,count,1,"",2
39,application,bmsite,count,1,"",3
40,application,bmsite,create,1,"",1
41,application,bmsite,create,0,"",2
42,application,bmsite,create,0,"",3
43,application,bmsite,destroy,1,"",1
44,application,bmsite,destroy,0,"",2
45,application,bmsite,destroy,0,"",3
46,application,bmsite,find,1,"",1
47,application,bmsite,find,1,"",2
48,application,bmsite,find,1,"",3
49,application,bmsite,findone,1,"",1
50,application,bmsite,findone,1,"",2
51,application,bmsite,findone,1,"",3
52,application,bmsite,update,1,"",1
53,application,bmsite,update,0,"",2
54,application,bmsite,update,0,"",3
55,application,body,count,1,"",1
56,application,body,count,1,"",2
