"id","key","value","type","environment","tag"
1,db_model_users-permissions_user,"{""username"":{""type"":""string"",""minLength"":3,""unique"":true,""configurable"":false,""required"":true},""email"":{""type"":""email"",""minLength"":6,""configurable"":false,""required"":true},""provider"":{""type"":""string"",""configurable"":false},""password"":{""type"":""password"",""minLength"":6,""configurable"":false,""private"":true},""resetPasswordToken"":{""type"":""string"",""configurable"":false,""private"":true},""confirmed"":{""type"":""boolean"",""default"":false,""configurable"":false},""blocked"":{""type"":""boolean"",""default"":false,""configurable"":false},""role"":{""model"":""role"",""via"":""users"",""plugin"":""users-permissions"",""configurable"":false}}",object,,
2,db_model_bmsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""bmtype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
3,db_model_btsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""bttype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
4,db_model_cmdrkills,"{""cmdr"":{""model"":""cmdr"",""via"":""cmdrkill""},""scoutKills"":{""type"":""integer""},""cyclopsKills"":{""type"":""integer""},""basiliskKills"":{""type"":""integer""},""medusaKills"":{""type"":""integer""},""unknownKills"":{""type"":""integer""},""scoutRewards"":{""type"":""integer""},""cyclopsRewards"":{""type"":""integer""},""basiliskRewards"":{""type"":""integer""},""medusaRewards"":{""type"":""integer""},""unknownRewards"":{""type"":""integer""},""totalRewards"":{""type"":""integer""},""totalKills"":{""type"":""integer""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
5,db_model_cssites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""cstype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean"",""required"":true},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
6,db_model_fgsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""fgtype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
7,db_model_fmsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""extoolID"":{""unique"":true,""min"":1,""type"":""integer""},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""model"":""fmtype""},""frontierID"":{""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
8,db_model_gbmessages,"{""gbsite"":{""model"":""gbsite"",""via"":""gbmessage""},""messageSystem"":{""model"":""system""},""messageBody"":{""model"":""body""},""latitude"":{""default"":"""",""type"":""float"",""required"":true},""longitude"":{""default"":"""",""type"":""float"",""required"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
9,db_model_gbsites,"{""system"":{""model"":""system""},""body"":{""model"":""body""},""siteID"":{""default"":"""",""unique"":true,""min"":1,""type"":""integer"",""required"":true},""gssite"":{""model"":""gssite""},""verified"":{""default"":false,""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""gbmessage"":{""model"":""gbmessage"",""via"":""gbsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
10,db_model_gractivegroups,"{""grSite"":{""model"":""grsite"",""via"":""activeGroups""},""activeGroup"":{""model"":""grobeliskgroup"",""dominant"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
