"id","systemName","edsmID","edsmID64","edsmCoordX","edsmCoordY","edsmCoordZ","edsmCoordLocked","missingSkipCount","created_at","updated_at"
1,"16 H ORIONIS",231315,259008750764,35.5625,-51.75,-167.03125,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
2,"164 G. CANIS MAJORIS",4506329,74337739940,484.125,-31,-311.03125,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
3,"26 TAURI",23376,147339601068,-49.03125,-95.78125,-222.0625,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
4,"2MASS J10433563-5945136",801566,53076813116,8613.09375,-122.53125,2710.09375,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
5,"2MASS J10433739-6005084",985703,23012042044,8597,-168.25,2731.375,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
6,"2MASS J10444160-5947046",187704,115368495739,8614.1875,-116.6875,2733.03125,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
7,"42 N PERSEI",25933,138745472172,-83.5625,-73.40625,-244.34375,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
8,"59 ARIETIS",206405,83718247082,-68.875,-91.21875,-187.25,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
9,"63 TAU-2 ARIETIS",203325,83718181530,-73,-154.78125,-267.5625,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
10,"64 ARIETIS",3944,358663262898,-57.09375,-90.65625,-178.34375,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
11,"64 VIRGINIS",3017663,9900663996,50.5625,197,69.65625,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
12,"65 ARIETIS",203324,628935854419,-70.53125,-150.71875,-264.09375,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
13,"7 TAURI",23399,181695145124,-104.9375,-178.53125,-375.9375,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
14,"70 G. CARINAE",187861,48567936180,442,-136.875,48.6875,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
15,"72 TAURI",121210,31375484068,-33.375,-111.125,-359.71875,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
16,ADENETS,3707,4206954091210,-40.125,65.96875,-35.5625,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
17,AKANDINIGUA,17036,13866167707049,85.65625,-18.15625,-4.5625,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
18,AKHEILOS,5646,7267487589801,-36.15625,69.625,13.21875,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
19,ALAUNUS,23425,18263140345249,-0.65625,-52.28125,-5.96875,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
20,ALCYONE,23427,8752984661,-82.9375,-156.78125,-362.09375,1,,2018-11-13 12:49:12,2018-11-13 12:54:25
