"id","systemName","id64","edsmID","edsmCoordX","edsmCoordY","edsmCoordZ","edsmCoordLocked","missingSkipCount","created_at","updated_at"
1,"16 H ORIONIS",259008750764,231315,35.5625,-51.75,-167.03125,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
2,"164 G. CANIS MAJORIS",74337739940,4506329,484.125,-31,-311.03125,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
3,"26 TAURI",147339601068,23376,-49.03125,-95.78125,-222.0625,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
4,"2MASS J10433563-5945136",53076813116,801566,8613.09375,-122.53125,2710.09375,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
5,"2MASS J10433739-6005084",23012042044,985703,8597,-168.25,2731.375,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
6,"2MASS J10444160-5947046",115368495739,187704,8614.1875,-116.6875,2733.03125,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
7,"42 N PERSEI",138745472172,25933,-83.5625,-73.40625,-244.34375,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
8,"59 ARIETIS",83718247082,206405,-68.875,-91.21875,-187.25,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
9,"63 TAU-2 ARIETIS",83718181530,203325,-73,-154.78125,-267.5625,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
10,"64 ARIETIS",358663262898,3944,-57.09375,-90.65625,-178.34375,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
11,"64 VIRGINIS",9900663996,3017663,50.5625,197,69.65625,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
12,"65 ARIETIS",628935854419,203324,-70.53125,-150.71875,-264.09375,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
13,"7 TAURI",181695145124,23399,-104.9375,-178.53125,-375.9375,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
14,"70 G. CARINAE",48567936180,187861,442,-136.875,48.6875,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
15,"72 TAURI",31375484068,121210,-33.375,-111.125,-359.71875,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
16,AKANDINIGUA,13866167707049,17036,85.65625,-18.15625,-4.5625,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
17,ALAUNUS,18263140345249,23425,-0.65625,-52.28125,-5.96875,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
18,ALCOR,263303726260,6523,-36,71.78125,-15.125,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
19,ALCYONE,8752984661,23427,-82.9375,-156.78125,-362.09375,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
20,ALDEBARAN,3657265320650,23428,1.4375,-22.40625,-62.75,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
21,ALRAI,3657198211794,10746,-38.71875,12.3125,-21.625,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
22,ANOTCHADIAE,2621834283379,16008,72.4375,69.5625,58.40625,1,,2018-12-03 01:58:13,2018-12-03 02:01:34
