id,system,body,siteID,extoolID,type,subtype,latitude,longitude,cycle,comment,verified,visible
1,3151,4278,1,\N,1,3,2.3189,177.2434,3,,0,1
2,2467,3324,2,\N,1,1,-26.3515,-156.4056,4,,0,1
3,3077,4138,3,\N,1,3,21.93,96.98,2,,0,1
4,3077,4138,4,\N,1,1,21.3348,91.9834,1,,0,1
5,3077,4138,5,\N,1,1,19.2477,92.0916,1,,0,1
6,3077,4138,6,\N,1,1,23.16,94.07,1,,0,1
7,3077,4138,7,\N,1,1,20.86,91.68,1,,0,1
8,3077,4138,8,\N,1,6,25.3363,25.5291,2,,0,1
9,3077,4138,9,\N,1,1,-57.8318,107.4311,1,,0,1
10,3077,4139,10,\N,1,3,49.9075,102.7141,3,,0,1
11,3077,4139,11,\N,1,1,49.7519,102.161,1,,0,1
12,3077,4139,12,\N,1,4,49.5347,102.0792,3,,0,1
13,3151,4278,13,\N,1,3,0.8185,176.5622,2,,0,1
14,3077,4138,14,\N,1,1,20.1833,86.7352,3,,0,1
15,3077,4138,15,\N,1,1,21.6104,89.0181,1,,0,1
16,3077,4139,16,\N,1,1,13.0,18.24,1,,0,1
17,3077,4139,17,\N,1,3,49.0665,102.9364,2,,0,1
18,3077,4138,18,\N,1,1,22.8117,94.0667,1,,0,1
19,3077,4139,19,\N,1,3,49.7498,102.1578,2,,0,1
20,3077,4139,20,\N,1,1,59.4,-59.7,1,,0,1
21,3077,4138,21,\N,1,4,2.4138,23.5577,3,,0,1
22,3077,4138,22,\N,1,1,-0.9981,25.85,1,,0,1
23,3077,4138,23,\N,1,1,9.34,22.49,1,,0,1
24,3077,4139,24,\N,1,1,49.98,101.51,1,,0,1
25,3077,4139,25,\N,1,1,-1.86,-45.17,1,,0,1
26,3077,4138,26,\N,1,1,-21.27,-85.61,1,,0,1
27,3151,4278,27,\N,1,3,-6.2472,-173.9321,4,,0,1
28,3077,4138,28,\N,1,7,-8.7979,-13.3657,4,,0,1
29,3077,4139,29,\N,1,1,-17.61,-18.06,1,,0,1
30,3077,4139,30,\N,1,3,-17.95,-17.28,2,,0,1
31,3077,4139,31,\N,1,1,-18.23,-17.35,1,,0,1
32,3077,4139,32,\N,1,1,-28.04,29.51,1,,0,1
33,3077,4139,33,\N,1,1,-2.7,-45.27,1,,0,1
34,3077,4139,34,\N,1,1,-1.85,43.63,1,,0,1
35,3077,4139,35,\N,1,1,13.01,18.25,1,,0,1
36,3077,4139,36,\N,1,1,61.23,-56.02,1,,0,1
37,3077,4139,37,\N,1,1,60.3878,-51.8026,1,,0,1
38,3077,4139,38,\N,1,1,46.6403,-62.9002,1,,0,1
39,3066,4120,39,\N,1,1,-1.254,-164.182,4,,0,1
40,3066,4120,40,\N,1,1,-3.13,-162.2377,1,,0,1
41,3066,4120,41,\N,1,1,-0.7678,-162.5522,1,,0,1
42,3066,4120,42,\N,1,4,-0.5601,-161.9771,4,,0,1
43,3077,4139,43,\N,1,1,49.906,101.5107,1,,0,1
44,3066,4120,44,\N,1,1,-1.6133,-163.5428,4,,0,1
45,3066,4120,45,\N,1,6,-1.4193,-165.1568,4,,0,1
46,3077,4138,46,\N,1,1,-58.6949,-98.2852,1,,0,1
47,3066,4122,47,\N,1,1,5.89,-70.95,1,,0,1
48,3066,4122,48,\N,1,3,3.31,-70.97,3,,0,1
49,3066,4122,49,\N,1,1,4.23,-69.81,1,,0,1
50,3066,4122,50,\N,1,1,28.41,4.8037,1,,0,1
51,3066,4121,51,\N,1,1,-6.51,132.85,1,,0,1
52,3077,4139,52,\N,1,1,28.4218,-34.7203,1,,0,1
53,475,682,53,\N,1,7,45.6905,-88.1535,2,,0,1
54,475,683,54,\N,1,3,-21.6941,23.0779,3,,0,1
55,475,686,55,\N,1,7,-34.46,-44.4367,3,,0,1
56,475,686,56,\N,1,3,-29.4314,-54.3335,4,,0,1
57,475,686,57,\N,1,6,-24.7449,-64.0429,2,,0,1
58,475,686,58,\N,1,6,10.357,-80.2207,3,,0,1
59,479,696,59,\N,1,3,-56.2539,108.491,4,,0,1
60,4517,6193,60,\N,1,6,-16.5359,151.8175,4,,0,1
61,2467,3323,61,\N,1,1,13.4277,-161.5145,4,,0,1
62,479,691,62,\N,1,3,-17.3842,-18.7939,2,,0,1
63,4502,6161,63,\N,1,7,-65.9886,-173.642,4,,0,1
64,3066,4122,64,\N,1,1,42.764,-97.152,1,,0,1
65,3066,4122,65,\N,1,1,42.845,-96.98,1,,0,1
66,472,679,66,\N,1,7,37.9339,-40.4353,4,,0,1
67,472,679,67,\N,1,3,34.832,-40.392,2,,0,1
68,4517,6195,68,\N,1,4,-24.4643,-26.8704,3,,0,1
69,4517,6197,69,\N,1,3,-0.5026,-163.3102,4,,0,1
70,4517,6196,70,\N,1,6,4.0266,-40.0451,4,,0,1
71,472,679,71,\N,1,7,30.5814,-66.2712,4,,0,1
72,472,679,72,\N,1,3,-37.4567,14.9971,4,,0,1
73,472,679,73,\N,1,4,30.6258,-67.1392,3,,0,1
74,2467,3324,74,\N,1,3,8.3379,-96.1337,2,,0,1
75,2467,3324,75,\N,1,3,-28.245,-109.5219,4,,0,1
76,472,679,76,\N,1,3,64.4428,4.7017,4,,0,1
77,4517,6193,77,\N,1,6,-22.9365,176.0601,3,,0,1
78,2467,3324,78,\N,1,4,-28.77,-114.01,3,,0,1
79,479,692,79,\N,1,7,-9.7187,138.7988,4,,0,1
80,475,682,80,\N,1,4,-1.4133,-141.7319,4,,0,1
81,475,684,81,\N,1,3,-11.8843,54.5331,2,,0,1
82,475,685,82,\N,1,3,-27.3231,178.3874,2,,0,1
83,1937,2602,83,\N,1,3,-33.2579,140.347,4,,0,1
84,3066,4122,84,\N,1,1,18.8394,-82.8223,1,,0,1
85,3066,4122,85,\N,1,1,30.182,-54.4523,1,,0,1
86,3066,4122,86,\N,1,1,15.9454,-28.9784,1,,0,1
87,3066,4122,87,\N,1,1,14.6782,-29.5419,1,,0,1
88,3066,4122,88,\N,1,1,15.2147,-31.35,1,,0,1
89,3066,4122,89,\N,1,1,16.947,-82.6808,1,,0,1
90,3066,4121,90,\N,1,1,2.5221,142.879,1,,0,1
91,3066,4121,91,\N,1,7,5.2474,142.8703,3,,0,1
92,3066,4121,92,\N,1,4,0.4332,143.1308,3,,0,1
93,3066,4121,93,\N,1,3,46.6599,-170.3448,3,,0,1
94,3066,4121,94,\N,1,1,0.891,142.0576,1,,0,1
95,3066,4121,95,\N,1,1,-1.7955,141.2449,1,,0,1
96,3124,4224,96,\N,1,3,-27.081,75.1162,2,,0,1
97,3124,4224,97,\N,1,4,-27.1014,74.6003,3,,0,1
