id,cmdrName,systemName,bodyName,coordX,coordY,coordZ,latitude,longitude,entryId,codexName,codexNameLocalised,category,categoryLocalised,subCategory,subCategoryLocalised,regionName,regionLocalised,systemAddress,voucherAmount
1,LCU No Fool Like One,Pleiades Sector FM-V c2-7,Pleiades Sector FM-V c2-7 2 a,-119.84375,-81.65625,-339.0625,15.899976,128.737778,1400414,$Codex_Ent_Gas_Vents_SilicateVapourGeysers_Name;,Silicate Vapour Gas Vent,$Codex_SubCategory_Geology_and_Anomalies;,Geology and anomalies,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
2,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.49393,145.657669,2100102,$Codex_Ent_Thargoid_Barnacle_02_Name;,Large Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,50000
3,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.494431,145.661057,2100101,$Codex_Ent_Thargoid_Barnacle_01_Name;,Common Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
4,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.494431,145.661057,2100101,$Codex_Ent_Thargoid_Barnacle_01_Name;,Common Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
5,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.494431,145.661057,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
6,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.494431,145.661057,2100102,$Codex_Ent_Thargoid_Barnacle_02_Name;,Large Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
7,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.493915,145.660339,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
8,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.493915,145.660339,2100101,$Codex_Ent_Thargoid_Barnacle_01_Name;,Common Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
9,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.493974,145.660629,2100101,$Codex_Ent_Thargoid_Barnacle_01_Name;,Common Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
10,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.493974,145.660629,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
11,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.494019,145.660599,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
12,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.493985,145.660294,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
13,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.495335,145.657745,2100101,$Codex_Ent_Thargoid_Barnacle_01_Name;,Common Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
14,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.495948,145.658539,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
15,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.50461,145.650269,2100103,$Codex_Ent_Thargoid_Barnacle_Spikes_Name;,Thargoid Barnacle Barbs,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
16,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.491319,145.655624,2100102,$Codex_Ent_Thargoid_Barnacle_02_Name;,Large Thargoid Barnacle,$Codex_SubCategory_Organic_Structures;,Organic structures,$Codex_Category_Biology;,Biological and Geological,$Codex_RegionName_18;,Inner Orion Spur,1,
17,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.491549,145.654907,3100402,$Codex_Ent_Basilisk_Name;,Thargoid Interceptor Basilisk,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,
18,LCU No Fool Like One,Pleiades Sector PN-T b3-0,Pleiades Sector PN-T b3-0 A 5,-79.53125,-199.9375,-361.59375,-4.491776,145.655167,3100402,$Codex_Ent_Basilisk_Name;,Thargoid Interceptor Basilisk,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,
19,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.508728,-65.939171,3101100,$Codex_Ent_TG_Pod_Name;,Thargoid Pod,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,2500
20,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.499844,-65.828476,3101100,$Codex_Ent_TG_Pod_Name;,Thargoid Pod,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,
21,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.497509,-65.79953,3100700,$Codex_Ent_Scavengers_Name;,Thargoid Scavengers,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,
22,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.487209,-65.655388,3101100,$Codex_Ent_TG_Pod_Name;,Thargoid Pod,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,
23,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.495621,-65.531128,3101000,$Codex_Ent_TG_DataScan_Name;,Thargoid Uplink Device,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,
24,LCU No Fool Like One,Pleiades Sector JM-W d1-52,Pleiades Sector JM-W d1-52 2 a,-93.78125,-198.84375,-332.5625,-32.484177,-65.506409,3101200,$Codex_Ent_TG_Transmitter_Name;,Thargoid Device,$Codex_SubCategory_Thargoid;,Thargoid objects,$Codex_Category_Civilisations;,Xenological,$Codex_RegionName_18;,Inner Orion Spur,1,
