id,system,body,siteID,extoolID,type,latitude,longitude,verified,visible,discoveredBy
1,2765,3777,1,\N,2,-13.709,34.3969,1,1,322
2,3696,5080,2,\N,2,4.8722,128.8088,1,1,493
3,2289,3147,3,\N,2,-50.8766,175.3827,1,1,493
4,2771,3785,4,\N,2,-42.061,-79.3805,1,1,322
5,2769,3783,5,\N,2,-9.3775,-75.1947,1,1,322
6,2767,3780,6,\N,2,-43.267,68.2011,1,1,322
7,2767,3781,7,\N,2,-69.9112,97.8154,1,1,322
8,2768,3782,8,\N,2,12.9045,109.3144,1,1,322
9,375,548,9,\N,2,-13.6279,-148.7766,1,1,344
10,375,548,10,\N,2,-59.6466,130.9337,1,1,427
11,2766,3778,11,\N,2,1.9019,-60.9316,1,1,322
12,2766,3779,12,\N,2,0.2815,-75.8487,1,1,322
13,2766,3779,13,\N,2,-16.55,-141.6367,1,1,322
14,1087,1501,14,\N,2,10.7936,79.9875,1,1,427
15,2083,2862,15,\N,2,-73.6843,164.7897,1,1,427
16,2199,3022,16,\N,2,13.9306,5.9848,1,1,249
17,952,1332,17,\N,2,-18.8998,49.4421,1,1,230
18,2199,3022,18,\N,2,13.0415,99.9865,1,1,205
19,2199,3022,19,\N,2,-44.4821,171.9865,1,1,292
20,2199,3022,20,\N,2,-13.8095,-131.3961,1,1,292
21,2199,3022,21,\N,2,-11.3156,15.6091,1,1,292
22,952,1332,22,\N,2,11.5158,-8.84,1,1,508
23,952,1331,23,\N,2,-70.8914,143.1835,1,1,508
24,2190,3006,24,\N,2,-5.9594,-118.2169,1,1,212
25,381,554,25,\N,2,19.4404,-124.6436,1,1,213
26,381,554,26,\N,2,23.1932,-116.0616,1,1,213
27,1801,2521,27,\N,2,17.6047,32.7047,1,1,213
28,1801,2522,28,\N,2,6.8672,139.8333,1,1,213
29,1138,1567,29,\N,2,-6.0853,-62.5656,1,1,213
30,2069,2845,30,\N,2,71.7673,-41.9792,1,1,393
31,1842,2569,31,\N,2,-23.2099,135.9896,1,1,393
32,3048,4213,32,\N,2,-17.3761,-60.1998,1,1,230
33,3048,4213,33,\N,2,-2.0678,-178.7905,1,1,230
34,3048,4213,34,\N,2,12.4654,-142.5799,1,1,230
35,3048,4213,35,\N,2,16.3729,-143.2804,1,1,230
36,2083,2863,36,\N,2,-60.376,-11.7457,1,1,289
37,3210,4427,37,\N,2,-1.3513,-60.3494,1,1,279
38,1885,2618,38,\N,2,-42.3776,125.6586,1,1,279
39,1885,2618,39,\N,2,-10.9735,-134.7872,1,1,279
40,2083,2863,40,\N,2,-61.165,-79.2706,1,1,289
41,2081,2858,41,\N,2,-36.6349,93.7778,1,1,230
42,2081,2858,42,\N,2,-11.4648,-96.7664,1,1,230
43,2081,2858,43,\N,2,-2.83,78.1526,1,1,230
44,2081,2859,44,\N,2,27.3618,-14.8182,1,1,230
45,2074,2851,45,\N,2,-69.3813,-176.9407,1,1,279
46,2074,2850,46,\N,2,41.9829,101.1272,1,1,279
47,2074,2850,47,\N,2,-9.523,5.3738,1,1,279
48,2074,2850,48,\N,2,-13.5335,-7.3642,1,1,279
49,2074,2850,49,\N,2,-77.9477,16.3188,1,1,279
50,2074,2850,50,\N,2,-51.0851,125.4308,1,1,279
51,2074,2850,51,\N,2,-41.9068,-158.5541,1,1,279
52,2074,2850,52,\N,2,-27.8367,-158.4781,1,1,279
53,2074,2850,53,\N,2,-38.1728,-106.8573,1,1,279
54,2074,2850,54,\N,2,6.5024,-44.2761,1,1,279
55,2074,2850,55,\N,2,35.25,-150.7452,1,1,279
56,2089,2874,56,\N,2,-75.9401,-178.4657,1,1,279
57,2089,2874,57,\N,2,-36.5685,-120.2589,1,1,279
58,2089,2874,58,\N,2,0.8415,-101.6713,1,1,279
59,2089,2874,59,\N,2,31.9708,-113.6476,1,1,279
60,2089,2874,60,\N,2,-35.9527,-172.9511,1,1,279
61,2089,2874,61,\N,2,2.8112,146.2231,1,1,279
62,2089,2874,62,\N,2,27.9852,108.2625,1,1,279
63,2089,2874,63,\N,2,-6.901,47.8361,1,1,279
64,2450,3351,64,\N,2,-51.5854,-99.3342,1,1,230
65,2450,3351,65,\N,2,-14.7421,53.4134,1,1,230
66,2450,3351,66,\N,2,26.2139,121.7619,1,1,230
67,2452,3353,67,\N,2,-8.765,-168.4151,1,1,230
68,2452,3353,68,\N,2,6.3487,-102.0975,1,1,230
69,1925,2668,69,\N,2,-72.1316,-144.5077,1,1,429
70,3538,4845,70,\N,2,-14.9403,-150.6442,1,1,66
71,2078,2855,71,\N,2,-12.8498,-169.871,1,1,233
72,2078,2855,72,\N,2,11.3695,179.3759,1,1,233
73,2078,2855,73,\N,2,-8.2293,-137.9019,1,1,233
74,2078,2855,74,\N,2,-88.3406,131.7961,1,1,233
75,2078,2855,75,\N,2,-51.8924,23.6091,1,1,233
76,2078,2855,76,\N,2,-28.3329,-6.0706,1,1,233
77,2078,2855,77,\N,2,-5.9898,-40.7525,1,1,233
78,2078,2855,78,\N,2,61.4206,48.1646,1,1,233
79,2078,2855,79,\N,2,75.1039,-158.5656,1,1,233
80,2078,2855,80,\N,2,-4.6657,129.0324,1,1,233
81,990,1381,81,\N,2,-36.9384,16.0668,1,1,497
82,1928,2672,82,\N,2,-47.6556,143.55,1,1,281
83,2222,3049,83,\N,2,43.4679,121.2118,1,1,480
84,2084,2866,84,\N,2,-12.9906,-99.7568,1,1,279
85,2084,2866,85,\N,2,-38.3244,-59.7056,1,1,279
86,2084,2868,86,\N,2,-56.0788,168.337,1,1,279
87,2084,2869,87,\N,2,-63.5048,-34.7122,1,1,279
88,3002,4144,88,\N,2,-14.7885,55.4071,1,1,468
89,3002,4144,89,\N,2,6.6206,95.7003,1,1,468
90,2084,2864,90,\N,2,18.6715,-176.9688,1,1,279
91,2084,2864,91,\N,2,-1.6794,81.718,1,1,279
92,2084,2864,92,\N,2,-48.7323,75.3715,1,1,279
93,2084,2864,93,\N,2,-48.3187,156.6438,1,1,279
94,2084,2864,94,\N,2,-52.9754,-125.4497,1,1,279
95,2084,2864,95,\N,2,-76.9864,-76.6248,1,1,279
96,2084,2864,96,\N,2,-6.1636,-48.6424,1,1,279
97,2084,2864,97,\N,2,-13.1652,-99.8411,1,1,279
98,2084,2865,98,\N,2,-39.6836,-4.2346,1,1,279
99,2084,2865,99,\N,2,-38.7292,-91.7337,1,1,279
100,2091,2876,100,\N,2,-36.8115,86.2049,1,1,424
101,2091,2876,101,\N,2,-65.2383,108.4088,1,1,424
102,908,1282,102,\N,2,-11.0097,-3.5197,1,1,541
103,3047,4212,103,\N,2,-55.2919,-122.3718,1,1,497
104,3047,4210,104,\N,2,23.2308,-95.4471,1,1,497
105,2075,2852,105,\N,2,-9.8809,132.0423,1,1,66
106,2075,2852,106,\N,2,-18.914,121.5147,1,1,66
107,2075,2852,107,\N,2,11.3592,-75.6411,1,1,170
108,890,1255,108,\N,2,12.3094,-89.4305,1,1,511
109,3025,4185,109,\N,2,-14.6397,-32.4079,1,1,233
110,890,1255,110,\N,2,-37.7928,-73.1508,1,1,511
111,3025,4185,111,\N,2,8.1735,14.2371,1,1,233
112,3025,4185,112,\N,2,39.1279,-30.5445,1,1,233
113,3025,4185,113,\N,2,23.4181,-77.3751,1,1,233
114,3025,4185,114,\N,2,4.7487,-135.3209,1,1,233
115,3025,4185,115,\N,2,-25.6116,-130.7451,1,1,233
116,3025,4185,116,\N,2,-62.666,-156.2678,1,1,233
117,3025,4185,117,\N,2,-55.8093,136.3324,1,1,233
118,3025,4185,118,\N,2,-11.1624,168.4379,1,1,233
119,3025,4184,119,\N,2,15.1833,-4.7296,1,1,233
120,890,1255,120,\N,2,5.4821,-26.5706,1,1,511
121,3025,4184,121,\N,2,23.4667,-54.5183,1,1,233
122,3025,4184,122,\N,2,28.2345,-52.2764,1,1,233
123,3027,4187,123,\N,2,18.4666,21.1133,1,1,233
124,3027,4187,124,\N,2,33.8913,-14.2264,1,1,233
125,3828,5245,125,\N,2,-34.8888,133.2198,1,1,511
126,3828,5245,126,\N,2,-44.9928,-143.2954,1,1,511
127,3828,5245,127,\N,2,-22.4556,120.302,1,1,511
128,3040,4201,128,\N,2,9.3473,-93.2525,1,1,279
129,3039,4200,129,\N,2,-29.6329,171.0375,1,1,233
130,3037,4198,130,\N,2,5.2068,-85.28,1,1,233
131,3037,4198,131,\N,2,5.2768,-6.1781,1,1,233
132,3037,4198,132,\N,2,-33.1598,-70.7727,1,1,233
133,3037,4198,133,\N,2,-44.0868,-90.5762,1,1,233
134,1044,1457,134,\N,2,-15.8588,-150.9644,1,1,38
135,1044,1457,135,\N,2,16.3989,-149.8391,1,1,38
136,1044,1457,136,\N,2,69.371,-159.237,1,1,38
137,1044,1458,137,\N,2,25.9954,73.621,1,1,38
138,901,1266,138,\N,2,-25.8477,-11.656,1,1,66
139,1792,2510,139,\N,2,6.0399,-9.8177,1,1,66
140,1792,2510,140,\N,2,47.4141,-44.2379,1,1,66
141,3822,5239,141,\N,2,-72.3969,7.3349,1,1,66
142,2075,2852,142,\N,2,0.1826,34.0313,1,1,212
143,382,555,143,\N,2,19.7647,-129.3701,1,1,541
144,1931,2675,144,\N,2,14.6545,98.0384,1,1,378
145,1890,2623,145,\N,2,63.5183,173.4162,1,1,541
146,1891,2624,146,\N,2,-28.1094,140.8634,1,1,511
147,1891,2624,147,\N,2,71.7864,118.3624,1,1,511
148,1891,2624,148,\N,2,51.6098,-122.8076,1,1,511
149,1891,2624,149,\N,2,-13.5246,-28.9059,1,1,511
150,1891,2624,150,\N,2,-43.3255,111.9409,1,1,511
151,1891,2625,151,\N,2,-55.4119,65.4895,1,1,511
152,1891,2625,152,\N,2,11.2482,-50.5167,1,1,511
153,3213,4430,153,\N,2,7.324,162.1549,1,1,511
154,3213,4430,154,\N,2,-14.1315,96.5708,1,1,511
155,1886,2619,155,\N,2,-44.1277,-94.8485,1,1,245
156,2075,2852,156,\N,2,7.3409,14.916,1,1,332
157,1802,2523,157,\N,2,-19.7718,69.9955,1,1,378
158,951,1330,158,\N,2,-81.6436,2.1923,1,1,183
159,951,1330,159,\N,2,-57.7374,89.8446,1,1,183
