id,type
1,Alcatraz Class Prison Ship
2,Aquarius Class Tanker
3,Banner Class Bulk Cargo Ship
4,Beckett Class Researcher
5,Bellmarsh Class Prison Ship
6,Bowman Class Science Vessel
7,Demeter Class Agricultural Vessel
8,Dionysus Class Agricultural Vessel
9,Freedom Class Surveyor
10,Gordon Class Bulk Cargo Ship
11,Henry Class Bulk Cargo Ship
12,Hercules Class Bulk Cargo Ship
13,Hogan Class Bulk Cargo Ship
14,James Class Bulk Cargo Ship
15,Lowell Class Science Vessel
16,Megaship
17,Naphtha Class Tanker
18,Riker Class Prison Ship
19,Sagan Class Tourist Ship
20,Samson Class Bulk Cargo Ship
21,Sanchez Class Science Vessel
22,Survey Vessel
23,Thomas Class Bulk Cargo Ship
24,Unknown
