id,upload_file_id,related_id,related_type,field
1,1,1,genlogs,audio
2,2,2,genlogs,audio
3,3,3,genlogs,audio
4,4,4,genlogs,audio
5,5,5,genlogs,audio
6,6,6,genlogs,audio
7,7,7,genlogs,audio
8,8,8,genlogs,audio
9,9,9,genlogs,audio
10,10,10,genlogs,audio
11,11,11,genlogs,audio
12,12,12,genlogs,audio
13,13,13,genlogs,audio
14,14,14,genlogs,audio
15,15,15,genlogs,audio
16,16,16,genlogs,audio
17,17,17,genlogs,audio
18,18,18,genlogs,audio
19,19,19,genlogs,audio
20,20,20,genlogs,audio
21,21,21,genlogs,audio
22,22,22,genlogs,audio
23,23,23,genlogs,audio
24,24,24,genlogs,audio
25,25,25,genlogs,audio
26,26,26,genlogs,audio
27,27,27,genlogs,audio
28,28,28,genlogs,audio
29,29,29,genlogs,audio
30,30,30,genlogs,audio
31,31,31,genlogs,audio
32,32,32,genlogs,audio
33,33,33,genlogs,audio
34,34,34,genlogs,audio
35,35,35,genlogs,audio
36,36,36,genlogs,audio
37,37,37,genlogs,audio
38,38,38,genlogs,audio
39,39,39,genlogs,audio
40,40,40,genlogs,audio
41,41,41,genlogs,audio
42,42,46,genlogs,audio
43,43,47,genlogs,audio
44,44,48,genlogs,audio
45,45,49,genlogs,audio
46,46,50,genlogs,audio
47,47,51,genlogs,audio
48,48,52,genlogs,audio
49,49,53,genlogs,audio
50,50,54,genlogs,audio
51,51,55,genlogs,audio
52,52,56,genlogs,audio
53,53,57,genlogs,audio
54,54,58,genlogs,audio
55,55,59,genlogs,audio
56,56,60,genlogs,audio
57,57,61,genlogs,audio
58,58,62,genlogs,audio
59,59,63,genlogs,audio
60,60,64,genlogs,audio
61,61,65,genlogs,audio
62,62,1,gscodexdata,audio
63,63,2,gscodexdata,audio
64,64,3,gscodexdata,audio
65,65,4,gscodexdata,audio
66,66,5,gscodexdata,audio
67,67,6,gscodexdata,audio
68,68,7,gscodexdata,audio
69,69,8,gscodexdata,audio
70,70,9,gscodexdata,audio
71,71,10,gscodexdata,audio
72,72,11,gscodexdata,audio
73,73,12,gscodexdata,audio
74,74,13,gscodexdata,audio
75,75,14,gscodexdata,audio
76,76,15,gscodexdata,audio
77,77,16,gscodexdata,audio
78,78,17,gscodexdata,audio
79,79,18,gscodexdata,audio
80,80,19,gscodexdata,audio
81,81,20,gscodexdata,audio
82,82,21,gscodexdata,audio
83,83,22,gscodexdata,audio
84,84,23,gscodexdata,audio
85,85,24,gscodexdata,audio
86,86,25,gscodexdata,audio
87,87,26,gscodexdata,audio
88,88,27,gscodexdata,audio
89,89,28,gscodexdata,audio
90,90,42,genlogs,audio
91,91,43,genlogs,audio
92,92,44,genlogs,audio
93,93,45,genlogs,audio
