id,type,controller,action,enabled,policy,role
1,application,bmreport,count,1,,1
2,application,bmreport,count,1,,2
3,application,bmreport,count,1,,3
4,application,bmreport,count,1,,4
5,application,bmsite,count,1,,1
6,application,bmsite,count,1,,2
7,application,bmsite,count,1,,3
8,application,bmsite,count,1,,4
9,application,body,count,1,,1
10,application,body,count,1,,2
11,application,body,count,1,,3
12,application,body,count,1,,4
13,application,btreport,count,1,,1
14,application,btreport,count,1,,2
15,application,btreport,count,1,,3
16,application,btreport,count,1,,4
17,application,btsite,count,1,,1
18,application,btsite,count,1,,2
19,application,btsite,count,1,,3
20,application,btsite,count,1,,4
21,application,cmdr,count,1,,1
22,application,cmdr,count,1,,2
23,application,cmdr,count,1,,3
24,application,cmdr,count,1,,4
25,application,factionkillreport,count,1,,1
26,application,factionkillreport,count,1,,2
27,application,factionkillreport,count,1,,3
28,application,factionkillreport,count,1,,4
29,application,fgreport,count,1,,1
30,application,fgreport,count,1,,2
31,application,fgreport,count,1,,3
32,application,fgreport,count,1,,4
33,application,fgsite,count,1,,1
34,application,fgsite,count,1,,2
35,application,fgsite,count,1,,3
36,application,fgsite,count,1,,4
37,application,fmreport,count,1,,1
38,application,fmreport,count,1,,2
39,application,fmreport,count,1,,3
40,application,fmreport,count,1,,4
41,application,fmsite,count,1,,1
42,application,fmsite,count,1,,2
43,application,fmsite,count,1,,3
44,application,fmsite,count,1,,4
45,application,fmtype,count,1,,1
46,application,fmtype,count,1,,2
47,application,fmtype,count,1,,3
48,application,fmtype,count,1,,4
49,application,gbmessage,count,1,,1
50,application,gbmessage,count,1,,2
51,application,gbmessage,count,1,,3
52,application,gbmessage,count,1,,4
53,application,gbreport,count,1,,1
54,application,gbreport,count,1,,2
55,application,gbreport,count,1,,3
56,application,gbreport,count,1,,4
57,application,gbsite,count,1,,1
58,application,gbsite,count,1,,2
59,application,gbsite,count,1,,3
60,application,gbsite,count,1,,4
61,application,genreport,count,1,,1
62,application,genreport,count,1,,2
63,application,genreport,count,1,,3
64,application,genreport,count,1,,4
65,application,gensite,count,1,,1
66,application,gensite,count,1,,2
67,application,gensite,count,1,,3
68,application,gensite,count,1,,4
69,application,gractivegroup,count,1,,1
70,application,gractivegroup,count,1,,2
71,application,gractivegroup,count,1,,3
72,application,gractivegroup,count,1,,4
73,application,gractiveobelisk,count,1,,1
74,application,gractiveobelisk,count,1,,2
75,application,gractiveobelisk,count,1,,3
76,application,gractiveobelisk,count,1,,4
77,application,grartifact,count,1,,1
78,application,grartifact,count,1,,2
79,application,grartifact,count,1,,3
80,application,grartifact,count,1,,4
81,application,grcodexcategory,count,1,,1
82,application,grcodexcategory,count,1,,2
83,application,grcodexcategory,count,1,,3
84,application,grcodexcategory,count,1,,4
85,application,grcodexdata,count,1,,1
86,application,grcodexdata,count,1,,2
87,application,grcodexdata,count,1,,3
88,application,grcodexdata,count,1,,4
89,application,grobelisk,count,1,,1
90,application,grobelisk,count,1,,2
91,application,grobelisk,count,1,,3
92,application,grobelisk,count,1,,4
