id,type,controller,action,enabled,policy,role
1,application,bmreport,count,1,,1
2,application,bmsite,count,1,,1
3,application,body,count,1,,1
4,application,btreport,count,1,,1
5,application,btsite,count,1,,1
6,application,cmdr,count,1,,1
7,application,factionkillreport,count,1,,1
8,application,fgreport,count,1,,1
9,application,fgsite,count,1,,1
10,application,fmreport,count,1,,1
11,application,fmsite,count,1,,1
12,application,fmtype,count,1,,1
13,application,genreport,count,1,,1
14,application,gensite,count,1,,1
15,application,gractivegroup,count,1,,1
16,application,gractiveobelisk,count,1,,1
17,application,grartifact,count,1,,1
18,application,grcodexcategory,count,1,,1
19,application,grcodexdata,count,1,,1
20,application,grobelisk,count,1,,1
21,application,grobeliskgroup,count,1,,1
22,application,grobeliskgroupreport,count,1,,1
23,application,grobeliskreport,count,1,,1
24,application,grreport,count,1,,1
25,application,grsite,count,1,,1
26,application,grtype,count,1,,1
27,application,gsactivegroup,count,1,,1
28,application,gsactiveobelisk,count,1,,1
29,application,gsartifact,count,1,,1
30,application,gscodexcategory,count,1,,1
31,application,gscodexdata,count,1,,1
32,application,gsobelisk,count,1,,1
33,application,gsobeliskgroup,count,1,,1
34,application,gsobeliskgroupreport,count,1,,1
35,application,gsobeliskreport,count,1,,1
36,application,gsreport,count,1,,1
37,application,gssite,count,1,,1
38,application,gstype,count,1,,1
39,application,gyreport,count,1,,1
40,application,gysite,count,1,,1
41,application,gytype,count,1,,1
42,application,hdreport,count,1,,1
43,application,hdsite,count,1,,1
44,application,journaldata,count,1,,1
45,application,lsreport,count,1,,1
46,application,lssite,count,1,,1
47,application,msreport,count,1,,1
48,application,mssite,count,1,,1
49,application,mstype,count,1,,1
50,application,nhsstopcmdrsbykill,count,1,,1
51,application,ring,count,1,,1
52,application,ringtype,count,1,,1
53,application,system,count,1,,1
54,application,tbcycle,count,1,,1
55,application,tbdefense,count,1,,1
56,application,tbreport,count,1,,1
57,application,tbsite,count,1,,1
58,application,tbtype,count,1,,1
59,application,tsreport,count,1,,1
60,application,tssite,count,1,,1
61,application,tsstatus,count,1,,1
62,application,twreport,count,1,,1
63,application,twsite,count,1,,1
64,application,ussreport,count,1,,1
65,application,usssite,count,1,,1
66,application,usstype,count,1,,1
67,application,bmreport,count,1,,2
68,application,bmsite,count,1,,2
69,application,body,count,1,,2
70,application,btreport,count,1,,2
71,application,btsite,count,1,,2
72,application,cmdr,count,1,,2
73,application,factionkillreport,count,1,,2
74,application,fgreport,count,1,,2
75,application,fgsite,count,1,,2
76,application,fmreport,count,1,,2
77,application,fmsite,count,1,,2
78,application,fmtype,count,1,,2
79,application,genreport,count,1,,2
80,application,gensite,count,1,,2
81,application,gractivegroup,count,1,,2
82,application,gractiveobelisk,count,1,,2
83,application,grartifact,count,1,,2
84,application,grcodexcategory,count,1,,2
85,application,grcodexdata,count,1,,2
86,application,grobelisk,count,1,,2
87,application,grobeliskgroup,count,1,,2
88,application,grobeliskgroupreport,count,1,,2
89,application,grobeliskreport,count,1,,2
90,application,grreport,count,1,,2
91,application,grsite,count,1,,2
92,application,grtype,count,1,,2
93,application,gsactivegroup,count,1,,2
94,application,gsactiveobelisk,count,1,,2
95,application,gsartifact,count,1,,2
96,application,gscodexcategory,count,1,,2
97,application,gscodexdata,count,1,,2
98,application,gsobelisk,count,1,,2
99,application,gsobeliskgroup,count,1,,2
100,application,gsobeliskgroupreport,count,1,,2
101,application,gsobeliskreport,count,1,,2
102,application,gsreport,count,1,,2
103,application,gssite,count,1,,2
104,application,gstype,count,1,,2
105,application,gyreport,count,1,,2
106,application,gysite,count,1,,2
107,application,gytype,count,1,,2
108,application,hdreport,count,1,,2
109,application,hdsite,count,1,,2
110,application,journaldata,count,1,,2
111,application,lsreport,count,1,,2
112,application,lssite,count,1,,2
113,application,msreport,count,1,,2
114,application,mssite,count,1,,2
115,application,mstype,count,1,,2
116,application,nhsstopcmdrsbykill,count,1,,2
117,application,ring,count,1,,2
118,application,ringtype,count,1,,2
119,application,system,count,1,,2
120,application,tbcycle,count,1,,2
121,application,tbdefense,count,1,,2
122,application,tbreport,count,1,,2
123,application,tbsite,count,1,,2
124,application,tbtype,count,1,,2
125,application,tsreport,count,1,,2
126,application,tssite,count,1,,2
127,application,tsstatus,count,1,,2
128,application,twreport,count,1,,2
129,application,twsite,count,1,,2
130,application,ussreport,count,1,,2
131,application,usssite,count,1,,2
132,application,usstype,count,1,,2
133,application,bmreport,count,1,,3
134,application,bmsite,count,1,,3
135,application,body,count,1,,3
136,application,btreport,count,1,,3
137,application,btsite,count,1,,3
138,application,cmdr,count,1,,3
139,application,factionkillreport,count,1,,3
140,application,fgreport,count,1,,3
141,application,fgsite,count,1,,3
142,application,fmreport,count,1,,3
143,application,fmsite,count,1,,3
144,application,fmtype,count,1,,3
145,application,genreport,count,1,,3
146,application,gensite,count,1,,3
147,application,gractivegroup,count,1,,3
148,application,gractiveobelisk,count,1,,3
149,application,grartifact,count,1,,3
150,application,grcodexcategory,count,1,,3
151,application,grcodexdata,count,1,,3
152,application,grobelisk,count,1,,3
153,application,grobeliskgroup,count,1,,3
154,application,grobeliskgroupreport,count,1,,3
155,application,grobeliskreport,count,1,,3
156,application,grreport,count,1,,3
157,application,grsite,count,1,,3
158,application,grtype,count,1,,3
159,application,gsactivegroup,count,1,,3
160,application,gsactiveobelisk,count,1,,3
161,application,gsartifact,count,1,,3
162,application,gscodexcategory,count,1,,3
163,application,gscodexdata,count,1,,3
164,application,gsobelisk,count,1,,3
165,application,gsobeliskgroup,count,1,,3
166,application,gsobeliskgroupreport,count,1,,3
167,application,gsobeliskreport,count,1,,3
168,application,gsreport,count,1,,3
169,application,gssite,count,1,,3
170,application,gstype,count,1,,3
171,application,gyreport,count,1,,3
172,application,gysite,count,1,,3
173,application,gytype,count,1,,3
174,application,hdreport,count,1,,3
175,application,hdsite,count,1,,3
176,application,journaldata,count,1,,3
177,application,lsreport,count,1,,3
178,application,lssite,count,1,,3
179,application,msreport,count,1,,3
180,application,mssite,count,1,,3
181,application,mstype,count,1,,3
182,application,nhsstopcmdrsbykill,count,1,,3
183,application,ring,count,1,,3
184,application,ringtype,count,1,,3
185,application,system,count,1,,3
186,application,tbcycle,count,1,,3
187,application,tbdefense,count,1,,3
188,application,tbreport,count,1,,3
189,application,tbsite,count,1,,3
190,application,tbtype,count,1,,3
191,application,tsreport,count,1,,3
192,application,tssite,count,1,,3
193,application,tsstatus,count,1,,3
194,application,twreport,count,1,,3
195,application,twsite,count,1,,3
196,application,ussreport,count,1,,3
197,application,usssite,count,1,,3
198,application,usstype,count,1,,3
199,application,bmreport,count,1,,4
200,application,bmsite,count,1,,4
201,application,body,count,1,,4
202,application,btreport,count,1,,4
203,application,btsite,count,1,,4
204,application,cmdr,count,1,,4
205,application,factionkillreport,count,1,,4
206,application,fgreport,count,1,,4
207,application,fgsite,count,1,,4
