"id","key","value","type","environment","tag"
1,core_application,"{""name"":""CAPIv2"",""description"":""Canonn APIv2""}",object,,
2,db_model_bmreports,"{""systemName"":{""type"":""string"",""required"":true},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""enum"":[""pending"",""updated"",""accepted"",""declined"",""issue""],""type"":""enumeration"",""required"":true},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""type"":""boolean""},""site"":{""model"":""bmsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
3,db_model_bmsites,"{""location"":{""model"":""location"",""via"":""bmSite""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
4,db_model_bodies,"{""system"":{""model"":""system"",""via"":""bodies""},""bodyName"":{""type"":""string"",""required"":true},""edsmID"":{""type"":""float""},""edsmID64"":{""type"":""float""},""bodyType"":{""model"":""bodytype""},""bodySubtype"":{""model"":""bodysubtype""},""edsmOffset"":{""type"":""integer""},""edsmDistanceToArrival"":{""type"":""float""},""edsmIsMainStar"":{""type"":""boolean""},""edsmIsScoopable"":{""type"":""boolean""},""edsmIsLandable"":{""type"":""boolean""},""edsmAge"":{""type"":""integer""},""edsmLuminosity"":{""type"":""string""},""edsmAbsoluteMagnitude"":{""type"":""float""},""edsmSolarMasses"":{""type"":""float""},""edsmSolarRadius"":{""type"":""float""},""edsmGravity"":{""type"":""float""},""edsmEarthMasses"":{""type"":""float""},""edsmRadius"":{""type"":""float""},""edsmSurfaceTemperature"":{""type"":""float""},""edsmVolcanismType"":{""type"":""string""},""edsmAtmosphereType"":{""type"":""string""},""bodyAtmosphere"":{""model"":""bodyatmosphere"",""via"":""body""},""bodyMaterial"":{""model"":""bodymaterial"",""via"":""body""},""edsmTerraformingState"":{""type"":""string""},""edsmOrbitalPeriod"":{""type"":""float""},""edsmSemiMajorAxis"":{""type"":""float""},""edsmOrbitalEccentricity"":{""type"":""float""},""edsmOrbitalInclination"":{""type"":""float""},""edsmArgOfPeriapsis"":{""type"":""float""},""edsmRotationalPeriod"":{""type"":""float""},""edsmRotationalPeriodTidallyLocked"":{""type"":""boolean""},""edsmAxialTilt"":{""type"":""float""},""rings"":{""collection"":""ring"",""via"":""body"",""dominant"":true,""isVirtual"":true},""bodyLocations"":{""collection"":""location"",""via"":""body"",""dominant"":true,""isVirtual"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
5,db_model_bodyatmospheres,"{""body"":{""model"":""body"",""via"":""bodyAtmosphere""},""argon"":{""type"":""float""},""ammonia"":{""type"":""float""},""carbonDioxide"":{""type"":""float""},""hydrogen"":{""type"":""float""},""helium"":{""type"":""float""},""iron"":{""type"":""float""},""neon"":{""type"":""float""},""methane"":{""type"":""float""},""nitrogen"":{""type"":""float""},""oxygen"":{""type"":""float""},""silicates"":{""type"":""float""},""sulphurDioxide"":{""type"":""float""},""water"":{""type"":""float""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
6,db_model_bodymaterials,"{""body"":{""model"":""body"",""via"":""bodyMaterial""},""antimony"":{""type"":""float""},""arsenic"":{""type"":""float""},""boron"":{""type"":""float""},""cadmium"":{""type"":""float""},""carbon"":{""type"":""float""},""chromium"":{""type"":""float""},""germanium"":{""type"":""float""},""iron"":{""type"":""float""},""lead"":{""type"":""float""},""manganese"":{""type"":""float""},""mercury"":{""type"":""float""},""molybdenum"":{""type"":""float""},""nickel"":{""type"":""float""},""niobium"":{""type"":""float""},""phosphorus"":{""type"":""float""},""polonium"":{""type"":""float""},""rhenium"":{""type"":""float""},""ruthenium"":{""type"":""float""},""selenium"":{""type"":""float""},""sulphur"":{""type"":""float""},""technetium"":{""type"":""float""},""tellurium"":{""type"":""float""},""tin"":{""type"":""float""},""tungsten"":{""type"":""float""},""vanadium"":{""type"":""float""},""yttrium"":{""type"":""float""},""zinc"":{""type"":""float""},""zirconium"":{""type"":""float""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
7,db_model_bodysubtypes,"{""subtype"":{""unique"":true,""type"":""string"",""required"":true}}",object,NULL,NULL
8,db_model_bodytypes,"{""type"":{""unique"":true,""type"":""string"",""required"":true}}",object,NULL,NULL
9,db_model_btreports,"{""systemName"":{""type"":""string"",""required"":true},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""enum"":[""pending"",""updated"",""accepted"",""declined"",""issue""],""type"":""enumeration"",""required"":true},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""type"":""boolean""},""site"":{""model"":""btsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
10,db_model_btsites,"{""location"":{""model"":""location"",""via"":""btSite""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
11,db_model_cmdrs,"{""cmdrName"":{""unique"":true,""type"":""string"",""required"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
12,db_model_core_store,"{""key"":{""type"":""string""},""value"":{""type"":""text""},""type"":{""type"":""string""},""environment"":{""type"":""string""},""tag"":{""type"":""string""}}",object,NULL,NULL
13,db_model_fgreports,"{""systemName"":{""type"":""string"",""required"":true},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""enum"":[""pending"",""updated"",""accepted"",""declined"",""issue""],""type"":""enumeration"",""required"":true},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""type"":""boolean""},""site"":{""model"":""fgsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
14,db_model_fgsites,"{""location"":{""model"":""location"",""via"":""fgSite""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
15,db_model_fmreports,"{""systemName"":{""type"":""string"",""required"":true},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""type"":{""type"":""string""},""count"":{""min"":1,""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""enum"":[""pending"",""updated"",""accepted"",""declined"",""issue""],""type"":""enumeration"",""required"":true},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""type"":""boolean""},""site"":{""model"":""fmsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
16,db_model_fmsites,"{""location"":{""model"":""location"",""via"":""fmSite""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""latitude"":{""type"":""float"",""required"":true},""longitude"":{""type"":""float"",""required"":true},""count"":{""min"":1,""type"":""integer""},""type"":{""model"":""fmtype""},""verified"":{""type"":""boolean""},""visible"":{""default"":true,""type"":""boolean""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
17,db_model_fmtypes,"{""type"":{""unique"":true,""type"":""string"",""required"":true}}",object,NULL,NULL
18,db_model_genreports,"{""systemName"":{""type"":""string"",""required"":true},""orbitBody"":{""type"":""string""},""shipName"":{""type"":""string"",""required"":true},""directionSystem"":{""type"":""string""},""distance"":{""type"":""float""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""enum"":[""pending"",""updated"",""accepted"",""declined"",""issue""],""type"":""enumeration"",""required"":true},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""type"":""boolean""},""site"":{""model"":""gensite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
19,db_model_gensites,"{""location"":{""model"":""location"",""via"":""genSite""},""siteID"":{""unique"":true,""min"":1,""type"":""integer"",""required"":true},""shipName"":{""unique"":true,""type"":""string"",""required"":true},""directionSystem"":{""model"":""system""},""distance"":{""type"":""float""},""discoveredBy"":{""model"":""cmdr""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
20,db_model_gractivegroups,"{""grSite"":{""model"":""grsite"",""via"":""activeGroups""},""activeGroup"":{""model"":""grobeliskgroup"",""dominant"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
21,db_model_gractiveobelisks,"{""grSite"":{""model"":""grsite"",""via"":""activeObelisks""},""activeObelisk"":{""model"":""grobelisk""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
22,db_model_grartifacts,"{""artifactName"":{""unique"":true,""type"":""string"",""required"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
23,db_model_grcodexcategories,"{""categoryName"":{""type"":""string""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
24,db_model_grcodexdata,"{""grCodexCategory"":{""model"":""grcodexcategory""},""grPrimaryArtifact"":{""model"":""grartifact""},""grSecondaryArtifact"":{""model"":""grartifact""},""codexNumber"":{""min"":1,""type"":""integer"",""required"":true},""text"":{""unique"":true,""type"":""text"",""required"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
25,db_model_grobeliskgroup,"{""grType"":{""model"":""grtype""},""groupName"":{""type"":""string"",""required"":true},""amount"":{""min"":1,""type"":""integer"",""required"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,NULL,NULL
26,db_model_grobeliskgroupreports,"{""grreport"":{""model"":""grreport"",""via"":""grobeliskgroupreport""},""grobeliskgroup"":{""model"":""grobeliskgroup""}}",object,NULL,NULL
27,db_model_grobeliskreports,"{""grreport"":{""model"":""grreport"",""via"":""grobeliskreport""},""grobelisk"":{""model"":""grobelisk""}}",object,NULL,NULL
