id,subtype
1,O (Blue-White) Star
2,B (Blue-White) Star
3,A (Blue-White) Star
4,A (Blue-White super giant) Star
5,F (White) Star
6,F (White super giant) Star
7,G (White-Yellow) Star
8,K (Yellow-Orange) Star
9,K (Yellow-Orange giant) Star
10,M (Red dwarf) Star
11,M (Red giant) Star
12,M (Red super giant) Star
13,L (Brown dwarf) Star
14,T (Brown dwarf) Star
15,Y (Brown dwarf) Star
16,T Tauri Star
17,Herbig Ae/Be Star
18,Wolf-Rayet Star
19,Wolf-Rayet N Star
20,Wolf-Rayet NC Star
21,Wolf-Rayet C Star
22,Wolf-Rayet O Star
23,CS Star
24,C Star
25,CN Star
26,CJ Star
27,CH Star
28,CHd Star
29,MS-type Star
30,S-type Star
31,White Dwarf (D) Star
32,White Dwarf (DA) Star
33,White Dwarf (DAB) Star
34,White Dwarf (DAO) Star
35,White Dwarf (DAZ) Star
36,White Dwarf (DAV) Star
37,White Dwarf (DB) Star
38,White Dwarf (DBZ) Star
39,White Dwarf (DBV) Star
40,White Dwarf (DO) Star
41,White Dwarf (DOV) Star
42,White Dwarf (DQ) Star
43,White Dwarf (DC) Star
44,White Dwarf (DCV) Star
45,White Dwarf (DX) Star
46,Neutron Star
47,Black Hole
48,Supermassive Black Hole
49,X
50,RoguePlanet
51,Nebula
52,StellarRemnantNebula
53,Metal-rich body
54,High metal content world
55,Rocky body
56,Rocky Ice world
57,Icy body
58,Earth-like world
59,Water world
60,Water giant
61,Water giant with life
62,Ammonia world
63,Gas giant with water-based life
64,Gas giant with ammonia-based life
65,Class I gas giant
66,Class II gas giant
67,Class III gas giant
68,Class IV gas giant
69,Class V gas giant
70,Helium-rich gas giant
71,Helium gas giant
