id,grType,grObeliskGroup,obeliskNumber,broken,grCodexData,verified
1,1,1,1,0,61,0
2,1,1,2,0,61,0
3,1,1,3,0,66,0
4,1,1,4,0,67,0
5,1,1,5,0,1,0
6,1,1,6,0,2,1
7,1,1,7,0,3,0
8,1,1,8,0,4,0
9,1,1,9,0,20,0
10,1,1,10,0,21,0
11,1,1,11,0,22,0
12,1,1,12,0,23,0
13,1,1,13,0,40,0
14,1,1,14,0,41,1
15,1,1,15,0,42,0
16,1,1,16,0,43,0
17,1,1,17,0,82,0
18,1,1,18,0,83,0
19,1,1,19,0,84,0
20,1,1,20,0,85,0
21,1,2,1,0,22,0
22,1,2,2,0,21,0
23,1,2,3,0,20,0
24,1,2,4,0,22,0
25,1,2,5,0,21,0
26,1,2,6,0,20,1
27,1,2,7,0,25,0
28,1,2,8,1,NULL,0
29,1,2,9,0,23,0
30,1,2,10,1,NULL,0
31,1,2,11,1,NULL,0
32,1,2,12,0,23,1
33,1,2,13,1,NULL,0
34,1,2,14,0,24,0
35,1,2,15,0,23,0
36,1,2,16,0,22,0
37,1,2,17,0,21,0
38,1,2,18,0,20,1
39,1,2,19,0,22,0
40,1,2,20,0,21,1
41,1,2,21,0,20,0
42,1,3,1,0,23,1
43,1,3,2,0,23,0
44,1,3,3,0,22,1
45,1,3,4,0,22,0
46,1,3,5,1,NULL,0
47,1,3,6,0,24,1
48,1,3,7,0,24,1
49,1,3,8,0,21,1
50,1,3,9,1,NULL,0
51,1,3,10,1,NULL,0
52,1,3,11,0,25,0
53,1,3,12,0,25,0
54,1,3,13,0,20,1
55,1,3,14,1,NULL,0
56,1,4,1,0,25,1
57,1,4,2,0,24,0
58,1,4,3,0,85,0
59,1,4,4,0,84,0
60,1,4,5,1,NULL,0
61,1,4,6,0,25,1
62,1,4,7,0,24,0
63,1,4,8,0,86,0
64,1,4,9,1,NULL,0
65,1,4,10,1,NULL,0
66,1,4,11,0,25,0
67,1,4,12,0,24,0
68,1,4,13,0,87,0
69,1,4,14,1,NULL,0
70,1,5,1,0,42,0
71,1,5,2,0,43,0
72,1,5,3,0,44,0
73,1,5,4,0,46,0
74,1,5,5,0,45,0
75,1,5,6,0,46,0
76,1,5,7,0,45,0
77,1,5,8,0,41,0
78,1,5,9,0,40,0
79,1,5,10,1,NULL,0
80,1,6,1,0,1,0
81,1,6,2,1,NULL,0
82,1,6,3,0,1,0
83,1,6,4,0,1,0
84,1,6,5,0,2,0
85,1,6,6,0,2,0
86,1,6,7,0,2,0
87,1,6,8,0,2,1
88,1,6,9,0,3,0
89,1,6,10,0,3,0
90,1,6,11,0,NULL,0
91,1,6,12,0,4,1
92,1,6,13,0,3,1
93,1,6,14,0,3,0
94,1,6,15,0,4,0
95,1,6,16,0,NULL,0
96,1,6,17,0,6,0
97,1,6,18,0,6,0
98,1,6,19,0,5,1
99,1,6,20,0,6,0
100,1,6,21,0,6,1
101,1,6,22,0,5,0
102,1,7,1,0,41,0
103,1,7,2,0,42,1
104,1,7,3,0,44,1
105,1,7,4,1,NULL,0
106,1,8,1,0,43,0
107,1,8,2,1,NULL,0
108,1,8,3,0,42,1
109,1,8,4,0,41,0
110,1,8,5,0,40,0
111,1,8,6,1,NULL,0
112,1,8,7,1,NULL,0
113,1,8,8,1,NULL,0
114,1,8,9,1,NULL,0
115,1,9,1,0,1,1
116,1,9,2,1,NULL,0
117,1,9,3,0,1,0
118,1,9,4,0,1,0
119,1,9,5,0,2,0
120,1,9,6,0,3,1
121,1,9,7,0,3,1
122,1,9,8,0,2,0
123,1,9,9,0,5,1
124,1,9,10,0,4,1
125,1,9,11,0,4,0
126,1,9,12,0,6,1
127,1,9,13,0,5,0
128,1,9,14,0,5,0
129,1,9,15,0,5,0
130,1,9,16,0,6,1
131,1,9,17,0,6,0
132,1,9,18,0,6,0
133,1,9,19,0,5,0
