"id","type","created_at","updated_at"
1,Alcatraz Class Prison Ship,2018-06-20 00:50:23,2018-06-20 00:50:23
2,Aquarius Class Tanker,2018-06-20 00:50:27,2018-06-20 00:50:27
3,Banner Class Bulk Cargo Ship,2018-06-20 00:50:32,2018-06-20 00:50:32
4,Bellmarsh Class Prison Ship,2018-06-20 00:50:36,2018-06-20 00:50:36
5,Bowman Class Science Vessel,2018-06-20 00:50:40,2018-06-20 00:50:40
6,Demeter Class Agricultural Vessel,2018-06-20 00:50:43,2018-06-20 00:50:43
7,Dionysus Class Agricultural Vessel,2018-06-20 00:50:48,2018-06-20 00:50:48
8,Gordon Class Bulk Cargo Ship,2018-06-20 00:50:51,2018-06-20 00:50:51
9,Henry Class Bulk Cargo Ship,2018-06-20 00:50:55,2018-06-20 00:50:55
10,Hercules Class Bulk Cargo Ship,2018-06-20 00:50:59,2018-06-20 00:50:59
11,Hogan Class Bulk Cargo Ship,2018-06-20 00:51:02,2018-06-20 00:51:02
12,Lowell Class Science Vessel,2018-06-20 00:51:06,2018-06-20 00:51:06
13,Megaship,2018-06-20 00:51:09,2018-06-20 00:51:10
14,Naphtha Class Tanker,2018-06-20 00:51:13,2018-06-20 00:51:13
15,Riker Class Prison Ship,2018-06-20 00:51:16,2018-06-20 00:51:16
16,Sagan Class Tourist Ship,2018-06-20 00:51:19,2018-06-20 00:51:19
17,Samson Class Bulk Cargo Ship,2018-06-20 00:51:22,2018-06-20 00:51:22
18,Sanchez Class Science Vessel,2018-06-20 00:51:26,2018-06-20 00:51:26
19,Survey Vessel,2018-06-20 00:51:29,2018-06-20 00:51:29
20,Thomas Class Bulk Cargo Ship,2018-06-20 00:51:32,2018-06-20 00:51:32
21,Unknown,2018-06-20 00:51:36,2018-06-20 00:51:36
